,2011-06-30,2011-09-30
CostOfGoodsAndServicesSold,51567000.000,61957000.000
EarningsPerShareBasic,-0.150,-0.220
GainLossOnInvestments,2098000.000,
GrossProfit,18002000.000,18131000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-26813000.000,-38244000.000
IncomeTaxExpenseBenefit,-554000.000,874000.000
InvestmentIncomeInterest,173000.000,34000.000
NetIncomeLoss,-26259000.000,-39118000.000
OperatingExpenses,51937000.000,56810000.000
OperatingIncomeLoss,-33935000.000,-38679000.000
ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,35491000.000,36607000.000
RestructuringCharges,-73000.000,3496000.000
ResultsOfOperationsIncomeBeforeIncomeTaxes,4851000.000,401000.000
Revenues,69569000.000,80088000.000
SalesRevenueNet,69569000.000,80088000.000
SellingGeneralAndAdministrativeExpense,16519000.000,16707000.000
