,2012-12-31,2013-12-31
AccretionExpense,1213000.000,708000.000
AmortizationOfDebtDiscountPremium,1213133.000,706752.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-821012.000,19108.000
DebtConversionConvertedInstrumentRate,0.900,0.900
EarningsPerShareBasicAndDiluted,-19.210,-6.810
EffectiveIncomeTaxRateContinuingOperations,,0.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,-0.340,-0.340
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,0.400,0.400
EffectiveIncomeTaxRateReconciliationOtherAdjustments,,0.000
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,-0.060,-0.060
FairValueAssumptionsExpectedDividendRate,0.000,0.000
FairValueAssumptionsExpectedVolatilityRate,1.440,1.380
FairValueAssumptionsRiskFreeInterestRate,0.010,0.010
GainLossOnDerivativeInstrumentsNetPretax,326000.000,801000.000
GeneralAndAdministrativeExpense,1156713.000,731638.000
GrossProfit,,0.000
ImpairmentOfLongLivedAssetsHeldForUse,5758000.000,
ImpairmentOfOilAndGasProperties,5758000.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-11106414.000,-3935156.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-288426.000,211718.000
IncreaseDecreaseInInterestPayableNet,3303985.000,3396774.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-48749.000,-16216.000
IncreaseDecreaseInRestrictedCash,497976.000,1196.000
InterestIncomeExpenseNonoperatingNet,-4516261.000,-4102518.000
MarketableSecuritiesUnrealizedGainLoss,-18.000,
NetCashProvidedByUsedInFinancingActivities,506762.000,425000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,506762.000,425000.000
NetCashProvidedByUsedInInvestingActivities,69181.000,-1196.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,69181.000,-1196.000
NetCashProvidedByUsedInOperatingActivities,-1396955.000,-404696.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-1396955.000,-404696.000
NetIncomeLoss,-11106414.000,-3935156.000
NetIncomeLossAvailableToCommonStockholdersBasic,11106414.000,3935000.000
OperatingExpenses,6914713.000,731638.000
OperatingIncomeLoss,-6914713.000,-731638.000
OtherIncome,,98000.000
PaymentsToAcquireTradingSecuritiesHeldforinvestment,107972.000,
ProceedsFromIssuanceOfSecuredDebt,525000.000,425000.000
ProceedsFromRepaymentsOfLinesOfCredit,-18238.000,
ProceedsFromSaleOfTradingSecuritiesHeldforinvestment,675129.000,
TradingSecuritiesRealizedGainLoss,-1440.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,578000.000,578000.000
WeightedAverageNumberOfSharesOutstandingBasic,578000.000,578000.000
