,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentForLongTermIntercompanyTransactionsNetOfTax,,,,,9300000.000,15000000.000,-6600000.000,-2000000.000,-23600000.000,-2500000.000,18500000.000,7400000.000,2300000.000,14400000.000,-8300000.000,-8200000.000,4100000.000,17000000.000,-17400000.000,-5800000.000,-19600000.000,-23500000.000,-11200000.000,-3900000.000,3500000.000
AmortizationOfIntangibleAssets,,,,,,-9200000.000,9200000.000,,8400000.000,8400000.000,8500000.000,8800000.000,8200000.000,,,,7400000.000,,,,,,,,
BusinessExitCosts1,,,,,,,,,,,,,,,,,,,,,,,,,9000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-123100000.000,,,,-27000000.000,,,,-64700000.000,,,,-41100000.000,,,,-71600000.000,,,,17100000.000,,,,125900000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,92400000.000,-14800000.000,,79700000.000,1600000.000,61400000.000,54000000.000,-17400000.000,52200000.000,192900000.000,108100000.000,70000000.000,117900000.000,-4500000.000,6800000.000,-53900000.000,162800000.000,73800000.000,105700000.000,92000000.000,63800000.000,121800000.000,26000000.000,115100000.000
CostOfServices,4214800000.000,4705100000.000,4831000000.000,4548800000.000,4249000000.000,4345000000.000,4316100000.000,4325900000.000,3978800000.000,4204300000.000,4335200000.000,4365500000.000,4087500000.000,4424400000.000,4510400000.000,4252300000.000,3780200000.000,4030700000.000,4120400000.000,4102800000.000,3813900000.000,4161400000.000,4229900000.000,4115100000.000,3969400000.000
DeferredIncomeTaxesAndTaxCredits,-2900000.000,,,,-800000.000,,,,2700000.000,,,,-1500000.000,,,,18200000.000,,,,14400000.000,,,,13600000.000
DepreciationDepletionAndAmortization,25900000.000,,,,24300000.000,,,,24200000.000,,,,21600000.000,,,,18700000.000,,,,21300000.000,,,,20300000.000
DerivativeInstrumentsGainRecognizedInIncome,,,,,700000.000,-300000.000,400000.000,0.000,-200000.000,-100000.000,900000.000,200000.000,,,,,,,,,,,,,
DerivativesUsedInNetInvestmentHedgeTaxExpenseBenefit,,,,,,,,,,,,,,,,,,,,,-12000000.000,-6400000.000,3200000.000,6800000.000,-3300000.000
