,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31
AmortizationOfIntangibleAssets,300000.000,297000.000,295000.000,290000.000,359000.000,395000.000,401000.000,729000.000,475000.000
BusinessCombinationAcquisitionRelatedCosts,,,,,700000.000,,,,
BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,,,,,,3400000.000,2500000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,1213000.000,,,,8713000.000,,,,-128000.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,-217000.000,,,,,,,,
ComprehensiveIncomeNetOfTax,-11630000.000,1952000.000,5929000.000,5498000.000,-3949000.000,-34125000.000,-34381000.000,-11579000.000,-10951000.000
CostOfGoodsSold,80834000.000,115675000.000,100820000.000,101626000.000,81877000.000,94992000.000,104281000.000,87562000.000,71693000.000
DeferredIncomeTaxExpenseBenefit,,,,,,,,,165000.000
DepreciationDepletionAndAmortization,5273000.000,,,,4303000.000,,,,5029000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,100000.000,-200000.000,,,,,,
EarningsPerShareBasic,,0.200,0.270,,,-1.690,-1.770,,
EarningsPerShareBasicAndDiluted,-0.820,,,,,,,,-0.540
EarningsPerShareDiluted,,0.190,0.260,,-0.120,-1.690,-1.770,-0.620,
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,,,13000.000
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,-353000.000,,,,910000.000,,,,
EffectOfExchangeRateOnCashAndCashEquivalentsDiscontinuedOperations,30000.000,,,,,,,,
EffectiveIncomeTaxRateContinuingOperations,,,,,0.533,0.081,0.202,,0.012
ForeignCurrencyTransactionGainLossBeforeTax,572000.000,-631000.000,571000.000,-53000.000,,,,,
GainsLossesOnExtinguishmentOfDebt,,-1555000.000,,,,,,,
GoodwillImpairmentLoss,,,,,,26423000.000,25244000.000,,
GoodwillOtherChanges,,,,,,-506000.000,,,
GrossProfit,14082000.000,23493000.000,20380000.000,19734000.000,13257000.000,13209000.000,13695000.000,8779000.000,8013000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,700000.000,,,,,,,-10905000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-12445000.000,3716000.000,5410000.000,4865000.000,-2447000.000,-33893000.000,-35822000.000,-12364000.000,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.800,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicShare,,0.190,0.280,,,-1.690,-1.770,,
IncomeLossFromContinuingOperationsPerDilutedShare,,0.180,0.270,,-0.120,-1.690,-1.770,-0.620,
IncomeLossFromDiscontinuedOperationsNetOfTax,-321000.000,80000.000,-170000.000,-51000.000,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,-0.020,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,0.010,-0.010,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,0.010,-0.010,,,,,,
IncomeTaxExpenseBenefit,649000.000,2078000.000,756000.000,-3127000.000,-2796000.000,2533000.000,6010000.000,193000.000,146000.000
IncreaseDecreaseInAccountsPayable,,,,,5732000.000,,,,-136000.000
IncreaseDecreaseInAccruedLiabilities,,,,,,,,,3406000.000
IncreaseDecreaseInInventories,,,,,12456000.000,,,,3945000.000
IncreaseDecreaseInOperatingCapital,21274000.000,,,,,,,,
IncreaseDecreaseInOtherOperatingCapitalNet,-72000.000,,,,9803000.000,,,,-50000.000
IncreaseDecreaseInPrepaidExpense,,,,,,,,,4973000.000
IncreaseDecreaseInReceivables,,,,,-21704000.000,,,,-1561000.000
IncreaseDecreaseInSecurityDeposits,,,,,,-500000.000,,,
InterestCostsCapitalized,,,,,100000.000,,,,0.000
InterestIncomeExpenseNonoperatingNet,-5747000.000,-3890000.000,-3199000.000,-3961000.000,-3763000.000,-3686000.000,-5076000.000,-5031000.000,-5413000.000
LineOfCreditFacilityCommitmentFeePercentage,,,,,0.007,0.007,,,
NetCashProvidedByUsedInFinancingActivities,31328000.000,,,,16835000.000,,,,10999000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,31328000.000,,,,16835000.000,,,,10999000.000
NetCashProvidedByUsedInInvestingActivities,-5507000.000,,,,-16220000.000,,,,-1055000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-5507000.000,,,,-16220000.000,,,,-1055000.000
NetCashProvidedByUsedInOperatingActivities,-24285000.000,,,,7188000.000,,,,-10085000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-24068000.000,,,,7188000.000,,,,-10085000.000
NonoperatingIncomeExpense,177000.000,488000.000,654000.000,950000.000,-339000.000,-643000.000,-239000.000,962000.000,-574000.000
OperatingIncomeLoss,-6798000.000,11382000.000,8140000.000,4802000.000,-1141000.000,-27031000.000,-24497000.000,-6382000.000,-4918000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,1136000.000,-1844000.000,689000.000,684000.000,-1502000.000,-232000.000,1441000.000,785000.000,100000.000
PaymentsOfDebtIssuanceCosts,,,,,264000.000,,,,908000.000
PaymentsToAcquireBusinessesNetOfCashAcquired,,,,,10207000.000,,,,
PaymentsToAcquirePropertyPlantAndEquipment,5507000.000,,,,6013000.000,,,,1055000.000
ProceedsFromIssuanceInitialPublicOffering,65927000.000,,,,,,,,
ProceedsFromIssuanceOfLongTermDebt,,,,,,,,,996000.000
ProceedsFromLinesOfCredit,23346000.000,,,,35168000.000,,,,19618000.000
ProceedsFromStockOptionsExercised,,,,,153000.000,,,,
ProfitLoss,-12766000.000,3796000.000,5240000.000,4814000.000,-2447000.000,-33893000.000,-35822000.000,-12364000.000,-11051000.000
RepaymentsOfLinesOfCredit,37194000.000,,,,17839000.000,,,,7898000.000
RepaymentsOfLongTermDebt,20751000.000,,,,383000.000,,,,809000.000
Revenues,,,,,,118934000.000,125235000.000,,88355000.000
RevenuesFromTransactionsWithOtherOperatingSegmentsOfSameEntity,,11664000.000,15024000.000,,11798000.000,,,,
SalesRevenueGoodsNet,94916000.000,139168000.000,121200000.000,121360000.000,95134000.000,108201000.000,117976000.000,96341000.000,79706000.000
SalesRevenueNet,,,,,,118934000.000,125235000.000,,88355000.000
SegmentReportingInformationRevenue,,150832000.000,136224000.000,,106932000.000,,,,
SellingGeneralAndAdministrativeExpense,10925000.000,11814000.000,11945000.000,14642000.000,14039000.000,13422000.000,12547000.000,14432000.000,12456000.000
ShareBasedCompensation,4306000.000,100000.000,100000.000,160000.000,155000.000,,,,-191000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,,,,,74937.000,116935.000,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,200000.000,,,20000.000,74750.000,25000.000,171090.000,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,11.570,,,,,,,
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeLowerRangeLimit,,,,,0.670,0.670,,,0.670
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeUpperRangeLimit,,,,,11.570,11.570,,,11.570
StandardProductWarrantyAccrualPayments,,42000.000,15000.000,,,,,,
StandardProductWarrantyAccrualPreexistingIncreaseDecrease,,-739000.000,2000.000,,-15000.000,,,,
StockIssuedDuringPeriodSharesRestrictedStockAwardGross,,100000.000,,,,,,,
StockIssuedDuringPeriodSharesStockOptionsExercised,,,,,235945.000,,,,0.000
StockIssuedDuringPeriodValueShareBasedCompensationForfeited,,,,,,,,,556000.000
ValuationAllowanceDeferredTaxAssetChangeInAmount,,,-1000000.000,,,,6600000.000,,3700000.000
WeightedAverageNumberDilutedSharesOutstandingAdjustment,,1061000.000,977000.000,,,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,,20399000.000,20436000.000,,,20067000.000,20195000.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,15496000.000,,,,19902000.000,,,,20301000.000
WeightedAverageNumberOfSharesOutstandingBasic,,19338000.000,19459000.000,,,20067000.000,20195000.000,,
