,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
CapitalLeaseObligationsIncurred,,,,,,,,,3000000.000,,,,1000000.000,,2000000.000,,,,5000000.000,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,67000000.000,,,,-2000000.000,,,,-29000000.000,,,,-26000000.000,,-106000000.000,,,,-90000000.000,,,,-196000000.000
CashPaidForCapitalizedInterest,2000000.000,,,,,,,,,,,,,,,,,,,,,,
CommonStockDividendsPerShareDeclared,0.485,0.485,0.485,0.485,0.495,0.495,0.495,0.495,0.507,0.507,0.507,0.509,0.525,0.525,0.545,0.545,0.545,0.545,,0.575,0.575,,
ComprehensiveIncomeNetOfTax,135000000.000,42000000.000,74000000.000,89000000.000,127000000.000,74000000.000,126000000.000,101000000.000,158000000.000,87000000.000,137000000.000,115000000.000,192000000.000,145000000.000,402000000.000,105000000.000,146000000.000,103000000.000,178000000.000,110000000.000,190000000.000,133000000.000,169000000.000
ConstructionInProgressExpendituresIncurredButNotYetPaid,93000000.000,,,,108000000.000,,,,88000000.000,,,,77000000.000,,84000000.000,,,,142000000.000,,,,57000000.000
CostOfPurchasedOilAndGas,512000000.000,297000000.000,291000000.000,355000000.000,366000000.000,223000000.000,248000000.000,361000000.000,501000000.000,310000000.000,265000000.000,415000000.000,670000000.000,304000000.000,523000000.000,247000000.000,260000000.000,257000000.000,359000000.000,192000000.000,202000000.000,301000000.000,370000000.000
DeferredIncomeTaxExpenseBenefit,11000000.000,,,,,,,,,,,,7000000.000,,-74000000.000,,,,-11000000.000,,,,27000000.000
DefinedBenefitPlanCurtailments,,,,,,,,,,,9900000.000,,,,,,,,,,,,
DepreciationAmortizationAndAccretionNet,88000000.000,,,,92000000.000,,,,97000000.000,,,,99000000.000,,100000000.000,,,,94000000.000,,,,100000000.000
DerivativeInstrumentsGainLossRecognizedInIncomeNet,,,,,0.000,,,,,,,,,,,,,,,,,,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,,,,,,,,,,,,,,353000000.000,,,,,,,,
DividendsCommonStock,,,,,-65000000.000,,,,-70000000.000,,,,-74000000.000,,-78000000.000,,,,82000000.000,,,,87000000.000
EarningsPerShareBasic,1.000,0.440,0.810,0.760,0.930,0.550,0.930,0.790,1.130,0.600,0.940,0.730,1.370,1.010,2.800,0.690,1.040,0.690,,,,,
EarningsPerShareBasicAndDiluted,,,,,,,,,,,,,,,,,,,1.230,0.740,1.320,0.870,1.190
EarningsPerShareDiluted,1.000,0.430,0.810,0.730,0.910,0.540,0.910,0.790,1.110,0.600,0.940,0.740,1.370,1.010,2.800,,,,,,,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,,,,,,,,,,,,0.060,,,,,,,,,,0.030
ElectricDomesticRegulatedRevenue,,,,,545000000.000,592000000.000,714000000.000,595000000.000,583000000.000,610000000.000,704000000.000,526000000.000,678000000.000,739000000.000,629000000.000,638000000.000,742000000.000,542000000.000,592000000.000,626000000.000,817000000.000,579000000.000,577000000.000
ElectricUtilityRevenue,558000000.000,616000000.000,728000000.000,522000000.000,,,,,,,,,,,,,,,,,,,
