,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccretionOfDiscount,,,,,,,,,,,,,10000000.000,,9000000.000,12000000.000,12000000.000
AmortizationOfIntangibleAssets,,,,35000000.000,37000000.000,,45000000.000,45000000.000,45000000.000,46000000.000,47000000.000,45000000.000,45000000.000,55000000.000,60000000.000,61000000.000,49000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,1655000000.000,,,,260000000.000,,,,-981000000.000,,,,-782000000.000,,
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,,,,,,,24000000.000,,,,112000000.000,,,,249000000.000,,
ComprehensiveIncomeNetOfTax,,,398000000.000,514000000.000,306000000.000,-2432000000.000,331000000.000,1498000000.000,504000000.000,3698000000.000,-668000000.000,438000000.000,679000000.000,-54000000.000,2612000000.000,559000000.000,102000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,,,,,,,,,0.000,1000000.000,3000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,,,,,2612000000.000,560000000.000,105000000.000
CostOfRevenue,11457000000.000,11013000000.000,13791000000.000,14252000000.000,12916000000.000,14391000000.000,13136000000.000,15328000000.000,14881000000.000,18053000000.000,16522000000.000,17558000000.000,17803000000.000,20059000000.000,18329000000.000,19343000000.000,19589000000.000
DeferredRevenueRevenueRecognized,,,,,,,,,,,,,,,128000000.000,,
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,,,,,,,,,,,,,6000000.000,,16000000.000,-12000000.000,0.000
Dividends,,,,,,,,,,,,,,,-103000000.000,,
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,-94000000.000,,,,-188000000.000,,,,-99000000.000,,
FairValueInstrumentsClassifiedInShareholdersEquityMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,,,,,,,,,,,,,,,0.000,0.000,0.000
FairValueMeasuredOnRecurringBasisGainLossIncludedInEarnings,,,,,,,,,,,,,6000000.000,,0.000,0.000,-2000000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisGainLossIncludedInOtherComprehensiveIncomeLoss,,,,-17000000.000,30000000.000,,17000000.000,-30000000.000,15000000.000,-5000000.000,10000000.000,8000000.000,-22000000.000,-6000000.000,-15000000.000,-14000000.000,-7000000.000
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationSettlements,,,,,,,,,,,,,-7000000.000,,0.000,3000000.000,13000000.000
ForeignCurrencyTransactionGainLossBeforeTax,,,,,,,,,5000000.000,,,,4000000.000,,,,
GainsLossesOnExtinguishmentOfDebt,-551000000.000,,,,,,,-23000000.000,,,-504000000.000,0.000,0.000,0.000,-10000000.000,-71000000.000,18000000.000
GrossProfit,2204000000.000,2054000000.000,2568000000.000,2543000000.000,2562000000.000,2761000000.000,2249000000.000,2666000000.000,2683000000.000,3148000000.000,2468000000.000,2896000000.000,2857000000.000,2894000000.000,2552000000.000,3292000000.000,2166000000.000
