,2011-06-30,2011-09-30
DepreciationAndAmortization,752000.000,965000.000
DirectOperatingCosts,18349000.000,19747000.000
EarningsPerShareBasic,0.340,0.310
EarningsPerShareDiluted,0.330,0.300
ForeignCurrencyTransactionGainLossBeforeTax,-38000.000,379000.000
GeneralAndAdministrativeExpense,3979000.000,4059000.000
GrossProfit,12313000.000,12455000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,6008000.000,5105000.000
IncomeTaxExpenseBenefit,2384000.000,1758000.000
InformationTechnologyAndDataProcessing,1010000.000,1221000.000
InterestAndOtherIncome,-39000.000,-50000.000
NetIncomeLoss,3624000.000,3347000.000
OperatingExpenses,6379000.000,7019000.000
OperatingIncomeLoss,5934000.000,5436000.000
OtherNonoperatingIncome,3000.000,2000.000
OtherNonoperatingIncomeExpense,-74000.000,331000.000
Revenues,30662000.000,32202000.000
SalesRevenueNet,30662000.000,32202000.000
SellingAndMarketingExpense,638000.000,774000.000
WeightedAverageNumberOfDilutedSharesOutstanding,11063000.000,11110000.000
WeightedAverageNumberOfSharesOutstandingBasic,10651000.000,10676000.000
