,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,193409000.000,230495000.000,267990000.000,241610000.000,274788000.000,224917000.000,215516000.000,188823000.000,233576000.000,198114000.000,181191000.000,173150000.000,263820000.000,319311000.000,370127000.000,382438000.000,315746000.000,223001000.000,165547000.000,82771000.000,81975000.000,66343000.000,82163000.000,125667000.000,158226000.000
AccountsReceivableNetCurrent,383328000.000,406247000.000,472227000.000,518109000.000,559548000.000,528808000.000,470786000.000,465517000.000,491230000.000,501824000.000,488804000.000,451517000.000,485925000.000,507930000.000,593373000.000,663404000.000,484986000.000,331922000.000,301710000.000,219672000.000,182781000.000,128551000.000,146013000.000,148091000.000,210431000.000
AccruedEmployeeBenefitsCurrent,,4563000.000,4563000.000,3640000.000,1719000.000,,,,,,,,,,,,,,,,,,,,
AccruedIncomeTaxesCurrent,,,854000.000,2473000.000,8241000.000,,,6158000.000,7261000.000,,699000.000,10670000.000,24855000.000,,24378000.000,,30994000.000,11153000.000,,,,,,,
AccruedInsuranceCurrent,,7570000.000,6018000.000,6012000.000,7988000.000,8789000.000,8022000.000,10419000.000,6104000.000,5427000.000,6601000.000,10129000.000,10835000.000,10654000.000,11177000.000,9632000.000,10148000.000,12082000.000,13234000.000,12817000.000,12606000.000,10205000.000,9392000.000,9566000.000,9040000.000
AccruedLiabilitiesCurrent,141070000.000,158258000.000,152301000.000,164629000.000,152442000.000,153382000.000,156679000.000,158632000.000,141517000.000,146101000.000,153665000.000,160457000.000,159016000.000,172575000.000,182944000.000,173466000.000,178876000.000,171453000.000,180530000.000,161611000.000,154439000.000,139922000.000,154228000.000,139148000.000,135940000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,1637472000.000,1708382000.000,1771028000.000,1804280000.000,1845014000.000,1929509000.000,2005844000.000,2106587000.000,2219873000.000,2338263000.000,2390109000.000,2483692000.000,2588664000.000,2756737000.000,2840560000.000,2969947000.000,3091730000.000,3251117000.000,3362203000.000,3468917000.000,3563348000.000,3617231000.000,3721033000.000,3820585000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,24295000.000,23757000.000,18137000.000,19459000.000,22013000.000,18847000.000,23263000.000,21767000.000,19464000.000,15716000.000,18099000.000,14076000.000,10721000.000,15209000.000,10310000.000,6463000.000,-2115000.000,918000.000,-1991000.000,-4093000.000,2585000.000,3054000.000,675000.000,-1134000.000,-85000.000
AdditionalPaidInCapital,801681000.000,824725000.000,831869000.000,840731000.000,846550000.000,850951000.000,856981000.000,863558000.000,890809000.000,899802000.000,906639000.000,913505000.000,930205000.000,961854000.000,977425000.000,984674000.000,,,,,,,,,
AdditionalPaidInCapitalCommonStock,,,,,,,,,,,,,,,,,991495000.000,999622000.000,1006306000.000,1011811000.000,1018699000.000,1023001000.000,1034768000.000,1042696000.000,1521438000.000
AllowanceForDoubtfulAccountsReceivableCurrent,5114000.000,4878000.000,4885000.000,4887000.000,6540000.000,4734000.000,4614000.000,3513000.000,3582000.000,3599000.000,3681000.000,3674000.000,3675000.000,3677000.000,3665000.000,3546000.000,3537000.000,3537000.000,3537000.000,3545000.000,3191000.000,3191000.000,3191000.000,3191000.000,3186000.000
AssetRetirementObligation,,3203000.000,3310000.000,3455000.000,4080000.000,4169000.000,4294000.000,4422000.000,4521000.000,4650000.000,4703000.000,4837000.000,4959000.000,5001000.000,5325000.000,5301000.000,5506000.000,5593000.000,5634000.000,5692000.000,5752000.000,5814000.000,5870000.000,5940000.000,6057000.000
Assets,3582966000.000,3777589000.000,3986693000.000,4221901000.000,4363832000.000,4442615000.000,4469975000.000,4556911000.000,4657232000.000,4663716000.000,4677522000.000,4687127000.000,4812895000.000,4908367000.000,4968349000.000,5394011000.000,5230907000.000,5049528000.000,4678166000.000,4533317000.000,4398170000.000,4211471000.000,3908873000.000,3804606000.000,4178619000.000
AssetsCurrent,613247000.000,630150000.000,691278000.000,764950000.000,767404000.000,760565000.000,695235000.000,699991000.000,741313000.000,773279000.000,792280000.000,808650000.000,851251000.000,758731000.000,748096000.000,909092000.000,687620000.000,515794000.000,505741000.000,486536000.000,494211000.000,455723000.000,280293000.000,283321000.000,729944000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,0.000,,,,,,,,,,,,,,,,,,,,,,,,
BuildingsAndImprovementsGross,,61768000.000,62887000.000,64090000.000,64426000.000,62418000.000,62894000.000,66490000.000,67585000.000,67683000.000,80113000.000,80050000.000,80646000.000,81611000.000,83230000.000,83465000.000,88393000.000,90029000.000,,,,,,,
