,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AccretionExpense,3000000.000,3000000.000,3000000.000,,4000000.000,4000000.000,2000000.000,,3000000.000,4000000.000,3000000.000,,4000000.000,3000000.000,3000000.000,,4000000.000,3000000.000,3000000.000,,4000000.000,,,,,
AccrualForEnvironmentalLossContingenciesIncreaseDecreaseForCurrencyTranslation,2000000.000,,,,2000000.000,,,,,,,,,,,,,,,,,,,,,
AccrualForEnvironmentalLossContingenciesPeriodIncreaseDecrease,,,,,3000000.000,,,,,,,,,,,,,,,,,,,,,
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,28000000.000,,,,,,,,,,,,,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationRestrictedStockUnitsRequisiteServicePeriodRecognition,,,,,5000000.000,,,,-2000000.000,,,,7000000.000,,,,2000000.000,,,,-16000000.000,,,,-16000000.000,
AmortizationOfDeferredCharges,31000000.000,31000000.000,30000000.000,29000000.000,,,,,,,,,,,,,,,,,,,,,,
AmortizationOfIntangibleAssets,31000000.000,31000000.000,30000000.000,29000000.000,29000000.000,27000000.000,27000000.000,27000000.000,26000000.000,34000000.000,28000000.000,31000000.000,30000000.000,31000000.000,32000000.000,33000000.000,33000000.000,33000000.000,33000000.000,33000000.000,30000000.000,30000000.000,31000000.000,30000000.000,31000000.000,32000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,600000.000,0.000,600000.000,-600000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,600000.000,0.000,600000.000,600000.000,2400000.000,-3000000.000,1200000.000,600000.000
AssetImpairmentCharges,,,,,53000000.000,,,,,,,,,,,,,19000000.000,,,,,,,,
BusinessCombinationAcquisitionRelatedCosts,,,,,6000000.000,,,,7000000.000,21000000.000,7000000.000,7000000.000,3000000.000,3000000.000,4000000.000,52000000.000,9000000.000,21000000.000,1000000.000,17000000.000,2000000.000,7000000.000,0.000,0.000,4000000.000,5000000.000
BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,,,,,,,,,,,,,,,,,210000000.000,218000000.000,200000000.000,272000000.000,,,,,,
BusinessCombinationProvisionalInformationInitialAccountingIncompleteAdjustmentInventory,,,,,6000000.000,,,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-545000000.000,,,,-479000000.000,,,,715000000.000,,,,1443000000.000,,,,49000000.000,,,,-402000000.000,,,,-471000000.000,
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,,,,,,,0.000,,,,-40000000.000,,,,0.000,,,,,,,,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,,,,-1000000.000,,,,-1000000.000,,,,0.000,,,,,,,,0.000,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,,,4000000.000,,,,33000000.000,,,,0.000,,,,,,,,0.000,
CommonStockDividendsPerShareCashPaid,0.550,0.570,0.570,0.570,0.570,0.590,0.590,0.590,0.590,0.610,0.610,0.610,0.610,0.670,0.670,0.670,0.670,0.360,0.360,0.020,0.360,0.400,0.400,0.400,0.400,0.400
ComprehensiveIncomeNetOfTax,452000000.000,444000000.000,-70000000.000,-120000000.000,160000000.000,222000000.000,428000000.000,265000000.000,2468000000.000,310000000.000,396000000.000,463000000.000,1292000000.000,435000000.000,105000000.000,-586000000.000,129000000.000,314000000.000,173000000.000,204000000.000,406000000.000,264000000.000,24000000.000,529000000.000,614000000.000,518000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,486000000.000,481000000.000,-55000000.000,-98000000.000,202000000.000,250000000.000,458000000.000,293000000.000,2500000000.000,332000000.000,428000000.000,492000000.000,1332000000.000,444000000.000,105000000.000,-584000000.000,129000000.000,319000000.000,176000000.000,204000000.000,410000000.000,265000000.000,30000000.000,530000000.000,626000000.000,529000000.000
CostOfGoodsSoldExcludingDepreciationDepletionAndAmortization,,2417000000.000,2353000000.000,,2229000000.000,2352000000.000,2288000000.000,2200000000.000,1947000000.000,2343000000.000,2238000000.000,2108000000.000,2091000000.000,2306000000.000,2229000000.000,2165000000.000,2065000000.000,2283000000.000,2150000000.000,2093000000.000,2013000000.000,2190000000.000,2081000000.000,1779000000.000,1969000000.000,2082000000.000
DebtConversionConvertedInstrumentAmount1,,,,,395000000.000,,,,,,,,,,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,,,,,,,,,,,,,-1000000.000,,,,12000000.000,,,,-4000000.000,,,,4000000.000,
DeferredTaxExpenseFromStockOptionsExercised,,,,,,,,,,,,,,7000000.000,5000000.000,,5000000.000,9000000.000,1000000.000,4000000.000,4000000.000,6000000.000,3000000.000,1000000.000,6000000.000,2000000.000
DefinedBenefitPlanAssetsTransferredToFromPlan,,,,,,,,,480000000.000,,,,,,,,,,,,,,,,,
DefinedBenefitPlanBenefitObligationPeriodIncreaseDecrease,,,,,-65000000.000,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanContributionsByEmployer,,,,,,,,,,,,,,,,,,,,,0.000,0.000,,,,
DefinedBenefitPlanRecognizedNetGainLossDueToSettlements1,,,,,,,,,18000000.000,,,,0.000,,,,,,,,,,,,,
Depreciation,86000000.000,88000000.000,86000000.000,86000000.000,89000000.000,87000000.000,89000000.000,90000000.000,81000000.000,90000000.000,91000000.000,94000000.000,89000000.000,84000000.000,87000000.000,90000000.000,87000000.000,92000000.000,92000000.000,92000000.000,91000000.000,91000000.000,88000000.000,71000000.000,83000000.000,81000000.000
DepreciationAndAmortization,117000000.000,,,,118000000.000,,,,107000000.000,,,,119000000.000,,,,120000000.000,,,,121000000.000,,,,114000000.000,
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,,,1468000000.000,,,,,,,,,,,,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,,,,,2200000000.000,,,,900000000.000,,,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,
DiscontinuedOperationTaxEffectOfIncomeLossFromDisposalOfDiscontinuedOperation,,,,,,,,,,,,,522000000.000,,,,,,,,,,,,,
DividendsCash,89000000.000,,,,87000000.000,,,,84000000.000,,,,85000000.000,,,,91000000.000,,,,96000000.000,,,,103000000.000,
EarningsPerShareBasic,1.420,2.150,1.980,1.410,0.080,2.370,2.210,1.470,16.490,2.380,1.580,2.080,9.070,2.780,2.690,0.660,2.360,1.240,1.600,-0.020,1.300,1.380,-0.690,1.310,1.300,1.950
EarningsPerShareDiluted,1.400,2.120,1.960,1.390,0.080,2.340,2.180,1.460,16.310,2.350,1.560,2.050,8.970,2.750,2.660,0.650,2.340,1.230,1.590,-0.020,1.290,1.370,-0.690,1.310,1.290,1.940
