,2017-01-31
AccumulatedDepreciationDepletionAndAmortizationSaleOfPropertyPlantAndEquipment1,222000000.000
AllocatedShareBasedCompensationExpense,47000000.000
AllocatedShareBasedCompensationExpenseNetOfTax,47000000.000
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,21000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,92000000.000
CostOfRevenue,3569000000.000
CostsAndExpenses,4177000000.000
DefinedBenefitPlanAmortizationOfGainsLosses,-28000000.000
DefinedBenefitPlanAmortizationOfPriorServiceCostCredit,-2000000.000
DefinedBenefitPlanExpectedReturnOnPlanAssets,48000000.000
DefinedBenefitPlanInterestCost,41000000.000
DefinedBenefitPlanNetPeriodicBenefitCost,34000000.000
DefinedBenefitPlanPlanAmendments,-1000000.000
DefinedBenefitPlanServiceCost,15000000.000
Depreciation,332000000.000
DepreciationDepletionAndAmortization,333000000.000
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,1000000.000
EffectiveIncomeTaxRateContinuingOperations,0.339
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.350
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-56000000.000
IncomeTaxExpenseBenefit,-19000000.000
IncomeTaxReconciliationDispositionOfBusiness,-73000000.000
IncomeTaxReconciliationOtherAdjustments,-2000000.000
IncomeTaxReconciliationOtherReconcilingItems,-75000000.000
IncreaseDecreaseInAccountsPayableTrade,-38000000.000
IncreaseDecreaseInAccountsReceivable,165000000.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,-4000000.000
IncreaseDecreaseInFinanceReceivables,-35000000.000
IncreaseDecreaseInOtherOperatingCapitalNet,2005000000.000
InterestExpenseDebt,8000000.000
MinorityInterestPeriodIncreaseDecrease,3000000.000
NetCashProvidedByUsedInContinuingOperations,815000000.000
NetCashProvidedByUsedInFinancingActivities,2824000000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,2824000000.000
NetCashProvidedByUsedInInvestingActivities,-71000000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-71000000.000
NetCashProvidedByUsedInOperatingActivities,-1938000000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-1938000000.000
NetIncomeLoss,-37000000.000
NonoperatingIncomeExpense,-26000000.000
OperatingIncomeLoss,-30000000.000
OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodTax,6000000.000
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesBeforeTaxPortionAttributableToParent,-19000000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPortionAttributableToParent,-2000000.000
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeTax,-11000000.000
OtherComprehensiveIncomeLossBeforeReclassificationsNetOfTax,101000000.000
OtherComprehensiveIncomeLossBeforeTaxPortionAttributableToParent,102000000.000
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesTax,1000000.000
OtherComprehensiveIncomeLossNetOfTax,129000000.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,129000000.000
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeTax,-134000000.000
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansNetUnamortizedGainLossArisingDuringPeriodBeforeTax,116000000.000
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansTax,28000000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesBeforeTax,24000000.000
OtherComprehensiveIncomeLossTaxPortionAttributableToParent1,-27000000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodBeforeTax,5000000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodTax,1000000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodBeforeTax,-11000000.000
OtherNoncashIncomeExpense,-24000000.000
PaymentsForRestructuring,179000000.000
PaymentsToAcquireProductiveAssets,78000000.000
ProceedsFromDivestitureOfBusinessesNetOfCashDivested,3000000.000
ProceedsFromSaleOfProductiveAssets,4000000.000
ProfitLoss,-37000000.000
PropertyPlantAndEquipmentAdditions,54000000.000
PropertyPlantAndEquipmentDisposals,224000000.000
ProvisionForDoubtfulAccounts,-6000000.000
RepaymentsOfLongTermCapitalLeaseObligations,194000000.000
RepaymentsOfLongTermDebt,1000000.000
RestructuringCharges,61000000.000
RestructuringReservePeriodIncreaseDecrease,-179000000.000
Revenues,4147000000.000
SalesRevenueNet,4147000000.000
SellingGeneralAndAdministrativeExpense,353000000.000
ShareBasedCompensation,43000000.000
