,2011-04-01,2011-07-01,2011-09-30,2011-12-31,2012-03-30,2012-06-29,2012-09-28,2012-12-31,2013-03-29,2013-06-28,2013-09-27,2013-12-31,2014-03-28,2014-06-27,2014-09-26,2014-12-31,2015-04-03
AccountsPayableCurrent,2452000000.000,2485000000.000,2341000000.000,2306000000.000,2548000000.000,2456000000.000,2334000000.000,2423000000.000,2497000000.000,2599000000.000,2588000000.000,2597000000.000,2638000000.000,2729000000.000,2426000000.000,2423000000.000,2287000000.000
AccrualForEnvironmentalLossContingenciesGross,,65000000.000,66000000.000,70000000.000,68000000.000,66000000.000,70000000.000,67000000.000,66000000.000,63000000.000,69000000.000,68000000.000,74000000.000,73000000.000,77000000.000,71000000.000,70000000.000
AccruedIncomeTaxesCurrent,,,,69000000.000,,,,36000000.000,,,,27000000.000,,,,11000000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,3771000000.000,3885000000.000,3834000000.000,3694000000.000,3873000000.000,3777000000.000,3945000000.000,4027000000.000,4036000000.000,4114000000.000,4305000000.000,4420000000.000,4505000000.000,4603000000.000,4151000000.000,4065000000.000,
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,-48000000.000,,,,10000000.000,8000000.000,-16000000.000,0.000,-16000000.000,-16000000.000,8000000.000,15000000.000,-13000000.000,27000000.000
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,299000000.000,,,,559000000.000,-544000000.000,-577000000.000,-582000000.000,405000000.000,402000000.000,406000000.000,391000000.000,501000000.000,465000000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,16000000.000,,,,83000000.000,-3000000.000,-34000000.000,33000000.000,41000000.000,43000000.000,78000000.000,-74000000.000,-225000000.000,-417000000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-21000000.000,3000000.000,-215000000.000,-331000000.000,-194000000.000,-335000000.000,-210000000.000,-466000000.000,-539000000.000,-627000000.000,-549000000.000,-380000000.000,-375000000.000,-320000000.000,-450000000.000,-739000000.000,-855000000.000
AdditionalPaidInCapitalCommonStock,1647000000.000,1632000000.000,1590000000.000,1602000000.000,1603000000.000,1611000000.000,1618000000.000,1635000000.000,1649000000.000,1637000000.000,1656000000.000,1715000000.000,1628000000.000,1641000000.000,1705000000.000,1829000000.000,1830000000.000
AllowanceForDoubtfulAccountsReceivable,,,,38000000.000,,,,30000000.000,,,,29000000.000,,,,26000000.000,
