,2011-09-30,2012-03-31,2012-09-30,2013-06-30,2013-09-30,2014-06-30
AdjustmentsToAdditionalPaidInCapitalOther,,0.000,,,,
AdvertisingExpense,17150.000,19393.000,,,,
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,,4300.000,,,,
CashPeriodIncreaseDecrease,,-67551.000,,,,
CostOfGoodsSold,192929.000,181351.000,0.000,0.000,0.000,0.000
Depreciation,,4171.000,,,,
DepreciationExpense,1727.000,,,,,
EarningsPerShareBasicAndDiluted,0.010,-0.010,0.010,0.000,0.000,0.000
GainLossOnDispositionOfAssets,0.000,,,,,
GeneralAndAdministrativeExpense,88352.000,182293.000,37644.000,14045.000,9433.000,6395.000
GrossProfit,147701.000,141419.000,0.000,0.000,0.000,0.000
IncomeLossFromContinuingOperations,,,-37644.000,-14045.000,-9433.000,-6395.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,0.000,0.000,0.000,0.000
IncomeLossFromDiscontinuedOperationsNetOfTax,,,0.000,0.000,0.000,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,0.000,0.000,0.000,0.000
IncomeTaxesPaid,,0.000,,,,
IncreaseDecreaseInAccountsPayable,,33748.000,,,,
IncreaseDecreaseInAccountsPayableRelatedParties,,12972.000,,,,
IncreaseDecreaseInAccountsReceivable,,-47736.000,,,,
IncreaseDecreaseInAccruedLiabilities,,-1740.000,,,,
IncreaseDecreaseInInventories,,2200.000,,,,
IncreaseDecreaseInOtherCurrentAssets,,810.000,,,,
IncreaseDecreaseInOtherCurrentLiabilities,,0.000,,,,
InterestExpense,-944.000,-2658.000,,,,
InterestPaid,,2658.000,,,,
LineOfCreditFacilityIncreaseDecreaseForPeriodNet,,1513.000,,,,
NetCashProvidedByUsedInFinancingActivities,,-9180.000,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-9180.000,,,,
NetCashProvidedByUsedInInvestingActivities,,0.000,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,0.000,,,,
NetCashProvidedByUsedInOperatingActivities,,-58731.000,,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-58731.000,,,,
NetIncomeLoss,39528.000,-67096.000,-37644.000,-14045.000,-9433.000,-6395.000
OperatingExpenses,107229.000,205857.000,37644.000,14045.000,9433.000,6395.000
OperatingIncomeLoss,40472.000,-64438.000,,,,
OtherIncome,-944.000,-2658.000,,,,
ReductionOfShortTermCapitalLeaseObligations,,-5318.000,,,,
RepaymentsOfNotesPayable,,5375.000,,,,
Revenues,340630.000,322770.000,0.000,0.000,0.000,0.000
SalesRevenueNet,341574.000,325428.000,0.000,0.000,0.000,0.000
StockIssuedDuringPeriodSharesOther,,0.000,,,,
StockIssuedDuringPeriodValueOther,,0.000,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,,,3785630.000,3789000.000,3789000.000,3939000.000
WeightedAverageNumberOfSharesOutstandingBasic,5429000.000,5579000.000,,,,
