,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,-5301.000,2640.000
CashPeriodIncreaseDecrease,-19985.000,,,,,
GeneralAndAdministrativeExpense,,75249.000,76049.000,72401.000,66912.000,69698.000
IncreaseDecreaseInAccountsPayable,,,,,-83859.000,11295.000
IncreaseDecreaseInAccountsReceivable,,,,,31888.000,30860.000
IncreaseDecreaseInInterestPayableNet,,,,,72194.000,128790.000
InterestAndOtherIncome,0.000,,,,,
InterestExpense,,,,,289628.000,310574.000
InterestExpenseDebt,,,,,72194.000,128790.000
InterestPaid,,,,,217433.000,181785.000
NetCashProvidedByUsedInFinancingActivities,,,,,90000.000,20000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,90000.000,20000.000
NetCashProvidedByUsedInOperatingActivities,,,,,-95301.000,-17360.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,,,-95301.000,-17360.000
NetIncomeLoss,,,,,-51748.000,-126585.000
NetIncomeLossAllocatedToGeneralPartners,,,,,-3105.000,-7595.000
NetIncomeLossAllocatedToLimitedPartners,,,,,-48643.000,-118990.000
NetIncomeLossPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasic,,,,,-54.000,-134.000
OperatingExpenses,,,,,429267.000,501018.000
ProceedsFromRelatedPartyDebt,,,,,90000.000,20000.000
ProfessionalFees,,90761.000,112154.000,159606.000,72727.000,120746.000
RealEstateRevenueNet,,,,,377519.000,374433.000
RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,,,,,31214.000,33094.000
Revenues,,,,,377519.000,374433.000
SalesRevenueNet,,,,,377519.000,374433.000
