,2011-09-30,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,110000.000,,,,90000.000,,,,13000.000,,,,-16000.000,,,,7000.000
AllocatedShareBasedCompensationExpense,,,10000.000,,,,,,,,,,,,,,,,
AmortizationOfIntangibleAssets,,,23000.000,,,,24000.000,,,,26000.000,,,,14000.000,,,,20000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,130000.000,192401.000,192401.000,192401.000,-399342.000,200559.000,247493.000,221635.000,-451020.000,203450.000,189023.000,189023.000,,,,,,
BasicEarningsPerShareAdjustmentProForma,,,,,,,,,,,,,,,,,0.010,,
BusinessAcquisitionProFormaEarningsPerShareBasic,,,,,,,,,,,,,,,,,0.020,,
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,,,,,,,,,,,,,,,0.020,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,,,,,,,,,,,,63000.000,,
BusinessAcquisitionsProFormaRevenue,,,,,,,,,,,,,,,,,5188000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-801000.000,,,,-1086000.000,,,,-144000.000,,,,23000.000,,,,-789000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,-311000.000,-77000.000,-4958000.000,-1193000.000,-1974000.000,-813000.000,-1262000.000,-499000.000,-252000.000,-165000.000,-215000.000,-199000.000,-136000.000,-129000.000,13000.000,38000.000,183000.000,132000.000
CostsAndExpenses,9507000.000,7763000.000,,,,,,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,,,-213000.000,,,,0.000,,,,,,,,,,,,-7000.000
Depreciation,,,217000.000,,,,211000.000,,,,202000.000,,,,190000.000,,,,167000.000
EarningsPerShareBasic,0.030,,,,,,,,,,,,,,,,0.010,,0.040
EarningsPerShareBasicAndDiluted,,-0.120,-0.030,-1.910,-0.460,-0.770,-0.310,-0.490,-0.190,-0.100,-0.070,-0.080,-0.070,-0.050,-0.050,0.010,,,
EarningsPerShareDiluted,0.030,,,,,,,,,,,,,,,,0.010,,0.040
EarningsPerShareDilutedProFormaAdjustment,,,,,,,,,,,,,,,,,0.010,,
EffectiveIncomeTaxRateContinuingOperations,,,0.720,,,,,,,,,,,,,,,,
EntityWideDisclosureOnGeographicAreasRevenueFromExternalCustomersAttributedToForeignCountries,,3767000.000,3613000.000,3401000.000,2982000.000,2408000.000,2617000.000,,,,,,,,,,,,
GainLossOnDispositionOfAssets1,,,,,,,,,,,,,,,-43000.000,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,91000.000,-461000.000,-296000.000,-829000.000,-1199000.000,-1947000.000,-809000.000,-1269000.000,-492000.000,-259000.000,-178000.000,-190000.000,-193000.000,-142000.000,-126000.000,15000.000,32000.000,62000.000,114000.000
