,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,,-236.000,,,,,,,
CostsAndExpenses,155642.000,174703.000,161983.000,164672.000,167871.000,166308.000,159453.000,167721.000,153670.000,176393.000,214209.000,192360.000,241487.000,229777.000
Depreciation,20050.000,20049.000,20205.000,20301.000,20049.000,22191.000,20331.000,20141.000,20049.000,20155.000,20279.000,21111.000,22965.000,22704.000
DirectCostsOfLeasedAndRentedPropertyOrEquipment,77732.000,44402.000,71010.000,76038.000,88320.000,96896.000,86417.000,103843.000,100212.000,112394.000,117396.000,99329.000,127002.000,122373.000
GeneralAndAdministrativeExpense,12681.000,26766.000,9400.000,12319.000,10925.000,13008.000,12835.000,10003.000,5500.000,4999.000,10132.000,9864.000,11137.000,7347.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,,,,,,,32951.000,,,
IncreaseDecreaseInAccountsReceivable,,,,,,,,,,,-1870.000,,,
IncreaseDecreaseInInterestPayableNet,,,,,,,,,,,28765.000,,,
IncreaseDecreaseInOperatingCapital,,,-66119.000,,,,51066.000,,,,,,,
IncreaseDecreaseInOtherOperatingAssets,,,,,,,,,,,-4786.000,,,
IncreaseDecreaseInOtherOperatingLiabilities,,,,,,,,,,,3952.000,,,
InterestAndOtherIncome,,,186.000,,,,321.000,539.000,33.000,1610.000,27505.000,428.000,10102.000,-9186.000
InterestExpense,35254.000,37142.000,40154.000,42738.000,22326.000,,26821.000,1826.000,366.000,,,,,
InterestExpenseOther,,,,,9557.000,,,,,,,0.000,,
InterestExpenseRelatedParty,,,,,,,,24630.000,25000.000,,50439.000,51538.000,53638.000,56116.000
LaborAndRelatedExpense,,,,,,,,,,,32981.000,,,
NetCashProvidedByUsedInOperatingActivities,,,-810.000,,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-810.000,,,,,,,,,,,
NetIncomeLoss,-114308.000,-139964.000,-87134.000,-98549.000,-87483.000,-81084.000,-71633.000,-73837.000,-57694.000,-69909.000,-79291.000,-74657.000,-107060.000,-114036.000
NetIncomeLossPerOutstandingLimitedPartnershipUnit,-5.270,,,-4.550,,,,,,,,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,,,,,,-3.410,-1.510,,-3.660,-3.450,-5.100,-5.110
OtherGeneralAndAdministrativeExpense,9925.000,46344.000,21214.000,13276.000,16694.000,17962.000,13049.000,7278.000,2509.000,16812.000,15963.000,10518.000,26745.000,21237.000
PartnersCapitalAccountPublicSaleOfUnits,,,,,,,,,,,20999800.000,,,
PartnersCapitalAccountUnitsSoldInPublicOffering,,,,,,,,,,,21002.800,,,
PaymentsForAdvanceToAffiliate,,,,,,,,,,,99600.000,,,
RealEstateRevenueNet,41334.000,34739.000,74663.000,66123.000,80388.000,81994.000,87499.000,93345.000,95943.000,104874.000,107413.000,117275.000,124325.000,124927.000
Revenues,,,74849.000,,,,87820.000,93884.000,95976.000,106484.000,134918.000,117703.000,134427.000,115741.000
SalesRevenueNet,,,74849.000,,,,87820.000,93884.000,95976.000,106484.000,134918.000,117703.000,134427.000,115741.000
WeightedAverageLimitedPartnershipUnitsOutstanding,21003.000,21003.000,21003.000,21003.000,21003.000,-42006.200,21003.000,21003.000,21003.000,-42006.200,21002.800,21002.800,21002.800,-42005.600
