,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,10000000.000,,,,,,,,,,,,,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,4100000.000,5000000.000,,,4200000.000,4500000.000,,4600000.000,4300000.000,4200000.000,-1100000.000,4700000.000,4700000.000,4700000.000,4900000.000,5100000.000,5200000.000,5400000.000,5300000.000,6800000.000,7100000.000,6800000.000,7300000.000,7000000.000
AllocatedShareBasedCompensationExpenseNetOfTax,,,,,4300000.000,,,,,,,,,3300000.000,3300000.000,,3200000.000,3300000.000,3400000.000,3100000.000,4300000.000,4500000.000,4300000.000,3900000.000,4000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,,,,,,,,300000.000,300000.000,,,100000.000,,,300000.000
BusinessCombinationIntegrationRelatedCosts,,,,,2400000.000,1300000.000,600000.000,-300000.000,,,,,,,,,3700000.000,4000000.000,1600000.000,,1000000.000,,,,
CashAcquiredFromAcquisition,,,,,,,,,,,,,,,,,16000000.000,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-35000000.000,,,,,,,,,,,,,,,,,,,,43000000.000,,,,-77000000.000
ComprehensiveIncomeNetOfTax,199000000.000,107000000.000,-155000000.000,42000000.000,106000000.000,75000000.000,195000000.000,-10000000.000,69000000.000,-3000000.000,83000000.000,139000000.000,80000000.000,116000000.000,-39000000.000,-1000000.000,-59000000.000,145000000.000,-57000000.000,53000000.000,162000000.000,155000000.000,138000000.000,50000000.000,172000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,2000000.000,2000000.000,2000000.000,1000000.000,2000000.000,2000000.000,1000000.000,1000000.000,1000000.000,2000000.000,2000000.000,2000000.000,3000000.000,2000000.000,2000000.000,1000000.000,2000000.000,2000000.000,2000000.000,4000000.000,3000000.000,3000000.000,3000000.000,3000000.000,3000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,201000000.000,109000000.000,-153000000.000,43000000.000,108000000.000,77000000.000,196000000.000,-9000000.000,70000000.000,-1000000.000,85000000.000,141000000.000,83000000.000,118000000.000,-37000000.000,0.000,-57000000.000,147000000.000,-55000000.000,57000000.000,165000000.000,158000000.000,141000000.000,53000000.000,175000000.000
CostOfGoodsSold,1161300000.000,1312800000.000,1351800000.000,1267100000.000,1278300000.000,1339800000.000,1365800000.000,1310100000.000,1278200000.000,1357400000.000,1352900000.000,1208500000.000,1107400000.000,1186800000.000,1162700000.000,1096100000.000,1049400000.000,1130300000.000,1106800000.000,1092500000.000,1021000000.000,1100000000.000,1120000000.000,1061000000.000,1101000000.000
DefinedBenefitPlansEstimatedFutureEmployerContributionsInCurrentFiscalYear,,,,,,,,,,,,,10000000.000,,,,10000000.000,,,,5000000.000,,,,3000000.000
DepreciationDepletionAndAmortization,49000000.000,,,,54000000.000,,,,49000000.000,,,,48000000.000,,,,47000000.000,,,,47000000.000,,,,51000000.000
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,,,,,,,,,,,,,,,,,,,,-10000000.000,-12000000.000,-6000000.000,-21000000.000,-4000000.000
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,,,,,,,,,,,,,,,,,,,,,-17000000.000,20000000.000,-27000000.000,7000000.000,8000000.000
EarningsPerShareBasic,2.010,1.030,1.150,1.250,1.230,1.420,1.470,1.470,1.430,1.220,1.120,1.370,0.970,1.370,1.620,0.860,1.170,1.490,1.510,1.450,1.770,1.620,1.980,1.330,1.720
EarningsPerShareDiluted,1.970,1.010,1.120,1.220,1.210,1.400,1.450,1.410,1.410,1.200,1.100,1.340,0.960,1.350,1.600,0.830,1.150,1.470,1.480,1.410,1.730,1.580,1.930,1.310,1.680
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,,,,,4000000.000,,,,-5000000.000,,,,-8000000.000,,,,-29000000.000,,,,11000000.000,,,,6000000.000
EffectiveIncomeTaxRateContinuingOperations,,,,,,0.184,0.255,,,0.219,0.258,,,,0.261,,,,0.318,,,,,,
EffectiveIncomeTaxRateReconciliationTaxContingencies,,,,,,,,,,,,,,,0.053,,,,,,,,,,
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,1400000.000,1400000.000,,1400000.000,1200000.000,1400000.000,1000000.000,1400000.000,1300000.000,1300000.000,1000000.000,1400000.000,1400000.000,1400000.000,2800000.000,1900000.000,1900000.000,2000000.000,2200000.000,2500000.000,2600000.000,2500000.000,3400000.000,3000000.000
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,1000000.000,,,,1000000.000,,,,,,,,,,,,2000000.000,,,,3000000.000,,,,
GrossProfit,298200000.000,271800000.000,275900000.000,280100000.000,295900000.000,295200000.000,313200000.000,333700000.000,305600000.000,276000000.000,258800000.000,290600000.000,249800000.000,295900000.000,297600000.000,271700000.000,280700000.000,318600000.000,329900000.000,312800000.000,339000000.000,355000000.000,369000000.000,339000000.000,352000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,115900000.000,129700000.000,,141500000.000,135700000.000,152800000.000,171000000.000,158300000.000,123800000.000,119000000.000,145900000.000,105700000.000,145400000.000,163000000.000,105900000.000,125500000.000,156200000.000,161200000.000,156100000.000,186000000.000,179000000.000,206000000.000,171000000.000,174000000.000
IncomeTaxExpenseBenefit,45300000.000,34900000.000,40200000.000,49600000.000,45800000.000,25000000.000,38900000.000,57300000.000,46300000.000,27100000.000,30700000.000,39900000.000,30500000.000,40800000.000,42600000.000,43100000.000,39800000.000,47300000.000,51200000.000,48700000.000,56000000.000,59000000.000,60000000.000,71000000.000,47000000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-20000000.000,,,,-58000000.000,,,,-67000000.000,,,,-12000000.000,,,,-40000000.000,,,,-55000000.000,,,,-48000000.000
IncreaseDecreaseInInventories,104000000.000,,,,42000000.000,,,,80000000.000,,,,35000000.000,,,,14000000.000,,,,32000000.000,,,,40000000.000
