,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccretionExpense,0.000,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-22.000,,-1647.000,,,,-110.000,,,,-34.000,,
ComprehensiveIncomeNetOfTax,72431.000,4495.000,2743.000,13745.000,-351627.000,-266338.000,-193921.000,-938001.000,-1218321.000,-371757.000,-84400.000,-60146.000,-354411.000,-106605.000
EarningsPerShareBasicAndDiluted,0.000,0.000,0.000,0.000,0.000,0.000,,,-0.010,0.000,,0.000,-0.020,0.000
ForeignCurrencyTransactionLossBeforeTax,,,,,,,,,,,,,-45172.000,-11714.000
GainLossOnDerivativeInstrumentsNetPretax,,,,,,,,,,,,,-183454.000,37732.000
GainLossOnInvestments,,,0.000,,,,,,,,,,,
GainLossOnSaleOfInterestInProjects,200000.000,,,,,,,,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,0.000,,,,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,0.000,,,,0.000,0.000,,,,,,,,
GeneralAndAdministrativeExpense,6149.000,1257.000,875.000,2380.000,411763.000,206949.000,-565016.000,5729.000,10397.000,13904.000,47726.000,50677.000,16005.000,11269.000
ImpairmentOfOilAndGasProperties,0.000,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,,-468648.000,-266338.000,,-938001.000,-1218321.000,-371757.000,380600.000,-60146.000,-354411.000,-106605.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,0.000,0.000,,-0.010,-0.010,0.000,-1.060,,,
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,117021.000,0.000,,0.000,0.000,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,,,0.000,0.000,,0.000,0.000,0.000,,,,
IncomeTaxesPaidNet,,0.000,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayable,,,,,,,,,,,,1268.000,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,3832.000,,-16916.000,,,,21107.000,,,,,,
IncreaseDecreaseInAccountsPayableRelatedParties,,,,,,,,61137.000,,,,50896.000,,
IncreaseDecreaseInAccountsReceivable,,-8349.000,,2394.000,,,,0.000,,,,,,
InterestAndDebtExpense,,,,,,,,,,,,1332.000,,
InterestExpense,0.000,,922.000,1334.000,,,,,,,,,,
InterestPaid,,0.000,,,,,,0.000,,,,,,
