,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-09-30
DepreciationAndAmortization,1377.000,,,,,,,
EarningsPerShareBasic,0.000,-0.000,0.000,-0.000,-0.000,0.000,,
EarningsPerShareBasicAndDiluted,,,,,,,0.000,0.000
GeneralAndAdministrativeExpense,82950.000,78469.000,75404.000,75265.000,75353.000,75706.000,75354.000,75355.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,1558.000,,,,178.000,
InterestExpense,2710.000,2777.000,2914.000,2939.000,3085.000,3161.000,3164.000,3389.000
InterestPaid,,,,,,,28.000,
NetCashProvidedByUsedInFinancingActivities,,,1760.000,,,,3340.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,1760.000,,,,3340.000,
NetCashProvidedByUsedInOperatingActivities,,,-1760.000,,,,-3340.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-1760.000,,,,-3340.000,
NetIncomeLoss,-87037.000,-81246.000,-78318.000,-78204.000,-78438.000,-78867.000,-78518.000,-78744.000
OperatingExpenses,84327.000,78469.000,75404.000,75265.000,75353.000,75706.000,75354.000,75355.000
OperatingIncomeLoss,-84327.000,-78469.000,-75404.000,-75265.000,-75353.000,-75706.000,-75354.000,-75355.000
OtherNoncashIncomeExpense,-2710.000,-2777.000,-2914.000,-2939.000,-3085.000,-3161.000,-3164.000,-3389.000
ProceedsFromRelatedPartyDebt,,,1760.000,,,,3340.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,320866147.000,320866147.000
WeightedAverageNumberOfSharesOutstandingBasic,320866147.000,320866147.000,320866147.000,320866147.000,320866147.000,-641732294.000,,
