,2011-07-31
CostOfGoodsSold,5800000.000
EarningsPerShareBasic,0.170
EarningsPerShareDiluted,0.170
GrossProfit,15217000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,3104000.000
IncomeTaxExpenseBenefit,1117000.000
InterestAndOtherIncome,78000.000
NetIncomeLoss,1987000.000
OperatingExpenses,12191000.000
OperatingIncomeLoss,3026000.000
ResearchAndDevelopmentExpense,1097000.000
SalesRevenueGoodsNet,21017000.000
SellingGeneralAndAdministrativeExpense,11094000.000
WeightedAverageNumberOfDilutedSharesOutstanding,11696.000
WeightedAverageNumberOfSharesOutstandingBasic,11518.000
