,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AmortizationOfDebtDiscountPremium,,,0.000,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-2805.000,,14175.000,,,,32949.000,,,,-3438.000,,,,5967.000,,,,-8042.000
CostOfGoodsSold,8022.000,3300.000,38986.000,15431.000,10383.000,43619.000,41181.000,102208.000,54198.000,12001.000,34309.000,65469.000,14548.000,14724.000,67792.000,38621.000,16806.000,18829.000,38200.000,22469.000,13673.000
Depreciation,,,10145.000,,10183.000,12764.000,,,14547.000,,,,14547.000,,,,11593.000,,,,4363.000
DepreciationDepletionAndAmortization,,,,,10182.000,,,,,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,0.000,0.000,0.000,-0.000,-0.010,-0.000,-0.000,0.000,0.000,-0.000,-0.000,-0.300,-0.010,-0.200,0.020,-0.020,-0.020,-0.010,-0.010,0.010,0.000
GrossProfit,24065.000,9899.000,98692.000,-25357.000,103915.000,55278.000,14512.000,46240.000,154158.000,25843.000,7189.000,-77551.000,47942.000,44676.000,42988.000,-15469.000,14719.000,36801.000,62940.000,35731.000,-6237.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,,,,,,,-455041.000,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,,,,,,,,,,-39057.000,-1916005.000,206249.000,,,,,,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,-974045.000,,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,62731.000,,69642.000,,,,32997.000,,,,21466.000,,,,23465.000,,,,-2574.000
IncreaseDecreaseInAccountsPayableRelatedParties,,,,,,,,,,,,,,,,,,,,,42766.000
IncreaseDecreaseInAccountsReceivable,,,88032.000,,22296.000,,,,60828.000,,,,2317.000,,,,,,,,-9600.000
IncreaseDecreaseInAccruedInterestReceivableNet,,,,,,,,,,,,,,,,,-1950.000,,,,
IncreaseDecreaseInAccruedLiabilities,,,,,,,,,,,,,1923.000,,,,,,,,1949.000
IncreaseDecreaseInCustomerDeposits,,,,,,,,,-12501.000,,,,,,,,,,,,
IncreaseDecreaseInInventories,,,-16320.000,,-1164.000,,,,,,,,,,,,,,,,-440.000
IncreaseDecreaseInNotesReceivableCurrent,,,0.000,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInPrepaidExpense,,,-2750.000,,-254600.000,,,,,,,,,,,,,,,,
InterestExpense,,,,,,,,,,,,,1923.000,1945.000,1959.000,1973.000,1950.000,1950.000,1950.000,1950.000,1950.000
InterestExpenseDebt,623.000,0.000,1503.000,1038.000,1085.000,7389.000,2143.000,2046.000,3321.000,1995.000,1950.000,,,,,,,,,,
InterestPaid,,,0.000,,1085.000,,,,,,,,,,,,,,,,
InvestmentIncomeInterest,0.000,2052.000,0.000,,,,,,,,,,,,,,,,,,
IssuanceOfStockAndWarrantsForServicesOrClaims,,,5000.000,,682495.000,,,,,,,,,,,,399000.000,,,,
NetCashProvidedByUsedInFinancingActivities,,,13502.000,,8066.000,,,,-4050.000,,,,,,,,25000.000,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,13502.000,,8066.000,,,,-4050.000,,,,,,,,25000.000,,,,
NetCashProvidedByUsedInInvestingActivities,,,-1300.000,,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-1300.000,,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities,,,-15007.000,,6109.000,,,,36999.000,,,,-3438.000,,,,-19033.000,,,,-8042.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-15007.000,,6109.000,,,,36999.000,,,,-3438.000,,,,-19033.000,,,,-8042.000
NetIncomeLoss,,,,,-974045.000,-638995.000,-277182.000,111686.000,62784.000,-58154.000,-1116265.000,-235265.000,-39057.000,-1916005.000,206249.000,-351316.000,-455041.000,-163004.000,-213990.000,135279.000,-64586.000
NonoperatingIncomeExpense,-623.000,2052.000,8497.000,-1038.000,-11268.000,-7389.000,-2143.000,214744.000,-2973.000,-1995.000,-1950.000,-59281.000,-1848.000,-1945.000,-1959.000,-2048.000,-1950.000,-19627.000,-1950.000,-1950.000,-1950.000
OperatingExpenses,,,,460932.000,1066692.000,686884.000,289551.000,149298.000,88401.000,82002.000,1121504.000,98433.000,85151.000,1958736.000,-165220.000,333799.000,-467810.000,180178.000,274980.000,834122.000,56399.000
OperatingIncomeLoss,-138765.000,-226301.000,-32418.000,-486289.000,-962777.000,-631606.000,-275039.000,-103058.000,65757.000,-56159.000,-1114315.000,-175984.000,-37209.000,-1914060.000,208208.000,-349268.000,-453091.000,-143377.000,-212040.000,137229.000,-62636.000
OtherNoncashIncome,,,0.000,,,,,,,,,,,,,,,,,,
OtherNonoperatingIncome,,,,,,,,,348.000,,,,75.000,,,,,,,,
OtherNonoperatingIncomeExpense,,,10000.000,,,,,,,,,,,,,,,,,,
PaymentsForProceedsFromOtherInvestingActivities,,,1300.000,,,,,,,,,,,,,,,,,,
ProceedsFromContributedCapital,,,0.000,,,,,,,,,,,,,,,,,,
ProceedsFromConvertibleDebt,,,0.000,,,,,,,,,,,,,,,,,,
ProceedsFromIssuanceOfCommonStock,,,11999.000,,,,,,,,,,,,,,,,,,
ProceedsFromIssuanceOfOtherLongTermDebt,,,0.000,,,,,,,,,,,,,,,,,,
ProceedsFromNotesPayable,,,,,,,,,,,,,,7175.000,,,,,,,
ProceedsFromPaymentsForOtherFinancingActivities,,,1503.000,,1066.000,,,,1950.000,,,,,,,,,,,,
ProceedsFromRelatedPartyDebt,,,0.000,,,,,,,,,,,,,,,,,,
ProceedsFromShortTermDebt,,,0.000,,,,,,,,,,,,,,,,,,
ProfitLoss,-139388000.000,-224249.000,-23921.000,-487327.000,,,,,,,,,,,,,,,,,
RepaymentsOfLongTermDebt,,,0.000,,-7000.000,,,,,,,,,,,,,,,,
RepaymentsOfNotesPayable,,,,,,,,,6000.000,,,,,1500.000,,,,,,,
