,2012-02-29,2012-05-31,2012-09-30
ComprehensiveIncomeNetOfTax,,-8968205.000,-754393.000
EarningsPerShareBasicAndDiluted,-0.000,-0.020,
GeneralAndAdministrativeExpense,806789.000,1668140.000,688990.000
ImpairmentOfOilAndGasProperties,,7027032.000,
IncomeLossFromContinuingOperations,-902694.000,-8968317.000,-754142.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.000,-0.020,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,-0.000,,
InterestExpenseRelatedParty,,220000.000,
InvestmentIncomeInterest,1127.000,697.000,256.000
NetIncomeLoss,-902694.000,-8968317.000,-754142.000
OperatingIncomeLoss,-903821.000,-1721982.000,-754398.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,112.000,-251.000
OtherGeneralAndAdministrativeExpense,97032.000,53842.000,65408.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,460267726.000,500470504.000,551517726.000
