,2011-06-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentPeriodIncreaseDecrease,,,,,,2683.000,,
AssetImpairmentCharges,,0.000,,,,,,
CashPeriodIncreaseDecrease,,-368500.000,,,,-198136.000,,
DebtInstrumentIncreaseDecreaseOtherNet,,,,,,111372.000,,
DebtInstrumentPeriodicPayment,,,,,,2618.000,,
Depreciation,,1674.000,,,,,,
DepreciationAndAmortization,,,,,,4082.000,,
EarningsPerShareBasic,,,,,,,0.000,0.000
EarningsPerShareBasicAndDiluted,0.000,0.000,-0.010,-0.010,,-0.000,,
EarningsPerShareDiluted,,,,,,,0.000,0.000
EscrowDepositDisbursementsRelatedToPropertyAcquisition,,,,,,20000.000,,
ExplorationExpenseMining,,,221067.000,10292.000,,2060.000,,40053.000
FinancingInterestExpense,,,,1824698.000,,,,
GainLossOnDerivativeInstrumentsNetPretax,-159918.000,127235.000,-206353.000,0.000,497961.000,-305994.000,-366444.000,-1065727.000
GeneralAndAdministrativeExpense,387004.000,752231.000,680713.000,,,56054.000,52121.000,56095.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-610772.000,-697647.000,-1745220.000,-2446810.000,,,,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,-2446810.000,,-107909.000,207164.000,657094.000
IncomeTaxExpenseBenefit,0.000,0.000,0.000,0.000,,,,
IncomeTaxesPaid,,0.000,,,,,,
IncreaseDecreaseInAccountsPayable,,,,,,16233.000,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,80296.000,,,,,,
IncreaseDecreaseInDeferredCharges,,-58419.000,,,,,,
IncreaseDecreaseInInterestPayableNet,,,,,,42504.000,,
IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,,,,,,1000.000,,
InterestExpense,63994.000,72839.000,72048.000,8001.000,-727763.000,-147522.000,87179.000,-68515.000
InterestPaid,,0.000,,,,,,
InvestmentIncomeInterest,144.000,188.000,50.000,224.000,-1029.000,-68.000,-23.000,-10.000
LicenseCosts,0.000,430917.000,,,,,,
NetCashProvidedByUsedInFinancingActivities,,272025.000,,,,144.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,272025.000,,,,144.000,,
NetCashProvidedByUsedInInvestingActivities,,-282.000,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-282.000,,,,,,
NetCashProvidedByUsedInOperatingActivities,,-640243.000,,,,-198280.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-640243.000,,,,-198280.000,,
NetIncomeLoss,-610772.000,-697647.000,-1745220.000,-2410195.000,-1046954.000,-107909.000,207164.000,657094.000
NetIncomeLossAttributableToNoncontrollingInterest,,,,-36615.000,,,,
OperatingExpenses,,,,2210425.000,,266449.000,246482.000,340128.000
OperatingIncomeLoss,-387004.000,-752231.000,-680713.000,-2210425.000,-283247.000,-266449.000,-246482.000,-340128.000
OtherExpenses,,,,,,158540.000,453646.000,997222.000
OtherGeneralAndAdministrativeExpense,101356.000,65808.000,178392.000,115948.000,,,,
PaidInKindInterest,,0.000,,,,144008.000,,
PaymentsForLoans,,,,,,78774.000,,
PaymentsToAcquirePropertyPlantAndEquipment,,282.000,,,,,,
ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,,20000.000,,,,,,
ProceedsFromPartnershipContribution,,0.000,,,,,,
ProceedsFromPaymentsForOtherFinancingActivities,,65505.000,,,,,,
ProceedsFromRelatedPartyDebt,,,,,,1000.000,,
ProceedsFromRepaymentsOfRelatedPartyDebt,,0.000,,,,,,
ProfessionalFees,29784.000,91574.000,119541.000,72681.000,59518.000,93095.000,62318.000,53857.000
ProfitLoss,,,,,,-107909.000,,
RepaymentsOfNotesPayable,,,,,,-856.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageIntrinsicValue,,,,,,-0.240,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,,,,,,-2500000.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,,,,,,0.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,,,,,,0.000,,
SponsorFees,255864.000,163932.000,161713.000,186806.000,176877.000,115240.000,132043.000,190123.000
StockIssuedDuringPeriodSharesOther,,,,,,2550000.000,,
StockIssuedDuringPeriodSharesStockOptionsExercised,,,,,,0.000,,
UnrealizedGainLossOnDerivatives,,127235.000,,,,305994.000,,
WeightedAverageNumberOfDilutedSharesOutstanding,,,,,,,616602286.000,656357097.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,3248588.000,,
WeightedAverageNumberOfSharesOutstandingBasic,,,,,,,338721105.000,451273723.000
