,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,-8371.000,,,,3061.000,,,,-983.000,,
DebtInstrumentIncreaseAccruedInterest,,,,,,11719.000,,,,,,
EarningsPerShareBasic,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000
EarningsPerShareDiluted,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000
GeneralAndAdministrativeExpense,3372.000,7275.000,5536.000,7689.000,3196.000,11830.000,3085.000,5576.000,6240.000,6750.000,9895.000,10080.000
IncreaseDecreaseInAccountsPayable,,92.000,,,,9892.000,,,,-232.000,,
IncreaseDecreaseInInterestPayableNet,,,,,,3204.000,,,,3847.000,,
IncreaseDecreaseInPrepaidExpense,,-1188.000,,,,,,,,,,
InterestExpense,-2824.000,-3073.000,3073.000,2462.000,,,,3611.000,,3848.000,3360.000,3711.000
InterestRevenueExpenseNet,,,,,,-3205.000,-3435.000,,,,,
NetCashProvidedByUsedInFinancingActivities,,,,,,5000.000,,,,6000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,,5000.000,,,,6000.000,,
NetCashProvidedByUsedInOperatingActivities,,-8371.000,,,,-1939.000,,,,-6983.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-8371.000,,,,-1939.000,,,,-6983.000,,
NetIncomeLoss,,,,-10151.000,,-15035.000,-6520.000,,,,,
NonoperatingIncomeExpense,,,,,,,,,,,,-3711.000
OperatingExpenses,3372.000,7275.000,5536.000,7689.000,3196.000,11830.000,3085.000,5576.000,6240.000,6750.000,9895.000,10080.000
OperatingIncomeLoss,-3372.000,-7275.000,-5536.000,-7689.000,-3196.000,-11830.000,-3085.000,-5576.000,-6240.000,-6750.000,-9895.000,-10080.000
OtherExpenses,-2824.000,-3073.000,-3073.000,,,,3435.000,-3611.000,,-3848.000,-3360.000,
OtherOperatingIncomeExpenseNet,,,,-2462.000,,-3205.000,,,,,,
ProceedsFromRelatedPartyDebt,,,,,,5000.000,,,,6000.000,,
ProfitLoss,-6196.000,-10348.000,-8609.000,,,,,-9187.000,,-10598.000,-13255.000,-13791.000
UnrecognizedTaxBenefitsPeriodIncreaseDecrease,,,0.000,0.000,,0.000,,,,,,
ValuationAllowanceDeferredTaxAssetChangeInAmount,,,,,,8000.000,,,,5100.000,,
WeightedAverageNumberOfDilutedSharesOutstanding,17300709.000,17300709.000,17300709.000,17300709.000,-34601418.000,17300709.000,17300709.000,17300709.000,-34601418.000,17300709.000,17300709.000,17300709.000
WeightedAverageNumberOfSharesOutstandingBasic,17300709.000,17300709.000,17300709.000,17300709.000,-34601418.000,17300709.000,17300709.000,17300709.000,-34601418.000,17300709.000,17300709.000,17300709.000
