,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AssetImpairmentCharges,,,,,,,,,,3014000.000,72890000.000,,7992000.000
BusinessCombinationAcquisitionRelatedCosts,,,,,,,,,,,,,186000.000
BusinessCombinationConsiderationTransferred1,,,,,,,,,,,,,118651000.000
CashAcquiredFromAcquisition,1962000.000,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-5923000.000,,,,-667000.000,,,,-6321000.000,,,,90664000.000
ComprehensiveIncomeNetOfTax,,,,,,,,,,47520000.000,-22393000.000,,43332000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,48389000.000,-24625000.000,,43512000.000
CostOfRealEstateRevenue,3162000.000,3195000.000,3914000.000,4467000.000,3952000.000,4216000.000,4244000.000,4634000.000,4203000.000,11293000.000,11472000.000,20387000.000,12116000.000
DebtInstrumentPeriodicPaymentPrincipal,,,,,-28627000.000,,,,,,,,
DepreciationAndAmortization,7241000.000,7329000.000,6883000.000,6196000.000,7233000.000,7306000.000,7308000.000,8804000.000,9438000.000,41272000.000,40288000.000,75050000.000,42891000.000
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,,,,,,0.000,0.000,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,0.000,0.000,114000.000,768000.000,0.000,0.000,0.000,0.000,,0.000,0.000,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,1000.000,,0.000,0.000,0.000,0.000,,0.000,0.000,,
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,,,18058000.000,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,276000.000,,,,,,,,,,
EarningsPerShareBasic,,,,,,,,,,0.200,-0.110,,0.170
EarningsPerShareDiluted,,,,,,,,,,0.200,-0.110,,0.170
GainLossOnSaleOfProperties,,0.000,17944000.000,,,,0.000,,7839000.000,,,,
GainLossOnSaleOfPropertiesBeforeApplicableIncomeTaxes,,,,,,,,,,25326000.000,16072000.000,,34193000.000
GainsLossesOnExtinguishmentOfDebt,,-267000.000,-90000.000,,-33000.000,0.000,0.000,0.000,0.000,-3194000.000,2538000.000,-319000.000,0.000
GeneralAndAdministrativeExpense,2465000.000,1824000.000,1744000.000,1658000.000,2018000.000,2345000.000,2235000.000,1943000.000,2073000.000,7747000.000,7510000.000,13774000.000,9457000.000
ImpairmentOfRealEstate,,,,,,,,,,,,,2698000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,11495000.000,10529000.000,10513000.000,8152000.000,11336000.000,11140000.000,9776000.000,9953000.000,18225000.000,49257000.000,-27140000.000,49957000.000,40732000.000
