,2011-03-31
AmortizationOfIntangibleAssets,11550000.000
CapitalExpendituresIncurredButNotYetPaid,10338000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,10630000.000
ComprehensiveIncomeNetOfTax,113987000.000
CostOfGoodsAndServicesSold,650018000.000
EarningsPerShareBasic,0.700
EarningsPerShareDiluted,0.690
EffectOfExchangeRateOnCashAndCashEquivalents,3972000.000
GrossProfit,259653000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,89024000.000
IncomeTaxExpenseBenefit,32690000.000
IncomeTaxesPaidNet,18260000.000
InterestExpense,19743000.000
InterestPaid,22317000.000
InvestmentIncomeInterest,2062000.000
NetCashProvidedByUsedInFinancingActivities,6602000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,6602000.000
NetCashProvidedByUsedInInvestingActivities,-24548000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-24548000.000
NetCashProvidedByUsedInOperatingActivities,24604000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,24604000.000
NetIncomeLoss,56334000.000
OperatingIncomeLoss,109158000.000
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPeriodIncreaseDecrease,1271000.000
OtherComprehensiveIncomeDefinedBenefitPlansTax,598000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPeriodIncreaseDecrease,51081000.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,57653000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,5301000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodTax,-2721000.000
OtherNonoperatingExpense,2453000.000
PaymentsForProceedsFromOtherInvestingActivities,475000.000
PaymentsOfDividendsCommonStock,2034000.000
PaymentsToAcquireInvestments,950000.000
PaymentsToAcquirePropertyPlantAndEquipment,23682000.000
ProceedsFromBankDebt,11423000.000
ProceedsFromPaymentsForOtherFinancingActivities,-8000.000
ProceedsFromSaleMaturityAndCollectionsOfInvestments,518000.000
ProceedsFromSaleOfPropertyPlantAndEquipment,41000.000
RepaymentsOfBankDebt,2459000.000
RepaymentsOfSecuredDebt,320000.000
ResearchAndDevelopmentExpense,23814000.000
Revenues,909671000.000
SalesRevenueNet,909671000.000
SellingGeneralAndAdministrativeExpense,115131000.000
WeightedAverageNumberOfDilutedSharesOutstanding,82125915.000
WeightedAverageNumberOfSharesOutstandingBasic,80923776.000
