,2011-06-30,2011-12-31
CashPeriodIncreaseDecrease,,42073.000
EarningsPerShareBasicAndDiluted,0.000,0.000
ExplorationExpenseMining,130445.000,7212.000
GeneralAndAdministrativeExpense,78094.000,58285.000
IncreaseDecreaseInAccountsPayable,,-6118.000
MarketingAndAdvertisingExpense,,6885.000
NetCashProvidedByUsedInFinancingActivities,,100000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,100000.000
NetCashProvidedByUsedInOperatingActivities,,-57927.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-57927.000
NetIncomeLoss,-208539.000,-77709.000
ProceedsFromIssuanceOfCommonStock,,100000.000
RelatedPartyCosts,,5327.000
ShareBasedCompensation,,25900.000
