,2013-12-31
AccountsPayableCurrentAndNoncurrent,309146.000
AccruedFeesAndOtherRevenueReceivable,142247.000
AccruedLiabilitiesCurrentAndNoncurrent,17462.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,11126728.000
AllowanceForDoubtfulAccountsReceivable,35562.000
Assets,2715883.000
BuildingsAndImprovementsGross,11033967.000
CapitalLeasedAssetsGross,157604.000
CashAndCashEquivalentsAtCarryingValue,375142.000
DeferredRevenue,51461.000
DividendsPayableCurrentAndNoncurrent,200650.000
DueToRelatedPartiesCurrentAndNoncurrent,342035.000
GeneralPartnersCapitalAccount,-126068.000
Land,2076627.000
Liabilities,1119970.000
LiabilitiesAndStockholdersEquity,2715883.000
LimitedPartnersCapitalAccount,1721981.000
LimitedPartnersCapitalAccountUnitsOutstanding,31783.000
OtherAssets,57024.000
OtherLiabilities,199216.000
PartnersCapital,1595913.000
PrepaidAdvertising,0.000
PropertyPlantAndEquipmentGross,13268198.000
PropertyPlantAndEquipmentNet,2141470.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1595913.000
