,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AssetImpairmentCharges,,,,,,,,,80600000.000,,0.000,2000000.000,0.000,0.000,0.000,100000.000,0.000,12400000.000,200000.000,100000.000,,,
AssetRetirementObligationAccretionExpense,,,700000.000,,,,800000.000,,,,800000.000,,,,800000.000,,,,1000000.000,,,,
AssetRetirementObligationLiabilitiesIncurred,,,700000.000,,,,400000.000,,,,400000.000,,,,100000.000,,,,200000.000,,,,
AssetRetirementObligationLiabilitiesSettled,,,0.000,,,,400000.000,,,,700000.000,,,,900000.000,,,,400000.000,,,,
AssetRetirementObligationRevisionOfEstimate,,,-1100000.000,,,,-6800000.000,,,,400000.000,,,,5700000.000,,,,2100000.000,,75100000.000,,
BusinessCombinationProFormaInformationEarningsOrLossOfAcquireeSinceAcquisitionDateActual,,,,,,,,,300000.000,,,,,,,,,,,,,,
BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,,,,,,,,,1500000.000,,,,,,,,,,,,,,
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,,,,,,,,,,,,,,,11500000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-3500000.000,,,,-9600000.000,,,,-10400000.000,,,,-27200000.000,,,,-24600000.000,,,,2400000.000
CommonStockDividendsPerShareCashPaid,0.152,0.152,0.163,0.163,0.170,0.169,0.170,0.180,0.180,0.180,0.180,0.190,0.190,0.190,0.210,0.210,0.210,0.210,0.220,0.220,,,
ComprehensiveIncomeNetOfTax,40800000.000,12800000.000,75200000.000,39300000.000,33900000.000,43400000.000,73000000.000,44300000.000,-13500000.000,161900000.000,87800000.000,43100000.000,41100000.000,-5000000.000,88400000.000,44300000.000,37000000.000,55000000.000,80900000.000,35200000.000,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,40800000.000,12800000.000,75200000.000,,,,,,,,,,,,,,,,,,,,
CostOfDomesticRegulatedGasRevenue,,,,,,,,,,,,,,,,,,,,,39700000.000,,241300000.000
CostOfGoodsSoldOilAndGas,31200000.000,-30000000.000,152700000.000,-11500000.000,-42100000.000,93200000.000,199700000.000,-7300000.000,-35000000.000,128500000.000,148200000.000,-24300000.000,-42300000.000,104700000.000,131800000.000,-9000000.000,-52600000.000,105000000.000,158500000.000,-27700000.000,,,
CostOfNaturalGasPurchases,,,,,,,,,,,100000.000,300000.000,200000.000,300000.000,300000.000,400000.000,600000.000,400000.000,500000.000,400000.000,,,
CostOfPropertyRepairsAndMaintenance,39800000.000,35400000.000,56700000.000,39700000.000,36800000.000,47600000.000,48200000.000,37600000.000,36400000.000,52100000.000,55700000.000,41200000.000,39200000.000,52900000.000,52300000.000,40500000.000,38600000.000,50200000.000,50400000.000,39900000.000,,,
CostOfRevenue,,,,,,,,,,,,,,,,,,,,,39700000.000,,
DeferredIncomeTaxExpenseBenefit,,,39600000.000,,,,25400000.000,,,,-1200000.000,,,,-3800000.000,,,,-5100000.000,,,,15700000.000
DefinedBenefitPlanRecognizedNetGainLossDueToSettlements1,,,,,,,,,,,,,,,,,,,0.000,0.000,,,
DepreciationAmortizationAndAccretionNet,,,,,,,,,,,,,,,,,,,,,,,16200000.000
DepreciationAndAmortization,38900000.000,40100000.000,44200000.000,45500000.000,45900000.000,46000000.000,48500000.000,47500000.000,47400000.000,51400000.000,55300000.000,56800000.000,50800000.000,50800000.000,54300000.000,53600000.000,55000000.000,53100000.000,55900000.000,56400000.000,,,
DepreciationDepletionAndAmortization,,,46300000.000,,,,50200000.000,,,,57200000.000,,,,56200000.000,,,,58400000.000,,,,
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,,,0.000,,,,,,,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,0.000,,,,,,,,,,,,,,,,,,,,
EarningsPerShareBasic,0.220,0.210,0.420,,,,,,,,0.480,0.230,0.220,0.360,0.480,0.230,0.180,0.290,0.450,0.190,,,
EarningsPerShareDiluted,0.220,0.200,0.420,,,,,,,,0.480,0.230,0.220,0.360,0.480,0.230,0.180,0.290,0.450,0.190,,,
EquityMethodInvestmentDividendsOrDistributions,,,1300000.000,,,,1500000.000,,,,1600000.000,,,,1500000.000,,,,1500000.000,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,3500000.000,,,,1400000.000,,,,500000.000,,,,0.000,,,,100000.000,,,,
FairValueMeasuredOnRecurringBasisGainLossIncludedInEarnings,,,,,,,,,,,,,,,,,,,,,0.000,,0.000
GainLossOnDispositionOfAssets,0.000,200000.000,2200000.000,400000.000,2500000.000,0.000,0.000,100000.000,0.000,,0.000,100000.000,1500000.000,,0.000,,,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,,,2200000.000,,,,0.000,,,,,,,,,1400000.000,200000.000,,300000.000,100000.000,,,
GasGatheringTransportationMarketingAndProcessingRevenue,,,,,,,,,,,,,,,,,,,,,,,6900000.000
GeneralAndAdministrativeExpense,26200000.000,24100000.000,29100000.000,29900000.000,29000000.000,32800000.000,33800000.000,32000000.000,24400000.000,30800000.000,31500000.000,30500000.000,26000000.000,39900000.000,29400000.000,27400000.000,26500000.000,25700000.000,29600000.000,26000000.000,,,
IncomeLossFromContinuingOperations,40300000.000,36100000.000,75200000.000,39200000.000,33800000.000,63800000.000,,,,,,,,,,,,,,,,,
