,2011-06-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,-9929000.000,,,,-14878000.000,,,,-7339000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-804000.000,,,,-14884000.000,,,,-11058000.000,
DepreciationAndAmortization,2329000.000,2954000.000,2269000.000,2089000.000,2312000.000,1715000.000,1844000.000,1794000.000,1928000.000,1557000.000,1565000.000
GainLossOnDispositionOfAssets,,,,,,,,,,2000.000,
GainLossOnDispositionOfProperty,,-689000.000,,,,68000.000,,,,,
IncomeLossFromContinuingOperations,5199000.000,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,6236000.000,10348000.000,5901000.000,14121000.000,15234000.000,32610000.000,4656000.000,10532000.000,6463000.000,12538000.000,4245000.000
IncomeTaxExpenseBenefit,1037000.000,3855000.000,2211000.000,5012000.000,,10592000.000,1753000.000,3644000.000,2410000.000,4668000.000,1646000.000
IncreaseDecreaseInAccountsPayable,,-212000.000,,,,989000.000,,,,751000.000,
IncreaseDecreaseInAccountsReceivable,,5473000.000,,,,1934000.000,,,,4302000.000,
IncreaseDecreaseInEmployeeRelatedLiabilities,,-1145000.000,,,,-1666000.000,,,,-764000.000,
IncreaseDecreaseInInsuranceSettlementsReceivable,,,,,,18102000.000,,,,,
IncreaseDecreaseInInterestPayableNet,,-9112000.000,,,,-9050000.000,,,,-8972000.000,
IncreaseDecreaseInOtherAccruedLiabilities,,425000.000,,,,-1635000.000,,,,62000.000,
IncreaseDecreaseInOtherCurrentAssets,,,,,,272000.000,,,,304000.000,
IncreaseDecreaseInOtherNoncurrentAssets,,49000.000,,,,-5000.000,,,,-2000.000,
IncreaseDecreaseInOtherOperatingLiabilities,,,,,,-210000.000,,,,-438000.000,
InterestExpense,9303000.000,9235000.000,9269000.000,9277000.000,9203000.000,9268000.000,9255000.000,9211000.000,9171000.000,9263000.000,9287000.000
InvestmentIncomeInterest,,,8000.000,160000.000,,166000.000,,,,,
NetCashProvidedByUsedInFinancingActivities,,3000000.000,,,,-20900000.000,,,,-11500000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,3000000.000,,,,-20900000.000,,,,-11500000.000,
NetCashProvidedByUsedInInvestingActivities,,-368000.000,,,,-1124000.000,,,,-89000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-368000.000,,,,-1124000.000,,,,-89000.000,
NetCashProvidedByUsedInOperatingActivities,,-3436000.000,,,,7140000.000,,,,531000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-3436000.000,,,,7140000.000,,,,531000.000,
NetIncomeLoss,5199000.000,6493000.000,3690000.000,9109000.000,9638000.000,22018000.000,2903000.000,6888000.000,4053000.000,7870000.000,2599000.000
NonoperatingIncomeExpense,-9833000.000,-9634000.000,-9661000.000,-9494000.000,,-5475000.000,-9371000.000,-9479000.000,,-9632000.000,-9656000.000
OperatingExpenses,33204000.000,32633000.000,31908000.000,32383000.000,33512000.000,33112000.000,34584000.000,35291000.000,35391000.000,34874000.000,34247000.000
OperatingIncomeLoss,16069000.000,19982000.000,15562000.000,23615000.000,24643000.000,38085000.000,14027000.000,20011000.000,15828000.000,22170000.000,13901000.000
OtherDepreciationAndAmortization,,2265000.000,,,,1783000.000,,,,1559000.000,
OtherGeneralAndAdministrativeExpense,1763000.000,1653000.000,1632000.000,1665000.000,2104000.000,1679000.000,1620000.000,1682000.000,1981000.000,1667000.000,1481000.000
OtherNoncashExpense,,372000.000,,,,337000.000,,,,337000.000,
OtherNonoperatingIncomeExpense,-530000.000,-399000.000,-400000.000,-377000.000,-366000.000,-366000.000,-368000.000,-368000.000,-368000.000,-369000.000,-369000.000
OtherNonrecurringIncome,,,,,,3993000.000,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,687000.000,,,,1211000.000,,,,94000.000,
ProceedsFromLifeInsurancePolicies,,,,,,,18102000.000,,,,
ProceedsFromLinesOfCredit,,26000000.000,,,,27500000.000,,,,23000000.000,
ProceedsFromSaleOfPropertyPlantAndEquipment,,319000.000,,,,87000.000,,,,5000.000,
ProvisionForDoubtfulAccounts,,134000.000,,,,134000.000,,,,58000.000,
RepaymentsOfLinesOfCredit,,21000000.000,,,,15500000.000,,,,5000000.000,
Revenues,49273000.000,52615000.000,47470000.000,55998000.000,58155000.000,71197000.000,48611000.000,55302000.000,51219000.000,57044000.000,48148000.000
SalesRevenueNet,49273000.000,52615000.000,47470000.000,55998000.000,58155000.000,71197000.000,48611000.000,55302000.000,51219000.000,57044000.000,48148000.000
