,2011-01-30
CommonStockDividendsPerShareDeclared,0.090
CostOfGoodsSold,664700000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,1000000.000
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,-1900000.000
EarningsPerShareBasic,0.430
EarningsPerShareDiluted,0.420
GrossProfit,304700000.000
IncomeLossFromContinuingOperations,84200000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,132400000.000
IncomeLossFromContinuingOperationsPerBasicShare,0.420
IncomeLossFromContinuingOperationsPerDilutedShare,0.410
IncomeLossFromDiscontinuedOperationsNetOfTax,2900000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,0.010
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,0.010
IncomeTaxExpenseBenefit,48200000.000
InterestExpense,18800000.000
NetIncomeLoss,87100000.000
OperatingIncomeLoss,145400000.000
OtherNonoperatingIncomeExpense,5800000.000
Revenues,969400000.000
SalesRevenueNet,969400000.000
SellingGeneralAndAdministrativeExpense,159300000.000
