,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AccountsPayableRelatedPartiesCurrent,,,,,,,,,,,,,,,,,40500.000,166000.000,444600.000,639900.000,1381400.000
AccruedLiabilitiesCurrent,42700.000,40200.000,21300.000,24400.000,15900.000,8200.000,20100.000,3800.000,200.000,12500.000,4500.000,16500.000,6300.000,12800.000,9900.000,13600.000,7600.000,15400.000,11500.000,17100.000,12900.000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,2139700.000,1863500.000,858400.000,687300.000,587600.000,441000.000,65900.000,18100.000,3900.000,-2400.000,-17400.000,-26800.000,-33600.000,-22200.000,41100.000,32600.000,24600.000,17700.000,12000.000,8000.000,4900.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,,,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,
AssetRetirementObligation,8965800.000,9096400.000,9516300.000,9637500.000,9758700.000,9817300.000,9702200.000,9832500.000,9964400.000,10095900.000,9288800.000,9426600.000,9563800.000,9701600.000,12951100.000,13136300.000,13321500.000,13325000.000,13482700.000,13585200.000,13688300.000
Assets,51366900.000,49200800.000,36467600.000,34882600.000,33286600.000,32230500.000,24078500.000,23196000.000,22699100.000,21717100.000,20222000.000,20070400.000,19716300.000,18926000.000,11487900.000,11201700.000,10744300.000,7642800.000,7559600.000,7451000.000,7751600.000
AssetsCurrent,5233200.000,4724400.000,3336100.000,2718100.000,2016800.000,1886900.000,2022600.000,1829700.000,2068800.000,1728500.000,1495400.000,1636200.000,1584400.000,1029400.000,1177400.000,1031300.000,721200.000,714800.000,441500.000,379400.000,356500.000
AssetsFairValueDisclosureNonrecurring,,,,,,,,,0.000,,,,0.000,0.000,,0.000,0.000,0.000,,,
CapitalizedCostsAccumulatedDepreciationDepletionAmortizationAndValuationAllowanceForRelatingToOilAndGasProducingActivities,,,,,,,247148800.000,,,,249492000.000,,,,260589400.000,,,,260946300.000,,
CapitalizedCostsOilAndGasProducingActivitiesNet,,,,,,,21964600.000,,,,18680800.000,,,,10258100.000,,,,6858600.000,,
CapitalizedCostsSupportEquipmentAndFacilities,,,,,,,6777600.000,,,,6777600.000,,,,6766300.000,,,,6675800.000,,
CapitalizedCostsWellsAndRelatedEquipmentAndFacilities,,,,,,,262335800.000,,,,261395200.000,,,,264081200.000,,,,261129100.000,,
Cash,,,,,,,,,,,,,,,,,,,,0.000,0.000
CashAndCashEquivalentsAtCarryingValue,661000.000,746300.000,393000.000,353100.000,162200.000,49300.000,170700.000,307200.000,225900.000,0.000,256400.000,,,0.000,,,,0.000,0.000,,
CashEquivalentsAtCarryingValue,,,,,,,,,,,282104.000,,,,,,,,,,
CashUninsuredAmount,,,,,,,,,,,32104.000,,,,,,,,,,
DerivativeAssetFairValueNet,,,,,,,113700.000,,,,,,,,,,,,,,
DerivativeAssets,,,,,,,,,,,,,,,,,,,,110900.000,45400.000
DerivativeAssetsCurrent,,,,,,,,,,,,,,,,,,,,110900.000,45400.000
DerivativeFairValueOfDerivativeNet,,,,,,,113700.000,79100.000,75100.000,79500.000,54600.000,45400.000,39400.000,51800.000,115000.000,123400.000,96400.000,102500.000,132300.000,,
DueFromRelatedPartiesCurrent,4572200.000,3978100.000,2943100.000,2365000.000,,,,,,,,,,,,,,,,,
DueFromRelatedPartiesNoncurrent,1485400.000,1167500.000,721500.000,552500.000,,,,,,,,,,,,,,,,,
FutureNetCashFlowsRelatingToProvedOilAndGasReservesCashInflows,,,,,,,,,,,,,,,39780300.000,,,,9487400.000,,
FutureNetCashFlowsRelatingToProvedOilAndGasReservesNetCashFlows,,,,,,,,,,,,,,,15117300.000,,,,3441800.000,,
FutureNetCashFlowsRelatingToProvedOilAndGasReservesProductionCosts,,,,,,,,,,,,,,,24663000.000,,,,6045600.000,,
FutureNetCashFlowsRelatingToProvedOilAndGasReservesTenPercentAnnualDiscountForEstimatedTimingOfCashFlows,,,,,,,,,,,,,,,5831000.000,,,,1173500.000,,
GeneralPartnersCapitalAccount,14449000.000,13924900.000,11397800.000,11059800.000,10730300.000,10554700.000,8546900.000,8347100.000,8252600.000,7956500.000,7789900.000,7761200.000,7643500.000,7364100.000,2637200.000,2422700.000,2178200.000,744800.000,539000.000,388200.000,206700.000
LiabilitiesAndStockholdersEquity,51366900.000,49200800.000,36467600.000,34882600.000,33286600.000,32230500.000,24078500.000,23196000.000,22699100.000,21717100.000,20222000.000,20070400.000,19716300.000,18926000.000,11487900.000,11201700.000,10744300.000,7642800.000,7559600.000,7451000.000,7751600.000
LiabilitiesCurrent,42700.000,40200.000,21300.000,24400.000,15900.000,8200.000,20100.000,3800.000,200.000,12500.000,4500.000,16500.000,6300.000,29300.000,50000.000,55300.000,91300.000,226000.000,517100.000,701100.000,1425000.000
LiabilitiesFairValueDisclosureNonrecurring,,,,,,,,,0.000,,,,0.000,0.000,,0.000,0.000,0.000,,,
LimitedPartnersCapitalAccount,25769700.000,24275800.000,14673800.000,13473600.000,12194100.000,11409300.000,5715900.000,4953300.000,4419700.000,3580400.000,3074100.000,2820400.000,2473400.000,1799700.000,-4237400.000,-4479700.000,-4894300.000,-6682100.000,-6991200.000,-7231500.000,-7573300.000
LimitedPartnersCapitalAccountUnitsOutstanding,20000.000,20000.000,20000.000,20000.000,20000.000,20000.000,20000.000,20000.000,20000.000,20000.000,20000.000,20000.000,20000.000,20000.000,20000.000,20000.000,20000.000,20000.000,20000.000,20000.000,20000.000
OilAndGasPropertySuccessfulEffortMethodAccumulatedDepreciationDepletionAmortizationAndImpairment,,,,,240802600.000,239588400.000,247148800.000,247815600.000,248534300.000,249183000.000,249492000.000,249777600.000,250074700.000,250391300.000,260589400.000,260728100.000,260855000.000,261226200.000,260946300.000,260991700.000,261046800.000
OilAndGasPropertySuccessfulEffortMethodNet,44648300.000,43308900.000,32410000.000,31612000.000,30889400.000,30150200.000,21964600.000,21293400.000,20572000.000,19926600.000,18680800.000,18395200.000,18100100.000,17861400.000,10258100.000,10119400.000,9992200.000,6909000.000,6858600.000,6812700.000,6757600.000
PartnersCapital,42358400.000,40064200.000,26930000.000,25220700.000,23512000.000,22405000.000,14328700.000,13318500.000,12676200.000,11534500.000,10846600.000,10554800.000,10083300.000,9141600.000,-1559100.000,-2024400.000,-2691500.000,-5919600.000,-6440200.000,-6835300.000,-7361700.000
ProvedOilAndGasPropertySuccessfulEffortMethod,,,,,271692000.000,269738600.000,269113400.000,,269106300.000,269109600.000,268172800.000,268172800.000,268174800.000,268252700.000,270847500.000,270847500.000,270847200.000,268135200.000,267804900.000,267804400.000,267804400.000
RelatedPartyTransactionDueFromToRelatedPartyCurrent,,,,,1023000.000,1149200.000,1371400.000,1174900.000,1597500.000,1570600.000,1156400.000,1583800.000,1508300.000,873400.000,944600.000,699500.000,371200.000,346800.000,309200.000,268500.000,311100.000
StandardizedMeasureOfDiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReserves,,,,,,,,,,,,,,,9286300.000,,,,2268300.000,,
UnbilledReceivablesCurrent,,,,,854900.000,995300.000,1155300.000,960200.000,1272900.000,,910500.000,1135300.000,1050700.000,637800.000,754300.000,541900.000,371200.000,346800.000,309200.000,,
