,2011-06-30,2012-03-31,2012-06-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2015-03-31,2015-06-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AllocatedShareBasedCompensationExpense,,,,,,,,,,,,,,,1407556.000,610822.000,,,
AmortizationOfAcquiredIntangibleAssets,,,,19607.000,,,,,,,,,,,,,,,
AmortizationOfIntangibleAssets,,,,19607.000,,,,19608.000,,,,278032.000,279860.000,282698.000,,,,282699.000,276551.000
BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,,,,,,,,,,,,,,1194862.000,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,,,,,,,,,-3371514.000,,,,942192.000,
CashPeriodIncreaseDecrease,,,,-563819.000,,,,-1106671.000,,,,,,,,,,,
ConversionOfStockAmountConverted1,,,,14.000,,,,50.000,,,,,,,,,,,
Depreciation,,,,2364.000,,,,2921.000,,,,,,15042.000,,,,15736.000,
DepreciationAndAmortization,,,,,,,,,,,,295262.000,283075.000,297740.000,296077.000,296143.000,299316.000,298435.000,291876.000
EarningsPerShareBasic,-0.080,,,,,,,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,,-0.030,-0.010,-0.050,-0.010,-0.070,-0.170,-0.100,-0.100,-0.090,-0.120,-0.120,-0.110,-0.200,-0.170,-0.240,-0.210,-0.210,-0.210
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationPurchasesSalesIssuesSettlements,,,,,,,,,,,,,,-2061136.000,,,,,
GainLossOnDerivativeInstrumentsNetPretax,-2835983.000,-504870.000,174867.000,-1403123.000,285481.000,,,,,,,,,,,,,,
GainLossOnSaleOfDerivatives,,,,-1403123.000,,,,,,,,,,,,,,,
GeneralAndAdministrativeExpense,228387.000,35414.000,30644.000,70190.000,33822.000,138545.000,69984.000,57777.000,146777.000,263511.000,87670.000,3637563.000,1554997.000,1218128.000,2966363.000,1664882.000,1806954.000,1746356.000,1404060.000
ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,,,,,,,,,,,,338906.000,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-3137548.000,-1412317.000,-460753.000,-2218352.000,-292258.000,-1338431.000,-1803447.000,-2021925.000,-1968251.000,-2052089.000,-3088399.000,-3400548.000,-3345997.000,-6145462.000,-5284859.000,-7699741.000,-6636136.000,-6975654.000,-7690072.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-3137548.000,-1412317.000,-460753.000,-2218352.000,-292258.000,-1338431.000,-1803447.000,-2021925.000,-1968251.000,,,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,-0.030,-0.010,-0.050,-0.010,-0.070,-0.170,,-0.100,,,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicShare,-0.080,,,,,,,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,0.000,,,,,,,,,,,,,,,,,,
IncomeLossFromEquityMethodInvestments,,,,,,,,,,,,-41211.000,-30088.000,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,-95914.000,,,,-165455.000,,,,,,948522.000,,,,-507793.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,-7563.000,,,,,,,,,,,,,,,
InterestExpense,84.000,,906.000,559.000,,2988.000,,513.000,,3582.000,,1100.000,2824.000,,,,,,
InterestIncomeExpenseNet,,,,,,,,,,,,,,816.000,5553.000,3730.000,2004.000,281.000,-208.000
InterestPaid,,,,560.000,,,,513.000,,,,,,406.000,,,,1320.000,
InvestmentIncomeInterest,,,,,,,,,,,,564.000,796.000,,,,,,
IssuanceOfStockAndWarrantsForServicesOrClaims,,,,,,,,,,,,,,137424.000,,,,440052.000,
NetCashProvidedByUsedInFinancingActivities,,,,97329.000,,,,185951.000,,,,,,-34523.000,,,,6877486.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,97329.000,,,,185951.000,,,,,,-34523.000,,,,6877486.000,
NetCashProvidedByUsedInInvestingActivities,,,,,,,,,,,,,,-10550.000,,,,-4833.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,,,,,,,,-10550.000,,,,-4833.000,
NetCashProvidedByUsedInOperatingActivities,,,,-661148.000,,,,-1292622.000,,,,,,-3326441.000,,,,-5930461.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,,-661148.000,,,,-1292622.000,,,,,,-3326441.000,,,,-5930461.000,
NetIncomeLoss,-3137548.000,-1412317.000,-460753.000,-2218352.000,-292258.000,-1338431.000,-1803447.000,-2021925.000,-1968251.000,-2052089.000,-3088399.000,-3400548.000,-3345997.000,-6145462.000,-5284859.000,-7699741.000,-6636136.000,-6975654.000,-7690072.000
NonoperatingIncomeExpense,-2836017.000,-504845.000,173972.000,-1403601.000,375885.000,-2856.000,-1000.000,-432.000,132.000,4327.000,-11767.000,3405540.000,-11157.000,-2553314.000,1311176.000,-101114.000,173107.000,281.000,-208.000
OperatingExpenses,301531.000,907472.000,634725.000,814751.000,668143.000,1335575.000,1802447.000,2021493.000,1968383.000,2056416.000,3076632.000,,,,,,,,
OperatingIncomeLoss,-301531.000,-907472.000,-634725.000,-814751.000,-668143.000,-1335575.000,-1802447.000,-2021493.000,-1968383.000,-2056416.000,-3076632.000,-6806088.000,-3334840.000,-3592148.000,-6596035.000,-7598627.000,-6809243.000,-6975935.000,-7689864.000
OtherIncome,,,,,,,,,,,,,,3419.000,,,,,
OtherNonoperatingIncomeExpense,50.000,25.000,11.000,81.000,90404.000,132.000,142.000,81.000,132.000,7909.000,357.000,,,,,,,,
OtherSignificantNoncashTransactionValueOfConsiderationGiven1,,,,,,,,,,,,,,2061136.000,,,,,
PaymentsToAcquireBusinessesGross,,,,,,,,,,,,,,3500000.000,,,,,
PaymentsToAcquireProductiveAssets,,,,,,,,,,,,,,10550.000,,,,4833.000,
ProceedsFromIssuanceOfCommonStock,,,,,,,,,,,,,,,,,,6846483.000,
ProceedsFromWarrantExercises,,,,111891.000,,,,200002.000,,,,,,13540.000,,,,118801.000,
ProfessionalFees,,160939.000,133160.000,47031.000,74149.000,319063.000,168165.000,384215.000,400804.000,628152.000,367486.000,,,,,,,,
