,2011-10-31,2012-01-31,2012-07-31,2013-01-31,2013-07-31,2014-01-31,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-06-30,2015-09-30,2016-03-31
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentPeriodIncreaseDecrease,,,,,,,,,,,24037.000,19500.000,14451.000
AmortizationOfIntangibleAssets,,,,,,,,,,,23389.000,23010.000,9426.000
BusinessDevelopment,,,,,,,,,,,,190000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,30380.000,,-1250.000,,,,,,3349.000
ComprehensiveIncomeNetOfTax,,,,,,,,,,,-1054637.000,118781.000,70067.000
CostOfGoodsSold,,,,,,,,,,,56.000,-34.000,0.000
CostOfRevenue,,,,,,,,,,,699272.000,490833.000,518695.000
CostOfServices,1550.000,1561.000,,,,,,,,,699216.000,490867.000,518695.000
CurrentIncomeTaxExpenseBenefit,,,,,,,,,,,,,0.000
DeferredIncomeTaxExpenseBenefit,,,,,,,,,,,,,174360.000
DepreciationAndAmortization,,,,,,,,,,,,42519.000,23877.000
DirectTaxesAndLicensesCosts,,,,0.000,0.000,0.000,,,,,,,
EarningsPerShareBasicAndDiluted,-0.000,-0.000,,,,,,,,,,,0.020
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,,,,,,,168.000
EffectOfExchangeRateOnCashContinuingOperations,,,,,,,0.000,0.000,0.000,,,,
EffectiveIncomeTaxRateContinuingOperations,,,,,,,,,,,22.400,10.510,0.592
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,,,,,,,,,0.340
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,,,,,,,,,0.000,,
EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,,,,,,,,,,,,,-0.090
FinancingInterestExpense,,,,42.000,0.000,0.000,0.000,,,,,,
ForeignCurrencyTransactionGainLossBeforeTax,,,,0.000,0.000,0.000,,,,,,,
ForeignCurrencyTransactionLossBeforeTax,-13.000,,,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,,,,,0.000,,0.000,,,,,,
GeneralAndAdministrativeExpense,,,450.000,33771.000,39975.000,38747.000,7340.000,695.000,801.000,740.000,1380717.000,689056.000,305830.000
GrossProfit,,,,,,,,,,,614784.000,779786.000,701432.000
IncomeLossFromContinuingOperations,,,,,,,,,,,-847419.000,39824.000,297140.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,-55613.000,-339625.000,-491422.000,-31100.000,-24455.000,-24561.000,-2198.000,-832699.000,-17385.000,294548.000
IncomeTaxExpenseBenefit,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,186363.000,182721.000,174360.000
IncomeTaxesPaid,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,
IncomeTaxesPaidNet,,,,,0.000,,0.000,,,,,,0.000
IncreaseDecreaseInAccountsPayable,,,5409.000,,-4168.000,,5215.000,,,,,,0.000
IncreaseDecreaseInAccountsPayableRelatedParties,,,,,-1157.000,,22500.000,,,,,,
IncreaseDecreaseInAccruedTaxesPayable,,,,,,,,,,,,,-2959.000
IncreaseDecreaseInCustomerAdvancesAndDeposits,,,,,300.000,,0.000,,,,,,
IncreaseDecreaseInDeferredIncomeTaxes,,,,,,,,,,,,,174360.000
IncreaseDecreaseInDeferredRevenue,,,,,,,,,,,,,-709170.000
IncreaseDecreaseInInterestPayableNet,,,,,,,1260.000,,,,,,
IncreaseDecreaseInInventories,,,,,,,,,,,,,0.000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,,,,,,,,,,,,390342.000
IncreaseDecreaseInPrepaidExpense,,,,,,,,,,,,,13506.000
InterestExpense,,,,,,,1260.000,1260.000,1260.000,-8698.000,,,
InterestExpenseDebt,,,-89.000,,,,,,,,,,
InterestPaid,-105.000,,,,0.000,,0.000,,,,,,0.000
LeaseOperatingExpense,,,,,,411000.000,,0.000,0.000,,,,
LegalFees,,,,17000.000,5650.000,14225.000,0.000,0.000,0.000,0.000,,,
NetCashProvidedByUsedInFinancingActivities,,,7100.000,,90030.000,,875.000,,,,,,36619.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,7100.000,,90030.000,,875.000,,,,,,36619.000
NetCashProvidedByUsedInInvestingActivities,,,,,,,,,,,,,0.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,,,,,,,0.000
NetCashProvidedByUsedInOperatingActivities,,,-7100.000,,-59650.000,,-2125.000,,,,,,-33438.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-7100.000,,-59650.000,,-2125.000,,,,,,-33438.000
NetIncomeLoss,,,-12509.000,-55613.000,-339625.000,-491422.000,-31100.000,-24455.000,-24561.000,-2198.000,-1019062.000,-200106.000,120188.000
NetIncomeLossAvailableToCommonStockholdersBasic,-7518.000,-7335.000,,,,,,,,,,,
NonoperatingIncomeExpense,,,,-42.000,0.000,0.000,-1260.000,-1260.000,-1260.000,9018.000,14721.000,-57209.000,-2592.000
OperatingCostsAndExpenses,,89.000,,,,,,,,,,,
OperatingExpenses,7400.000,7335.000,12420.000,55571.000,339625.000,491422.000,29840.000,23195.000,23301.000,740.000,1462203.000,739962.000,404292.000
OperatingIncomeLoss,,,,,-339625.000,,-31100.000,,,,,,297140.000
OperatingLeasesRentExpenseMinimumRentals,,,,,,,700.000,,,,,,
OperatingLeasesRentExpenseNet,,,,,,,,,,,86674.000,57660.000,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,,,,,,,,,,,-35575.000,318887.000,-50121.000
OtherComprehensiveIncomeLossBeforeTaxPeriodIncreaseDecrease,,,-12509.000,,,,,,,,,,
OtherNonoperatingExpense,,,,,,,,,,,10.000,55256.000,1873.000
OtherNonoperatingIncome,,,,,,,,,,,361.000,-829.000,0.000
OtherOperatingIncomeExpenseNet,-118.000,,,,,,,,,,,,
PaymentsForFees,2555.000,2800.000,6500.000,,,,,,,,,,
PaymentsForRent,,,,,1874.000,,3328.000,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,,,,,,,,,,,0.000
ProceedsFromIssuanceOfCommonStock,,,,,60000.000,,0.000,,,,,,
ProceedsFromRelatedPartyDebt,,,7100.000,,30.000,,875.000,,,,,,36619.000
ProfessionalFees,3295.000,2885.000,5470.000,4800.000,9000.000,4950.000,0.000,0.000,0.000,0.000,,,
Revenues,,,,,,,,,,,1314056.000,1270619.000,1220127.000
SalariesWagesAndOfficersCompensation,,,,,285000.000,22500.000,22500.000,22500.000,22500.000,0.000,,,
SalesRevenueGoodsNet,,,,,,,,,,,10141.000,130.000,0.000
SalesRevenueNet,,,,,,,,,,,1314056.000,1270619.000,1220127.000
SalesRevenueServicesNet,,,,,,,,,,,1303915.000,1270489.000,1220127.000
SellingExpense,,,,,,,,,,,81486.000,50906.000,98462.000
StockIssuedDuringPeriodValueIssuedForNoncashConsiderations,,,,,0.000,,0.000,,,,,,
StockIssuedDuringPeriodValueIssuedForServices,,,,,285000.000,,0.000,,,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,3158696.000,3600000.000,,,,,,,,,,,
WeightedAverageNumberOfSharesOutstandingBasic,,,,3643478.000,36671739.000,41207248.000,41883335.000,41883335.000,41883335.000,-83766670.000,688361539.000,8000224.000,8000224.000
