,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,,,34300000.000,43300000.000,41600000.000,30500000.000,27000000.000,25700000.000,34900000.000,42200000.000,44900000.000,55500000.000,67600000.000,89000000.000,105000000.000,102000000.000,107000000.000,123000000.000,121000000.000
AccountsReceivableNetCurrent,,,14000000.000,12800000.000,14300000.000,12200000.000,12200000.000,10900000.000,8900000.000,10200000.000,8600000.000,12600000.000,11800000.000,244000000.000,250000000.000,265000000.000,289000000.000,297000000.000,255000000.000
AccountsReceivableRelatedPartiesCurrent,,,40700000.000,37100000.000,40500000.000,48300000.000,52500000.000,45400000.000,45900000.000,41000000.000,51200000.000,52700000.000,54900000.000,88000000.000,102000000.000,113000000.000,106000000.000,122000000.000,198000000.000
AccrualForEnvironmentalLossContingencies,,,1400000.000,1100000.000,1500000.000,1100000.000,1100000.000,2600000.000,1000000.000,600000.000,2100000.000,1800000.000,1100000.000,1000000.000,5000000.000,7000000.000,7000000.000,1000000.000,1000000.000
AccruedIncomeTaxesCurrent,,,3700000.000,4600000.000,4700000.000,4000000.000,4800000.000,5400000.000,5900000.000,5200000.000,7100000.000,8600000.000,6300000.000,26000000.000,24000000.000,32000000.000,37000000.000,33000000.000,31000000.000
AccruedLiabilitiesCurrent,,,,,,,,,,,,,,186000000.000,159000000.000,180000000.000,193000000.000,228000000.000,194000000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,287100000.000,296000000.000,305100000.000,309800000.000,320700000.000,332000000.000,344100000.000,353100000.000,365300000.000,375900000.000,387500000.000,435000000.000,769000000.000,893000000.000,1014000000.000,1115000000.000,1999000000.000
AssetRetirementObligation,,,,,,,,,,,,,,17000000.000,,,,25000000.000,
AssetRetirementObligationLegallyRestrictedAssetsFairValue,,,,,,,,,,,,,,0.000,,,,0.000,
Assets,,,1311900000.000,1217700000.000,1218700000.000,1208500000.000,1193700000.000,1181400000.000,1194300000.000,1214500000.000,1354000000.000,1382600000.000,1391100000.000,15677000000.000,15978000000.000,16079000000.000,16415000000.000,16646000000.000,18285000000.000
AssetsCurrent,,,295700000.000,180900000.000,155600000.000,135100000.000,128000000.000,119400000.000,105500000.000,97200000.000,209900000.000,214700000.000,173000000.000,474000000.000,429000000.000,486000000.000,686000000.000,740000000.000,811000000.000
AssetsFairValueDisclosureRecurring,,,,,,0.000,,,,0.000,,,,,,,,,
BusinessAcquisitionEquityInterestIssuedOrIssuableValueAssigned,,,,,,,,,,200000000.000,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDue,,,,,,13400000.000,,,,12100000.000,,,,11000000.000,,,,9000000.000,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,1400000.000,,,,1400000.000,,,,1000000.000,,,,1000000.000,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,1400000.000,,,,1400000.000,,,,5000000.000,,,,0.000,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,,,1300000.000,,,,1400000.000,,,,2000000.000,,,,5000000.000,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,1400000.000,,,,1400000.000,,,,2000000.000,,,,2000000.000,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,1300000.000,,,,1400000.000,,,,1000000.000,,,,1000000.000,
CapitalLeasesFutureMinimumPaymentsDueThereafter,,,,,,6600000.000,,,,5100000.000,,,,0.000,,,,0.000,
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,,,,2900000.000,,,,2300000.000,,,,2000000.000,,,,1000000.000,
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,,,,,10500000.000,,,,9800000.000,,,,9000000.000,,,,8000000.000,
CashAndCashEquivalentsAtCarryingValue,,,227900000.000,115300000.000,86900000.000,54100000.000,40600000.000,43200000.000,32200000.000,27300000.000,132500000.000,130400000.000,90400000.000,43000000.000,4000000.000,35000000.000,208000000.000,234000000.000,265000000.000
DebtAndCapitalLeaseObligations,,,11100000.000,10900000.000,10700000.000,,280400000.000,265200000.000,265000000.000,644800000.000,759600000.000,759400000.000,759100000.000,5736000000.000,5185000000.000,4859000000.000,4858000000.000,4858000000.000,7108000000.000
DebtCurrent,,,700000.000,700000.000,700000.000,700000.000,800000.000,800000.000,800000.000,800000.000,800000.000,800000.000,800000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000
