,2016-03-31,2017-03-31
AmortizationOfDebtDiscountPremium,,18333.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-54731.000
DebtConversionConvertedInstrumentAmount1,,51747.000
DebtInstrumentIncreaseAccruedInterest,,15000.000
EarningsPerShareBasic,,-0.200
EarningsPerShareBasicAndDiluted,-0.000,
EffectiveIncomeTaxRateContinuingOperations,,0.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.350,0.350
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,0.350,0.390
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,0.040
GeneralAndAdministrativeExpense,11975.000,3204272.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,-940630.000
IncreaseDecreaseInAccountsPayable,725.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,203034.000
IncreaseDecreaseInDueFromRelatedParties,,6000.000
IncreaseDecreaseInOtherReceivables,,-12000.000
InterestExpense,,135212.000
InterestExpenseDebt,,82500.000
InterestIncomeRelatedParty,,6000.000
InterestPaid,,88867.000
LiabilitiesAssumed1,,70725.000
NetCashProvidedByUsedInFinancingActivities,11250.000,2129771.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,11250.000,2129771.000
NetCashProvidedByUsedInOperatingActivities,-11250.000,-2184502.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-11250.000,-2184502.000
NetIncomeLoss,-11975.000,-4535060.000
NonoperatingIncomeExpense,,-129212.000
NotesIssued1,,51747.000
OperatingExpenses,11975.000,4405848.000
OperatingIncomeLoss,-11975.000,-4405848.000
ProceedsFromConvertibleDebt,,614000.000
ProceedsFromIssuanceOfCommonStock,,935000.000
ProceedsFromNotesPayable,,580000.000
ProceedsFromRelatedPartyDebt,11250.000,
ProceedsFromRepaymentsOfBankOverdrafts,,771.000
RecapitalizationCosts,,-69331.000
StockIssuedDuringPeriodValueIssuedForServices,,774250.000
StockIssuedDuringPeriodValueNewIssues,,1348941.000
StockIssuedDuringPeriodValueOther,,933850.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,3377869.000,
WeightedAverageNumberOfSharesOutstandingBasic,,23027894.000
