,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31
AmortizationOfDebtDiscountPremium,,,364000.000,365000.000,364000.000,364000.000
AmortizationOfFinancingCosts,,,628000.000,627000.000,628000.000,628000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,17941000.000,,,
DepreciationAndAmortization,5941000.000,5947000.000,5946000.000,5947000.000,5947000.000,5946000.000
GainLossOnDerivativeInstrumentsNetPretax,-383000.000,-282000.000,-108000.000,-80000.000,-24000.000,-11000.000
GainsLossesOnExtinguishmentOfDebt,-2220000.000,,,,,
GeneralAndAdministrativeExpense,130000.000,504000.000,630000.000,569000.000,462000.000,1136000.000
IncreaseDecreaseInAccountsReceivable,,,152000.000,,,
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,,,8170000.000,,,
IncreaseDecreaseInDeferredRevenue,,,-136000.000,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,-2758000.000,,,
InterestCostsIncurred,,,,19937000.000,20613000.000,
InterestExpense,18806000.000,19206000.000,19081000.000,19937000.000,20613000.000,20614000.000
InterestPaid,,,,-13222000.000,,
InvestmentIncomeInterest,1000.000,1000.000,,,1000.000,
NetCashProvidedByUsedInOperatingActivities,,,18129000.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,18129000.000,,,
NetIncomeLoss,-10049000.000,-7869000.000,-11034000.000,-13126000.000,-12122000.000,-15641000.000
OperatingExpenses,16062000.000,15998000.000,15925000.000,16200000.000,15839000.000,16784000.000
OperatingIncomeLoss,11359000.000,11618000.000,8155000.000,6891000.000,8514000.000,6519000.000
OtherCostAndExpenseOperating,9204000.000,8838000.000,8665000.000,9000000.000,8737000.000,9003000.000
PaidInKindInterest,,,11403000.000,12259000.000,12935000.000,12935000.000
PaymentsOfDebtIssuanceCosts,,,188000.000,,,
Revenues,27421000.000,27616000.000,24080000.000,23091000.000,24353000.000,23303000.000
SalesRevenueNet,27421000.000,27616000.000,24080000.000,23091000.000,24353000.000,23303000.000
ServiceManagementCosts,787000.000,709000.000,684000.000,684000.000,693000.000,699000.000
