,2011-06-30,2011-09-30
AssetRetirementObligationAccretionExpense,8123.000,8288.000
CostOfGoodsSoldOilAndGas,93713.000,78137.000
CostsAndExpenses,135383.000,123684.000
DepreciationDepletionAndAmortization,7057.000,5598.000
GeneralAndAdministrativeExpense,26490.000,31661.000
InterestIncomeOperating,50.000,90.000
NetIncomeLoss,,52748.000
NetIncomeLossAllocatedToGeneralPartners,1212.000,584.000
NetIncomeLossAllocatedToLimitedPartners,102070.000,46913.000
NetIncomeLossPerOutstandingLimitedPartnershipUnit,9.760,4.490
OilAndGasRevenue,249528.000,176342.000
ProfitLoss,114195.000,
Revenues,249578.000,176432.000
SalesRevenueNet,249578.000,176432.000
