,2011-06-30,2011-09-30
ComprehensiveIncomeNetOfTax,1311654.000,1455617.000
CostOfGoodsAndServicesSold,639406.000,681125.000
CostOfServices,434798.000,216643.000
EarningsPerShareBasic,0.090,0.100
EarningsPerShareDiluted,0.070,0.080
GrossProfit,1385313.000,1492682.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,1266396.000,1456117.000
IncomeTaxExpenseBenefit,164424.000,188258.000
InterestExpense,22357.000,16085.000
InvestmentIncomeInterest,81253.000,81634.000
NetIncomeLoss,1101972.000,1267859.000
NonoperatingIncomeExpense,58896.000,65549.000
OperatingIncomeLoss,1207500.000,1390568.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,209682.000,187758.000
RecyclingOperatingCosts,204608.000,
RecyclingRevenue,760365.000,
Revenues,2024719.000,2173807.000
SalesRevenueNet,2024719.000,2173807.000
SalesRevenueServicesNet,1264354.000,830798.000
SellingGeneralAndAdministrativeExpense,177813.000,102114.000
WeightedAverageNumberOfDilutedSharesOutstanding,14970186.000,14970186.000
WeightedAverageNumberOfSharesOutstandingBasic,12683103.000,12766549.000
