,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31
AdvertisingExpense,0.000,0.000,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,19573.000,,,,-118112.000,-82564.000,
CostOfRevenue,-1224006.000,-369522.000,-181998.000,-767410.000,-2343125.000,-988887.000,-1679701.000
Depreciation,53303.000,,,,53629.000,107258.000,
EarningsPerShareBasic,0.000,,,,,,
EarningsPerShareBasicAndDiluted,0.000,-0.002,-0.000,0.000,-0.000,-0.000,-0.000
EarningsPerShareDiluted,0.000,,,,,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.330,,,,,,
GrossProfit,105994.000,-260522.000,7802.000,8636.000,25586.000,-1259.000,21752.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,12270.000,-335986.000,-48723.000,-54048.000,-43741.000,-69081.000,-61576.000
IncreaseDecreaseInAccountsPayable,-31000.000,,,,-25000.000,-25000.000,
NetCashProvidedByUsedInFinancingActivities,-15000.000,,,,2000.000,53000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-15000.000,,,,2000.000,53000.000,
NetCashProvidedByUsedInOperatingActivities,34573.000,,,,-120112.000,-135564.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,34573.000,,,,-120112.000,-135564.000,
NetIncomeLoss,12270.000,-335986.000,-48723.000,-54048.000,-43741.000,-112822.000,-61576.000
OperatingExpenses,-93724.000,-75463.000,-56525.000,-62685.000,-69327.000,-67822.000,-83328.000
OperatingIncomeLoss,12270.000,-335986.000,-48723.000,-54048.000,-43741.000,-69081.000,-61576.000
OperatingLeasesRentExpenseNet,3600.000,,,,,0.000,
OtherExpenses,0.000,,,,0.000,,
PaymentsForLoans,50000.000,,,,665500.000,,
ProfessionalAndContractServicesExpense,0.000,,,,0.000,,
Revenues,1330000.000,109000.000,189800.000,776045.000,2368711.000,987628.000,1701453.000
SalesRevenueNet,1330000.000,109000.000,189800.000,776045.000,2368711.000,987628.000,1701453.000
WeightedAverageNumberOfDilutedSharesOutstanding,204980000.000,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,204980000.000,204980000.000,204980000.000,-409960000.000,204980000.000,204980000.000,204980000.000
WeightedAverageNumberOfSharesIssuedBasic,204980000.000,,,,,,
