,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,1267260.000,2381416.000,2000554.000,1018411.000,1834682.000,2076809.000,1802505.000,1824556.000,1183727.000,2980885.000,1318373.000,1077310.000,1859720.000,2560980.000,2068117.000,1505751.000,2471045.000,3021618.000,2187020.000
AccountsReceivableNetCurrent,2476748.000,1835630.000,3532811.000,2303503.000,1572004.000,3139273.000,2194855.000,2272757.000,1464776.000,4239298.000,1643957.000,2192500.000,3708170.000,2901699.000,2426114.000,2078095.000,3258193.000,2217840.000,2964288.000
AccruedIncomeTaxesCurrent,103009.000,0.000,115000.000,113501.000,113501.000,0.000,,,,331000.000,196000.000,320000.000,399000.000,384950.000,245800.000,251349.000,222537.000,0.000,64391.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,190956.000,196249.000,164235.000,48810.000,-59570.000,-111864.000,-106693.000,-102809.000,-205044.000,-378431.000,-424900.000,-465322.000,-603462.000,-710032.000,-686983.000,-678113.000,-599295.000,-610083.000,-557362.000
AdditionalPaidInCapital,7297190.000,7297190.000,7302352.000,7302352.000,7302352.000,7307515.000,7309942.000,7309942.000,7309942.000,7314136.000,7315614.000,7346782.000,7346782.000,7346782.000,7541485.000,7467978.000,7467978.000,7469694.000,7646807.000
AdvancesOnInventoryPurchases,144944.000,130759.000,168710.000,136160.000,152824.000,144302.000,245210.000,479454.000,395239.000,345406.000,394353.000,450554.000,310136.000,208030.000,336465.000,606536.000,531653.000,569498.000,746979.000
Assets,9369362.000,9542045.000,10656060.000,8534932.000,7482444.000,9969897.000,9079996.000,8850507.000,7554223.000,11203560.000,9137836.000,9346781.000,10025282.000,11130656.000,10611903.000,9809464.000,10631031.000,10850274.000,10340102.000
AssetsCurrent,7988616.000,8155982.000,9372500.000,7391955.000,6380735.000,8638740.000,7773406.000,7630015.000,6379053.000,9898720.000,7936755.000,8246385.000,8917221.000,9649565.000,9120660.000,8414373.000,9278295.000,9457261.000,8886774.000
AssetsNoncurrent,147624.000,158255.000,155853.000,144350.000,115898.000,439429.000,408693.000,376453.000,340688.000,309303.000,275879.000,244541.000,204173.000,167766.000,139453.000,109564.000,93557.000,94025.000,98210.000
CashAndCashEquivalentsAtCarryingValue,1399522.000,1340354.000,667671.000,840539.000,369947.000,835012.000,699574.000,640184.000,820371.000,724707.000,893165.000,1218963.000,647191.000,1054750.000,1416725.000,1000759.000,953418.000,1103003.000,1143509.000
CertificatesOfDepositAtCarryingValue,310716.000,310951.000,311263.000,311382.000,311574.000,58130.000,58136.000,58142.000,58147.000,58153.000,58156.000,58161.000,58159.000,58172.000,58180.000,58184.000,58190.000,58196.000,58201.000
