,2011-06-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30
AssetManagementCosts,,16602.000,17520.000,11781.000,146498.000,28109.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,115677.000,,-558746.000,,
ComprehensiveIncomeNetOfTax,,94871.000,396203.000,629188.000,111057.000,471543.000
CostsAndExpenses,339384.000,282340.000,260831.000,267362.000,526956.000,358360.000
Depreciation,96764.000,96764.000,96764.000,103243.000,103243.000,106466.000
FeesAndCommissionsOther,10457.000,0.000,58290.000,,,
GainLossOnSaleOfSecuritiesNet,,15971.000,117123.000,293149.000,191123.000,582856.000
GeneralAndAdministrativeExpense,40919.000,51928.000,38238.000,39205.000,121698.000,95451.000
IncomeLossAttributableToParent,,78227.000,214812.000,230417.000,-107135.000,484468.000
IncomeLossFromContinuingOperations,-102321.000,-64972.000,34927.000,-68001.000,-302324.000,-101420.000
IncreaseDecreaseInAccountsAndNotesReceivable,,-13175.000,,-2202.000,,
IncreaseDecreaseInFinancialInstrumentsUsedInOperatingActivities,,0.000,,0.000,,
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,75704.000,,6236.000,,
IncreaseDecreaseInPrepaidExpense,,554.000,,-39663.000,,
InterestAndFeeIncomeLoansAndLeases,83987.000,127228.000,62762.000,5269.000,4066.000,3032.000
InterestExpense,0.000,0.000,0.000,,,
NetCashProvidedByUsedInFinancingActivities,,-103890.000,,-19277.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-103890.000,,-19277.000,,
NetCashProvidedByUsedInInvestingActivities,,-2536.000,,-462654.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-2536.000,,-462654.000,,
NetCashProvidedByUsedInOperatingActivities,,222103.000,,-76815.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,222103.000,,-76815.000,,
NetIncomeLoss,2053018.000,78227.000,214812.000,230417.000,-107135.000,484468.000
NetIncomeLossAllocatedToGeneralPartners,,1956.000,5370.000,5760.000,-2679.000,12112.000
NetIncomeLossAllocatedToLimitedPartners,,76271.000,209442.000,224657.000,-104456.000,472356.000
NetIncomeLossPerOutstandingLimitedPartnershipUnit,,0.450,,,,
OperatingCostsAndExpenses,122497.000,117046.000,108309.000,113133.000,155517.000,128334.000
OperatingLeasesIncomeStatementLeaseRevenue,,94418.000,95311.000,87234.000,100384.000,121399.000
OtherIncome,2155339.000,143199.000,179885.000,298418.000,195189.000,585888.000
OtherSalesRevenueNet,,12627.000,13047.000,5979.000,18101.000,13762.000
PaymentsToAcquireAssetsInvestingActivities,,262620.000,,2449035.000,,
ProceedsFromSalesOfAssetsInvestingActivities,,215084.000,,1986381.000,,
ProceedsFromSalesOfBusinessAffiliateAndProductiveAssets,,45000.000,,0.000,,
ReimbursementFromLimitedPartnershipInvestment,,-93670.000,,-16879.000,,
RevenueFromLeaseOrRentalOfPropertyOrEquipment,221292.000,,,,,
RevenueFromRelatedParties,,110323.000,129109.000,106148.000,106147.000,121779.000
Revenues,237063.000,217368.000,295758.000,199361.000,224632.000,256940.000
SalesRevenueNet,-1918276.000,74169.000,115873.000,-99057.000,29443.000,-328948.000
UnrealizedGainLossOnSecurities,-61925.000,16644.000,181391.000,398771.000,218192.000,-12925.000
UnrealizedLossOnSecurities,,427133.000,,398771.000,,
WeightedAverageLimitedPartnershipUnitsOutstanding,173421.000,170390.000,,,,
