,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AllocatedShareBasedCompensationExpense,432000.000,2483000.000,2569000.000,2234000.000,2965000.000,4724000.000,5135000.000,5269000.000,1656000.000,5347000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,12930215.000,1461118.000,1451122.000,1331091.000,,,,,,5621741.000
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,,207000.000
CapitalLeaseObligationsIncurred,,,,,,,,,,286000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,49432000.000,,,,-1690000.000,,,,14462000.000
ComprehensiveIncomeNetOfTax,,,-14993000.000,-11751000.000,,-15992000.000,-18738000.000,-25531000.000,-18453000.000,-25623000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-5930000.000,-9078000.000,,,,,,,,
DeferredTaxExpenseFromStockOptionsExercised,,,,,,,,,,0.000
Depreciation,,6000.000,,,,15000.000,,,,206000.000
DepreciationAndAmortization,,,,,,,,,,200000.000
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,,,,,,-42000.000,,,,0.000
ForeignCurrencyTransactionGainLossBeforeTax,,,,,,-42000.000,,,,0.000
GeneralAndAdministrativeExpense,1708000.000,3544000.000,3601000.000,4146000.000,5539000.000,5814000.000,6494000.000,7140000.000,5280000.000,8620000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-5919000.000,-9158000.000,-14945000.000,-11879000.000,-21248000.000,-16558000.000,-18880000.000,-25366000.000,-18235000.000,-25652000.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-4.200,-0.420,-0.620,-0.430,-0.770,-0.580,-0.660,-0.880,-0.630,-0.880
IncomeTaxExpenseBenefit,,2000.000,,-11000.000,,3000.000,,7000.000,,2000.000
IncomeTaxesPaid,,2000.000,,,,3000.000,,,,2000.000
IncreaseDecreaseInAccountsPayable,,354000.000,,,,451000.000,,,,-466000.000
IncreaseDecreaseInEmployeeRelatedLiabilities,,-703000.000,,,,-1287000.000,,,,-1136000.000
IncreaseDecreaseInOtherAccruedLiabilities,,1139000.000,,,,669000.000,,,,179000.000
