,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31
AssetManagementCosts,50760.000,40507.000,22304.000,-93805.000,,1334.000
AssetManagementFees,,,,,-12423.000,
CashPeriodIncreaseDecrease,-14792.000,,,,,
CurrentStateAndLocalTaxExpenseBenefit,,,,,,7303.000
EquityMethodInvestmentRealizedGainLossOnDisposal,,,,,398622.000,
GainLossOnSaleOfProperties,164015.000,276395.000,96364.000,20039.000,,
GrossProfit,,,,,,864.000
IncomeTaxesPaid,0.000,,,,,
IncreaseDecreaseInAccruedLiabilities,33661.000,,,,,
IncreaseDecreaseInDueToRelatedParties,-124483.000,,,,,
IncreaseDecreaseInOtherOperatingAssets,17139.000,,,,,
IncreaseDecreaseInOtherOperatingLiabilities,0.000,,,,,
InvestmentIncomeInterest,7.000,7.000,27.000,14.000,10.000,5.000
NetCashProvidedByUsedInInvestingActivities,177799.000,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,177799.000,,,,,
NetCashProvidedByUsedInOperatingActivities,-192591.000,,,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-192591.000,,,,,
NetIncomeLoss,79385.000,218339.000,31025.000,-56735.000,368006.000,-21671.000
NetIncomeLossAllocatedToGeneralPartners,794.000,2183.000,310.000,-567.000,3680.000,-217.000
NetIncomeLossAllocatedToLimitedPartners,78591.000,216156.000,30715.000,-56168.000,364326.000,-21454.000
NetIncomeLossPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasic,,,2.000,,25.000,-1.000
NetIncomeLossPerOutstandingLimitedPartnershipUnit,5.000,14.000,,,,
OperatingExpenses,94780.000,65048.000,67286.000,85719.000,30626.000,22540.000
OperatingIncomeLoss,-84637.000,-58063.000,-65366.000,-76788.000,-30626.000,-21676.000
OtherAssetImpairmentCharges,,,16769.000,,,
OtherCostAndExpenseOperating,8181.000,5735.000,2897.000,-399.000,1622.000,1732.000
ProfessionalFees,35839.000,4373.000,25316.000,15941.000,11583.000,12171.000
ProvisionForDoubtfulAccounts,0.000,0.000,0.000,13504.000,,
RevenueFromRelatedParties,10143.000,5230.000,0.000,6641.000,,
Revenues,10143.000,6985.000,1920.000,8931.000,,
SalesRevenueNet,10143.000,6985.000,1920.000,8931.000,,
WeightedAverageLimitedPartnershipUnitsOutstanding,15000.000,15000.000,15000.000,-30000.000,15000.000,15000.000
