,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31
ComprehensiveIncomeNetOfTax,,,8850000.000,8908000.000,6990000.000,527000.000,8034000.000
CostOfGoodsSold,140920000.000,132129000.000,137220000.000,136177000.000,122980000.000,106402000.000,130213000.000
DeferredIncomeTaxExpenseBenefit,,,2162000.000,,,,3088000.000
Depreciation,,,,,,,2899000.000
DepreciationAmortizationAndAccretionNet,,,2875000.000,,,,
EarningsPerShareBasicAndDiluted,0.740,0.450,0.600,0.600,0.410,0.060,0.550
GeneralAndAdministrativeExpense,4260000.000,3881000.000,5137000.000,5586000.000,2942000.000,2155000.000,4634000.000
GrossProfit,15035000.000,8844000.000,16073000.000,16570000.000,10092000.000,2143000.000,12561000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,14938000.000,9031000.000,11689000.000,11850000.000,8027000.000,601000.000,10892000.000
IncomeTaxExpenseBenefit,5942000.000,3595000.000,4424000.000,4529000.000,3046000.000,-56000.000,4225000.000
IncomeTaxExpenseBenefitIntraperiodTaxAllocation,,,,,,,5120000.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,,,,,,3811000.000
IncomeTaxReconciliationOtherReconcilingItems,,,,,,,-83000.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,,,,,,,497000.000
IncomeTaxesPaidNet,,,3887000.000,,,,-670000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,-815000.000,,,,1104000.000
IncreaseDecreaseInAccountsReceivable,,,14279000.000,,,,20287000.000
IncreaseDecreaseInIncomeTaxesPayableNetOfIncomeTaxesReceivable,,,-118000.000,,,,
IncreaseDecreaseInIncomeTaxesReceivable,,,,,,,-34000.000
IncreaseDecreaseInInventories,,,9930000.000,,,,1495000.000
IncreaseDecreaseInOtherOperatingCapitalNet,,,-555000.000,,,,-594000.000
InterestExpense,328000.000,319000.000,360000.000,333000.000,274000.000,246000.000,345000.000
InterestPaidNet,,,329000.000,,,,311000.000
InventoryWriteDown,,,,,,,117000.000
LineOfCreditFacilityInterestRateDuringPeriod,,,,,,,0.029
NetCashProvidedByUsedInFinancingActivities,,,19490000.000,,,,12930000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,19490000.000,,,,12930000.000
NetCashProvidedByUsedInInvestingActivities,,,-2279000.000,,,,-2127000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-2279000.000,,,,-2127000.000
NetCashProvidedByUsedInOperatingActivities,,,-17211000.000,,,,-10803000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-17211000.000,,,,-10803000.000
NetIncomeLoss,8996000.000,5436000.000,7265000.000,7321000.000,4981000.000,657000.000,6667000.000
NonoperatingIncomeExpense,97000.000,-206000.000,-637000.000,-403000.000,-415000.000,-276000.000,-270000.000
OperatingExpenses,194000.000,-393000.000,3747000.000,4317000.000,1650000.000,1266000.000,1399000.000
OperatingIncomeLoss,14841000.000,9237000.000,12326000.000,12253000.000,8442000.000,877000.000,11162000.000
OtherComprehensiveIncomeLossNetOfTax,,,,1587000.000,2009000.000,,1367000.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,,,1585000.000,,,,
OtherNoncashIncomeExpense,,,-382000.000,,,,-514000.000
OtherNonoperatingIncomeExpense,425000.000,113000.000,-277000.000,-70000.000,-141000.000,-30000.000,75000.000
OtherOperatingIncome,,,,904000.000,535000.000,,1327000.000
OtherPostretirementBenefitExpense,-1299000.000,-1299000.000,-1577000.000,-1577000.000,-1403000.000,-1518000.000,-1674000.000
OtherPostretirementBenefitsPayments,,,324000.000,,,,325000.000
PaymentsForProceedsFromOtherInvestingActivities,,,-28000.000,,,,-432000.000
PaymentsToAcquirePropertyPlantAndEquipment,,,2307000.000,,,,2559000.000
PensionAndOtherPostretirementBenefitExpense,-4750000.000,-4750000.000,-1899000.000,,,,-3696000.000
PensionExpense,,,-1899000.000,-1898000.000,-1346000.000,12001000.000,-3696000.000
ProceedsFromPaymentsForOtherFinancingActivities,,,640000.000,,,,119000.000
ProceedsFromRepaymentsOfLinesOfCredit,,,18850000.000,,,,12811000.000
Revenues,155955000.000,140973000.000,153293000.000,153651000.000,133607000.000,108545000.000,144101000.000
SalesRevenueNet,155955000.000,140973000.000,153293000.000,152747000.000,133072000.000,108545000.000,142774000.000
SellingExpense,1983000.000,1775000.000,2086000.000,2206000.000,1457000.000,2344000.000,2135000.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,12102000.000,12102000.000,,12102000.000
