,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30
Assets,17052039.000,19798354.000,23984198.000,24147204.000,13835764.000,10855767.000
CapitalUnitsOutstanding,15152242.000,21469082.000,25202633.000,29305443.000,16958382.000,14297573.000
CashAndCashEquivalentsAtCarryingValue,105298.000,152930.000,225211.000,48235.000,52870.000,60186.000
Liabilities,3116063.000,249978.000,246111.000,531761.000,1678334.000,1360823.000
LiabilitiesAndStockholdersEquity,17052039.000,19798354.000,23984198.000,24147204.000,13835764.000,10855767.000
OtherAssets,89310.000,100000.000,100000.000,100000.000,,
OtherLiabilities,60026.000,127064.000,188064.000,126781.000,183935.000,197541.000
PartnersCapital,13935976.000,19548376.000,23738087.000,23615443.000,12157430.000,9494944.000
PartnersCapitalAccountUnits,,21469082.000,25202633.000,,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,13935976.000,19548376.000,23738087.000,23615443.000,12157430.000,9494944.000
