,2011-09-30
AccountsPayableAndAccruedLiabilitiesCurrent,994691.000
AdditionalPaidInCapital,5980761.000
Assets,5913178.000
AssetsCurrent,517645.000
CashAndCashEquivalentsAtCarryingValue,11474.000
CommonStockValue,360919.000
ConvertibleDebtCurrent,236500.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,3171543.000
Liabilities,2746722.000
LiabilitiesAndStockholdersEquity,5913178.000
LiabilitiesCurrent,2196722.000
LongTermNotesPayable,550000.000
NotesAndLoansReceivableNetCurrent,15500.000
NotesAndLoansReceivableNetNoncurrent,556542.000
NotesPayableCurrent,962267.000
NotesReceivableRelatedPartiesCurrent,142158.000
OilAndGasJointInterestBillingReceivablesCurrent,262947.000
OtherLoansPayableCurrent,2441.000
PreferredStockValue,2129.000
PrepaidExpenseCurrent,13850.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,3166456.000
TradingSecuritiesEquityCurrent,2265.000
TreasuryStockValue,5810.000
