,2012-03-31,2012-06-30,2012-09-30
CashAndCashEquivalentsPeriodIncreaseDecrease,25056.000,,1505.000
CostOfServices,-690.000,-690.000,-239.000
EarningsPerShareBasicAndDiluted,0.000,0.000,0.000
GainsLossesOnExtinguishmentOfDebt,,,-324.000
GeneralAndAdministrativeExpense,50.000,3365.000,-2578.000
GrossProfit,-285.000,-217.000,261.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-4199.000,-39957.000,-5975.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-4199.000,,
IncreaseDecreaseInAccountsPayable,258.000,2565.000,4464.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,878.000,888.000
IncreaseDecreaseInAccruedLiabilities,758.000,2410.000,-1850.000
IncreaseDecreaseInInventories,,-2663.000,2663.000
IncreaseDecreaseInReceivables,252.000,135.000,
InterestAndDebtExpense,-758.000,,
InterestExpense,-758.000,-878.000,-2990.000
LegalFees,2848.000,,
NetCashProvidedByUsedInFinancingActivities,3850.000,156991.000,2413.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,3850.000,156991.000,2413.000
NetCashProvidedByUsedInInvestingActivities,24136.000,-120359.000,-1098.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,24136.000,-120359.000,-1098.000
NetCashProvidedByUsedInOperatingActivities,-2930.000,-36632.000,190.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-2930.000,-36632.000,190.000
NetIncomeLoss,-4199.000,-39957.000,-5975.000
OperatingExpenses,3156.000,38862.000,2922.000
OperatingIncomeLoss,-3441.000,-39079.000,-2661.000
PaymentsForProceedsFromDepositOnLoan,,22700.000,
PaymentsToAcquireInvestments,,-121569.000,-1098.000
PaymentsToAcquireOtherInvestments,,1210.000,
ProceedsFromIssuanceOfCommonStock,1000.000,,
ProceedsFromRepaymentsOfLinesOfCredit,,1097.000,-1097.000
ProceedsFromRepaymentsOfNotesPayable,2850.000,126710.000,2590.000
ProceedsFromRepaymentsOfRelatedPartyDebt,,6484.000,920.000
ProfitLoss,-4198.000,-39957.000,-5975.000
ResearchAndDevelopmentExpense,,13457.000,
SalesRevenueGoodsNet,,473.000,500.000
SalesRevenueServicesNet,405.000,,
