,2011-06-30
AmortizationOfDebtDiscountPremium,-359634.000
CostOfServices,5910.000
GrossProfit,39211.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-1350797.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,0.000
IncomeTaxExpenseBenefit,1875.000
InterestExpense,-159417.000
NetIncomeLoss,-1352672.000
NetIncomeLossAvailableToCommonStockholdersBasic,-1354194.000
NonoperatingIncomeExpense,-1108395.000
OperatingIncomeLoss,-242402.000
PreferredStockDividends,-1522.000
SalesRevenueServicesNet,45121.000
SellingGeneralAndAdministrativeExpense,281613.000
