,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30
AmortizationOfDebtDiscountPremium,,,86952.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-13095.000,,
ContractRevenueCost,0.000,288757.000,0.000,0.000,0.000
ContractsRevenue,0.000,445200.000,0.000,0.000,0.000
CostOfGoodsAndServicesSold,148218.000,354895.000,61139.000,54381.000,55742.000
CostOfGoodsAndServicesSoldDepreciation,,,,170.000,127.000
DebtInstrumentConvertibleInterestExpense,,,0.000,,
Depreciation,,,1962.000,1778.000,1736.000
DepreciationNonproduction,18213.000,12737.000,1622.000,1608.000,1608.000
EarningsPerShareBasicAndDiluted,0.000,0.000,0.000,-0.000,-0.000
GainLossOnDispositionOfProperty,-55122.000,0.000,,0.000,0.000
GeneralAndAdministrativeExpense,513097.000,240918.000,141409.000,101083.000,104377.000
GrossProfit,42339.000,248051.000,54983.000,72632.000,149129.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-1471020.000,-648746.000,-399080.000,-235625.000,-85819.000
IncomeTaxExpenseBenefit,0.000,0.000,0.000,0.000,0.000
IncomeTaxesPaid,,,0.000,,
IncreaseDecreaseInAccountsPayable,,,972.000,,
IncreaseDecreaseInAccountsReceivable,,,-75528.000,,
IncreaseDecreaseInDeferredRevenue,,,23533.000,,
IncreaseDecreaseInEmployeeRelatedLiabilities,,,51457.000,,
IncreaseDecreaseInInventories,,,-32741.000,,
IncreaseDecreaseInPrepaidExpense,,,8620.000,,
InterestAndOtherIncome,169.000,21.000,0.000,35.000,0.000
InterestExpense,381489.000,181621.000,93240.000,42893.000,27496.000
InterestPaid,,,0.000,,
IssuanceOfStockAndWarrantsForServicesOrClaims,,,4625.000,,
NetCashProvidedByUsedInFinancingActivities,,,60000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,60000.000,,
NetCashProvidedByUsedInInvestingActivities,,,0.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,0.000,,
NetCashProvidedByUsedInOperatingActivities,,,-73095.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-73095.000,,
NetIncomeLoss,-1471020.000,-648746.000,-399080.000,-235625.000,-85819.000
OperatingExpenses,1094502.000,795160.000,303988.000,244433.000,260529.000
OperatingIncomeLoss,-1052163.000,-547109.000,-249005.000,-171801.000,-111400.000
OtherSalesRevenueNet,190557.000,157746.000,116122.000,127013.000,204871.000
PaymentsToAcquirePropertyPlantAndEquipment,,,0.000,,
ProceedsFromConvertibleDebt,,,0.000,,
Revenues,190557.000,602946.000,116122.000,127013.000,204871.000
SalariesWagesAndOfficersCompensation,563192.000,,,,
SalesRevenueNet,190557.000,602946.000,116122.000,127013.000,204871.000
StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,,,,1069642857.000,1069642857.000
UnrealizedGainLossOnDerivatives,17585.000,79963.000,-56835.000,-20966.000,53077.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,2313883921.000
