,2011-02-27
CostOfGoodsSold,115200000.000
EarningsPerShareBasic,0.250
EarningsPerShareDiluted,0.240
GrossProfit,228700000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,79700000.000
IncomeTaxExpenseBenefit,20300000.000
InterestExpense,14100000.000
InvestmentIncomeInterest,600000.000
OperatingExpenses,137300000.000
OperatingIncomeLoss,91400000.000
OtherNonoperatingIncomeExpense,1800000.000
ProfitLoss,59400000.000
ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,65600000.000
RestructuringCharges,8200000.000
Revenues,343900000.000
SalesRevenueNet,343900000.000
SellingGeneralAndAdministrativeExpense,63100000.000
WeightedAverageNumberOfDilutedSharesOutstanding,247000000.000
WeightedAverageNumberOfSharesOutstandingBasic,241500000.000
