,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,,,,311000000.000,,,,-23000000.000,,,,313000000.000,,,,-2000000.000,,,,258000000.000,,,,78000000.000,
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,385000000.000,,,,,,,,,,,,,,,,,,,,,,,,,
AmortizationOfIntangibleAssets,67000000.000,,,,106000000.000,92000000.000,,,106000000.000,,,,125000000.000,,,,140000000.000,117000000.000,,,122000000.000,,,,51000000.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,,,,,,,0.000,,,,,,,,,
AssetImpairmentCharges,,,,,,,242000000.000,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-467000000.000,,,,-176000000.000,,,,2176000000.000,,,,-5159000000.000,,,,-3288000000.000,,,,-1134000000.000,,,,-1258000000.000,
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,,,,,15000000.000,28000000.000,15000000.000,-49000000.000,14000000.000,-24000000.000,-30000000.000,,-13000000.000,-7000000.000,4000000.000,,4000000.000,3000000.000,9000000.000,,3000000.000,-9000000.000,-7000000.000,,8000000.000,
CommonStockDividendsPerShareCashPaid,0.410,0.410,0.410,,0.410,0.430,0.430,0.430,0.430,0.450,0.450,0.450,0.450,0.450,0.470,0.470,0.470,,,,,,,,,
CommonStockDividendsPerShareDeclared,,,,,,,,,,,,,,,,,,0.490,0.380,,0.380,0.380,0.380,0.380,0.380,0.380
ComprehensiveIncomeNetOfTax,,,,,1773000000.000,901000000.000,368000000.000,-150000000.000,3332000000.000,1148000000.000,829000000.000,2744000000.000,1478000000.000,1019000000.000,98000000.000,-2236000000.000,16000000.000,1216000000.000,439000000.000,-1026000000.000,671000000.000,214000000.000,92000000.000,1021000000.000,1601000000.000,1220000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,12000000.000,,,,14000000.000,34000000.000,3000000.000,2000000.000,7000000.000,4000000.000,3000000.000,-2000000.000,6000000.000,4000000.000,1000000.000,1000000.000,4000000.000,5000000.000,0.000,-3000000.000,6000000.000,4000000.000,4000000.000,-2000000.000,8000000.000,7000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,1604000000.000,1403000000.000,227000000.000,,1787000000.000,935000000.000,371000000.000,-148000000.000,3339000000.000,1152000000.000,832000000.000,2742000000.000,1484000000.000,1023000000.000,99000000.000,-2235000000.000,20000000.000,1221000000.000,439000000.000,-1029000000.000,677000000.000,218000000.000,96000000.000,1019000000.000,1609000000.000,1227000000.000
ConsolidationLessThanWhollyOwnedSubsidiaryParentOwnershipInterestChangesPurchaseOfInterestByParent,,,,,,11000000.000,,,,,,,,,,,,,,,,,,,,
CostOfGoodsSold,,,,,,,,,,6057000000.000,5165000000.000,,6000000000.000,5999000000.000,4880000000.000,4824000000.000,5553000000.000,5280000000.000,3084000000.000,1195000000.000,4242000000.000,3990000000.000,3090000000.000,3147000000.000,4371000000.000,4192000000.000
CostsAndExpenses,8357000000.000,8904000000.000,8830000000.000,8346000000.000,9315000000.000,9646000000.000,7510000000.000,5724000000.000,8726000000.000,8638000000.000,7577000000.000,7714000000.000,8343000000.000,8674000000.000,7082000000.000,6956000000.000,7769000000.000,7703000000.000,4744000000.000,,,,,,,
DefinedBenefitPlanNetPeriodicBenefitCost,,,,,,,,,,,,,,,,,147000000.000,,,,146000000.000,,,,109000000.000,
Depreciation,294000000.000,,,,349000000.000,,,,327000000.000,,,,312000000.000,,,,306000000.000,,,,238000000.000,,,,230000000.000,
DerivativeGainLossOnDerivativeNet,,,,,,,,,,,-137000000.000,,-95000000.000,-90000000.000,402000000.000,326000000.000,262000000.000,-12000000.000,172000000.000,-6000000.000,-147000000.000,-189000000.000,-83000000.000,74000000.000,-73000000.000,-74000000.000
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,-25000000.000,-25000000.000,,,,,,,,,,,,,,,,,,,,,,,
DerivativeInstrumentsGainLossRecognizedInIncomeIneffectivePortionAndAmountExcludedFromEffectivenessTestingNet,,1000000.000,1000000.000,,,,,,,,,,,,,,,,,,,,,,,
DerivativeInstrumentsGainLossRecognizedInIncomeNet,,20000000.000,22000000.000,,-110000000.000,257000000.000,-218000000.000,-54000000.000,115000000.000,86000000.000,,,,,,,,,,,,,,,,
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,,-3000000.000,13000000.000,,-4000000.000,39000000.000,-6000000.000,-24000000.000,-16000000.000,,,,,,,,,,,,,,,,,
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,,,,,,,2683000000.000,,,,,,,,,,,,,,,,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,,,,,1942000000.000,,,,,,,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,,,,,,,164000000.000,,2715000000.000,-2000000.000,,,,,,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,,,,,,53000000.000,,1968000000.000,4000000.000,,,,,,,,,,,,,,,,
DiscontinuedOperationTaxEffectOfIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriod,,,,,,,111000000.000,,747000000.000,-6000000.000,,,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,,,1039000000.000,,331000000.000,0.000,,,,,,,,,,,,,,,,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,,,,,,,,,,,,,391000000.000,,,,,,,,,,,,
DividendsCommonStock,390000000.000,385000000.000,384000000.000,383000000.000,,,,,,,,,,,,,,,,,,,,,,
DividendsPreferredStock,3000000.000,2000000.000,3000000.000,2000000.000,3000000.000,2000000.000,3000000.000,2000000.000,,,,,,,2000000.000,,2000000.000,3000000.000,2000000.000,3000000.000,2000000.000,3000000.000,2000000.000,3000000.000,2000000.000,3000000.000
EarningsPerShareBasic,1.540,1.310,0.480,0.400,1.590,1.260,0.010,0.120,3.600,1.110,0.300,0.210,1.560,1.160,0.470,0.760,1.130,1.040,0.260,-0.260,1.400,1.160,0.000,0.310,1.280,0.990
EarningsPerShareDiluted,1.520,1.290,0.480,0.390,1.570,1.250,0.010,0.120,3.580,1.110,0.300,0.190,1.540,1.150,0.470,0.760,1.130,1.030,0.260,-0.260,1.390,1.160,0.000,0.300,1.270,0.990
EffectOfExchangeRateOnCashAndCashEquivalents,53000000.000,,,,12000000.000,,,,-96000000.000,,,,-33000000.000,,,,-174000000.000,,,,20000000.000,,,,60000000.000,
EquityMethodInvestmentRealizedGainLossOnDisposal,,,,,,122000000.000,0.000,,,,,,,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpense,67000000.000,70000000.000,58000000.000,82000000.000,106000000.000,,,,,,,,,,,,,,,,,,,,,
ForeignCurrencyTransactionGainLossBeforeTax,-143000000.000,4000000.000,-6000000.000,-18000000.000,-80000000.000,28000000.000,-130000000.000,-33000000.000,11000000.000,35000000.000,-101000000.000,-73000000.000,-96000000.000,-109000000.000,218000000.000,122000000.000,64000000.000,26000000.000,-36000000.000,-24000000.000,-121000000.000,-15000000.000,-76000000.000,106000000.000,-59000000.000,-140000000.000
FutureAmortizationExpenseRemainderOfFiscalYear,,,,,338000000.000,,,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearFive,85000000.000,,,,180000000.000,,,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearFour,172000000.000,,,,308000000.000,,,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearOne,215000000.000,,,,332000000.000,,,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearThree,204000000.000,,,,351000000.000,,,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearTwo,215000000.000,,,,348000000.000,,,,,,,,,,,,,,,,,,,,,
GainLossOnDispositionOfAssets1,,,,,,,,,,,,,,,,,,,,,369000000.000,,,,,
GainLossOnSaleOfBusiness,,,,,,,,,-2683000000.000,,,,0.000,,,,,,,,,,,,,
GainsLossesOnSalesOfAssets,6000000.000,33000000.000,-1000000.000,52000000.000,5000000.000,5000000.000,1000000.000,119000000.000,,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperations,,,,,,,-43000000.000,,,,,,,,433000000.000,,1031000000.000,940000000.000,131000000.000,-213000000.000,1223000000.000,1023000000.000,9000000.000,254000000.000,1330000000.000,852000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,228000000.000,,1802000000.000,1440000000.000,786000000.000,963000000.000,1601000000.000,1175000000.000,227000000.000,-412000000.000,1635000000.000,1333000000.000,-56000000.000,353000000.000,1562000000.000,987000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,1702000000.000,1589000000.000,569000000.000,422000000.000,1941000000.000,1637000000.000,-174000000.000,-289000000.000,1774000000.000,1365000000.000,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,,,-40000000.000,,1387000000.000,1030000000.000,263000000.000,183000000.000,1445000000.000,1074000000.000,434000000.000,668000000.000,,,131000000.000,,1229000000.000,1027000000.000,13000000.000,252000000.000,1338000000.000,859000000.000
IncomeLossFromContinuingOperationsPerBasicShare,,,,,,,-0.050,,1.480,1.110,0.280,0.200,1.560,1.160,0.470,0.750,,,0.140,,1.400,1.170,0.010,0.280,1.530,0.980
IncomeLossFromContinuingOperationsPerDilutedShare,,,,,,,-0.050,,1.470,1.100,0.280,0.190,1.540,1.150,0.470,0.740,,,0.140,,1.390,1.160,0.010,0.290,1.520,0.970
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,,,,,25000000.000,,,,,,,,,,,,,,-217000000.000,10000000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,,,,,,53000000.000,,,,,,0.000,0.000,0.000,15000000.000,,,104000000.000,,3000000.000,-3000000.000,-7000000.000,11000000.000,-217000000.000,10000000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,,,,,0.060,,2.120,0.000,0.030,0.010,0.000,0.000,0.000,0.020,,,0.120,,0.000,0.000,-0.010,0.010,-0.250,0.010
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,,,,,,0.060,,2.100,0.000,0.030,0.010,0.000,0.000,0.000,0.020,,,0.120,,0.000,0.000,-0.010,0.010,-0.250,0.010
IncomeLossFromEquityMethodInvestments,,35000000.000,34000000.000,,,,,,,,,,,,,,,,,,,,,,,
IncomeTaxExpenseBenefit,258000000.000,360000000.000,109000000.000,45000000.000,441000000.000,449000000.000,-134000000.000,-134000000.000,387000000.000,335000000.000,-35000000.000,-61000000.000,357000000.000,366000000.000,352000000.000,295000000.000,566000000.000,230000000.000,96000000.000,-196000000.000,406000000.000,306000000.000,-69000000.000,101000000.000,224000000.000,128000000.000
IncreaseDecreaseInOperatingCapital,3569000000.000,,,,3529000000.000,,,,3639000000.000,,,,4515000000.000,,,,3625000000.000,,,,3378000000.000,,,,3058000000.000,
IncreaseDecreaseInRestrictedCash,1991000000.000,,,,0.000,,,,,,,,,,,,,,,,,,,,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,16012000.000,13189000.000,11129000.000,-27718000.000,10328000.000,8775000.000,8789000.000,-18970000.000,,,,,,,6997000.000,,6984000.000,5920000.000,4011000.000,-11380000.000,3705000.000,4166000.000,5099000.000,-8494000.000,4567000.000,4269000.000
InterestExpenseDebt,100000000.000,115000000.000,116000000.000,116000000.000,114000000.000,117000000.000,116000000.000,117000000.000,117000000.000,115000000.000,108000000.000,108000000.000,103000000.000,94000000.000,93000000.000,87000000.000,84000000.000,127000000.000,82000000.000,49000000.000,92000000.000,93000000.000,93000000.000,92000000.000,84000000.000,99000000.000
InterestIncomeOperating,28000000.000,32000000.000,28000000.000,22000000.000,23000000.000,37000000.000,27000000.000,22000000.000,,,,,,,,,,,,,,,,,,
LossContingencyAccrualCarryingValuePeriodIncreaseDecrease,,,,,,,,,,,,,,,,,,,,,,5000000.000,,,,30000000.000
NetCashProvidedByUsedInFinancingActivities,1929000000.000,,,,1845000000.000,,,,331000000.000,,,,-2469000000.000,,,,-851000000.000,,,,663000000.000,,,,1641000000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,1929000000.000,,,,1845000000.000,,,,331000000.000,,,,-2469000000.000,,,,-851000000.000,,,,663000000.000,,,,1641000000.000,
NetCashProvidedByUsedInInvestingActivities,-965000000.000,,,,-156000000.000,,,,4608000000.000,,,,-236000000.000,,,,-140000000.000,,,,27000000.000,,,,-1335000000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-965000000.000,,,,-156000000.000,,,,4608000000.000,,,,-236000000.000,,,,-140000000.000,,,,27000000.000,,,,-1335000000.000,
NetCashProvidedByUsedInOperatingActivities,-1484000000.000,,,,-1877000000.000,,,,-2667000000.000,,,,-2421000000.000,,,,-2123000000.000,,,,-1844000000.000,,,,-1624000000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-1484000000.000,,,,-1877000000.000,,,,-2667000000.000,,,,-2421000000.000,,,,-2123000000.000,,,,-1844000000.000,,,,-1624000000.000,
