,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,688000.000,,
AllocatedShareBasedCompensationExpense,,,,682000.000,583000.000
AmortizationOfIntangibleAssets,,,50000.000,50000.000,49000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,8894000.000,1600000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-2914000.000,,
ComprehensiveIncomeNetOfTax,,,-2117000.000,-2199000.000,-4469000.000
CostOfGoodsSold,661000.000,454000.000,274000.000,265000.000,240000.000
CostsAndExpenses,21191000.000,18797000.000,4874000.000,5564000.000,6617000.000
Depreciation,,,60000.000,55000.000,106000.000
EarningsPerShareBasicAndDiluted,-0.330,-0.360,-0.040,-0.050,-0.650
ImpairmentOfIntangibleAssetsExcludingGoodwill,,,,0.000,0.000
IncreaseDecreaseInAccountsPayable,,,-1099000.000,,
IncreaseDecreaseInAccountsReceivable,,,-425000.000,,
IncreaseDecreaseInAccruedLiabilities,,,-1013000.000,,
IncreaseDecreaseInInventories,,,-77000.000,,
IncreaseDecreaseInOtherOperatingAssets,,,20000.000,,
IncreaseDecreaseInOtherOperatingLiabilities,,,35000.000,,
InterestAndOtherIncome,,15000.000,16000.000,,
InterestExpense,,1925000.000,,,
InterestIncomeOther,,,,,14000.000
InventoryWriteDown,,,,,0.000
LicensesRevenue,,,,420000.000,
LitigationSettlementExpense,,,,,2000000.000
NetCashProvidedByUsedInOperatingActivities,,,-2914000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-2914000.000,,
NetIncomeLoss,-14949000.000,-17031000.000,-2117000.000,-2199000.000,-4469000.000
OperatingIncomeLoss,-14949000.000,-15121000.000,-2133000.000,-2214000.000,-4483000.000
OtherNonoperatingIncomeExpense,,,,15000.000,
ResearchAndDevelopmentExpense,457000.000,242000.000,,,
Revenues,,,,3350000.000,2134000.000
SalesRevenueGoodsNet,6242000.000,3676000.000,2741000.000,2930000.000,2134000.000
SalesRevenueNet,,,,3350000.000,2134000.000
SellingGeneralAndAdministrativeExpense,20073000.000,18101000.000,4600000.000,5299000.000,4377000.000
ShareBasedCompensation,,,688000.000,,
