,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AccountsPayableCurrent,120809.000,113144.000,92795.000,137787.000,159856.000,119258.000,118855.000,113250.000,150724.000,142311.000,203586.000,470201.000
AccountsPayableRelatedPartiesCurrent,184083.000,,,,,,,,,,134407.000,161706.000
AccountsPayableRelatedPartiesCurrentAndNoncurrent,,,,,,,,21664.000,170000.000,214164.000,,
AccruedLiabilitiesCurrent,44847.000,91097.000,137347.000,183597.000,229847.000,52238.000,144737.000,190987.000,238596.000,153847.000,225096.000,296347.000
AdditionalPaidInCapital,,,,,,,,,,18973598.000,19146797.000,19489197.000
AdditionalPaidInCapitalCommonStock,11620555.000,11857790.000,11912890.000,11912890.000,11912890.000,14038295.000,14646652.000,14646652.000,17978597.000,,,
Assets,697409.000,741848.000,739955.000,721985.000,723956.000,229339.000,235460.000,229443.000,87103.000,87533.000,445320.000,259488.000
AssetsCurrent,30715.000,223393.000,221500.000,207055.000,209026.000,528.000,6649.000,632.000,1173.000,1603.000,335390.000,149558.000
BankOverdrafts,,,77.000,225.000,,,,,,,,
CapitalizedCostsOilAndGasProducingActivitiesGross,500000.000,500000.000,500000.000,500000.000,500000.000,213881.000,213881.000,213881.000,71000.000,71000.000,71000.000,71000.000
CashAndCashEquivalentsAtCarryingValue,13470.000,7618.000,,,101.000,528.000,6649.000,632.000,1173.000,821.000,120358.000,148866.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,500000000.000,999000000.000,999000000.000,999000000.000,999000000.000,999000000.000,999000000.000
CommonStockSharesIssued,32069433.000,32519433.000,33853237.000,33853237.000,33853237.000,113853237.000,125996094.000,125996094.000,125996094.000,227996094.000,235996094.000,257996094.000
CommonStockSharesOutstanding,32069433.000,32519433.000,33853237.000,33853237.000,,113853237.000,125996094.000,125996094.000,125996094.000,227996094.000,235996094.000,257996094.000
CommonStockValue,323694.000,323844.000,,,,,,,,,,
CommonStockValueOutstanding,,,338532.000,338532.000,338532.000,113853.000,125996.000,125996.000,125996.000,227996.000,235996.000,257996.000
ConvertibleNotesPayableCurrent,,196888.000,196219.000,208000.000,208000.000,150000.000,133000.000,133000.000,133000.000,157000.000,120505.000,85000.000
CustomerAdvancesCurrent,,,,,,,,,,,-135000.000,
DebtInstrumentFaceAmount,,,,150000.000,,,,,,,,
DebtInstrumentInterestRateStatedPercentage,,,,0.080,0.080,,,,,,,
