,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalDividendsInExcessOfRetainedEarnings,,,,,,,,,,,,70000000.000,,,,,,,,,,,,
AllocatedShareBasedCompensationExpenseNetOfTax,,24000000.000,21000000.000,,26000000.000,24000000.000,23000000.000,37000000.000,30000000.000,,,26000000.000,27000000.000,21000000.000,,28000000.000,27000000.000,24000000.000,,26000000.000,28000000.000,28000000.000,,25000000.000
AmortizationOfIntangibleAssets,31000000.000,32000000.000,31000000.000,28000000.000,27000000.000,28000000.000,25000000.000,26000000.000,24000000.000,26000000.000,24000000.000,,,,,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,,2000000.000,2000000.000,,,,4000000.000,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,492000000.000,,,,134000000.000,,,-299000000.000,,,,-86000000.000,,,,-97000000.000,,,,88000000.000,,,,-452000000.000
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,,,,,,,,,,,,,,0.000,,,,,,,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,,,-4000000.000,,,,-1000000.000,,,,-3000000.000,,,,0.000,,,,-7000000.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,,-23000000.000,,,,-20000000.000,,,,0.000,,,,,,,,41000000.000
CommonStockDividendsPerShareDeclared,0.050,0.100,0.100,0.100,0.100,0.100,0.120,0.120,0.120,0.120,0.120,0.120,0.120,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.180,0.180,0.180
ComprehensiveIncomeNetOfTax,,,,,382000000.000,413000000.000,421000000.000,446000000.000,473000000.000,336000000.000,,470000000.000,,,,,,,,,,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,222000000.000,409000000.000,317000000.000,204000000.000,,,,,,,,,459000000.000,1615000000.000,,400000000.000,343000000.000,430000000.000,,484000000.000,432000000.000,489000000.000,,-238000000.000
ConsolidationLessThanWhollyOwnedSubsidiaryParentOwnershipInterestChangesIssuanceOfEquityBySubsidiaryToNoncontrollingInterests,,,,,,,,,,,,,313000000.000,,,,,,,,,,,
CostsAndExpenses,3073000000.000,2852000000.000,2662000000.000,3129000000.000,3282000000.000,2707000000.000,2647000000.000,3240000000.000,2861000000.000,2806000000.000,3118000000.000,3038000000.000,2458000000.000,2699000000.000,2715000000.000,2798000000.000,2633000000.000,2504000000.000,3534000000.000,3028000000.000,2554000000.000,2598000000.000,2365000000.000,2639000000.000
DebtInstrumentInterestRateStatedPercentageRateRangeMaximum,0.089,,,,0.089,,,0.089,,,,,,,,,,,,,,,,
DebtInstrumentInterestRateStatedPercentageRateRangeMinimum,0.043,,,,0.034,,,0.019,,,,,,,,,,,,,,,,
DepreciationAndAmortization,139000000.000,139000000.000,134000000.000,136000000.000,131000000.000,132000000.000,127000000.000,116000000.000,114000000.000,113000000.000,114000000.000,112000000.000,71000000.000,68000000.000,30000000.000,68000000.000,66000000.000,65000000.000,65000000.000,64000000.000,63000000.000,61000000.000,37000000.000,55000000.000
DirectOperatingCosts,2276000000.000,2030000000.000,1810000000.000,2251000000.000,2461000000.000,1877000000.000,1841000000.000,2474000000.000,2064000000.000,1972000000.000,2303000000.000,2284000000.000,1798000000.000,1936000000.000,2071000000.000,2142000000.000,1907000000.000,1842000000.000,2433000000.000,2356000000.000,1861000000.000,1897000000.000,1842000000.000,2074000000.000
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,149000000.000,,,,1557000000.000,,,,,,,,,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,,,,,,147000000.000,,,,1557000000.000,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,,,,-36000000.000,-11000000.000,,,,,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,,,,,,,,,,-194000000.000,,,40000000.000,5000000.000,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,,,,,,,,,-122000000.000,,,,10000000.000,,,,,,,,,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,,,,,-16000000.000,-7000000.000,,,,,,,,,,,,,,,
DiscontinuedOperationTaxEffectOfIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriod,,,,,,,,,,-72000000.000,,,14000000.000,-5000000.000,,,,,,,,,,
DiscontinuedOperationTaxEffectOfIncomeLossFromDisposalOfDiscontinuedOperation,,,,,,,,,,2000000.000,,,,0.000,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,,,,123000000.000,139000000.000,139000000.000,0.000,,334000000.000,55000000.000,,,,,,,,,,
DisposalGroupNotDiscontinuedOperationLossGainOnWriteDown,,,,,11000000.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,
DividendsCommonStock,34000000.000,69000000.000,67000000.000,,,,,,,,,,,,,,,,,,,,,
DividendsCommonStockCash,,,,,66000000.000,66000000.000,78000000.000,75000000.000,74000000.000,73000000.000,,,69000000.000,79000000.000,,75000000.000,75000000.000,72000000.000,,69000000.000,69000000.000,80000000.000,,75000000.000
DividendsShareBasedCompensationCash,,,,,1000000.000,2000000.000,1000000.000,1000000.000,1000000.000,1000000.000,,1000000.000,1000000.000,1000000.000,,,,,,,,,,
EarningsPerShareBasic,0.300,0.590,0.510,0.570,0.560,0.660,0.610,0.710,0.780,0.820,0.780,0.800,0.770,3.080,0.730,0.790,0.680,0.890,0.560,1.030,0.940,1.080,-0.210,-0.610
EarningsPerShareDiluted,0.290,0.580,0.500,0.550,0.540,0.650,0.600,0.690,0.760,0.800,0.760,0.780,0.760,3.030,0.700,0.780,0.670,0.880,0.560,1.020,0.930,1.070,-0.210,-0.610
EffectiveIncomeTaxRateContinuingOperations,,,,,0.360,0.339,0.351,0.332,0.346,,,0.336,0.336,0.524,,0.333,0.328,0.323,,0.319,0.322,0.250,,0.227
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,13000000.000,17000000.000,14000000.000,10000000.000,16000000.000,15000000.000,15000000.000,23000000.000,19000000.000,,,16000000.000,17000000.000,12000000.000,,18000000.000,16000000.000,15000000.000,,17000000.000,17000000.000,18000000.000,,15000000.000
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,35000000.000,,,,56000000.000,,,85000000.000,,,,103000000.000,,,,57000000.000,,,,8000000.000,,,,0.000
ExtinguishmentOfDebtGainLossIncomeTax,,,,,,,,,,,,,,-133000000.000,,,,,,,,,,
ExtinguishmentOfDebtGainLossNetOfTax,,,,,,,,,,,,,,-219000000.000,,,,,,,,,,
FutureAmortizationExpenseYearFive,69000000.000,,,,61000000.000,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearFour,79000000.000,,,,69000000.000,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearThree,87000000.000,,,,79000000.000,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearTwo,99000000.000,,,,89000000.000,,,,,,,,,,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,0.000,0.000,0.000,0.000,25000000.000,0.000,-57000000.000,0.000,0.000,0.000,0.000,,,-352000000.000,,,,0.000,,,,,,
GoodwillImpairmentLoss,,,,,,,,,,,,,,52000000.000,,,,0.000,,,,,,
IncomeLossFromContinuingOperations,,,,,,,,,,,,,418000000.000,72000000.000,,394000000.000,332000000.000,426000000.000,251000000.000,,,514000000.000,,454000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,338000000.000,630000000.000,574000000.000,541000000.000,571000000.000,663000000.000,624000000.000,705000000.000,740000000.000,744000000.000,708000000.000,720000000.000,645000000.000,210000000.000,589000000.000,610000000.000,503000000.000,653000000.000,257000000.000,725000000.000,637000000.000,703000000.000,165000000.000,609000000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,463000000.000,476000000.000,469000000.000,465000000.000,468000000.000,,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicShare,,,,,,,,0.750,0.780,0.780,0.770,0.800,0.730,0.140,0.790,0.790,0.680,0.890,0.540,,,1.160,,1.110
IncomeLossFromContinuingOperationsPerDilutedShare,,,,,,,,0.730,0.760,0.760,0.750,0.780,0.720,0.130,0.780,0.780,0.670,0.880,0.540,,,1.150,,1.090
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,,-20000000.000,-4000000.000,25000000.000,5000000.000,0.000,26000000.000,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToNoncontrollingInterest,,,,,,,,,,,,,5000000.000,0.000,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,,,,,,,,,,,,21000000.000,1567000000.000,,0.000,0.000,0.000,10000000.000,,,-36000000.000,,-706000000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,,,,,,-0.030,-0.010,0.040,0.010,0.000,0.040,2.950,-0.070,0.000,0.000,0.000,0.020,,,-0.080,,-1.720
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,,,,,,,-0.030,-0.010,0.040,0.010,0.000,0.040,2.900,-0.080,0.000,0.000,0.000,0.020,,,-0.080,,-1.700
IncomeLossFromEquityMethodInvestments,-14000000.000,-5000000.000,-19000000.000,1000000.000,-5000000.000,-11000000.000,-14000000.000,-8000000.000,-8000000.000,-21000000.000,-9000000.000,-10000000.000,-10000000.000,-28000000.000,0.000,-13000000.000,-6000000.000,-16000000.000,2000000.000,-21000000.000,-9000000.000,-13000000.000,-7000000.000,-17000000.000
IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions,-16000000.000,,,,-6000000.000,,,-11000000.000,,,,-14000000.000,,,,-13000000.000,,,,-22000000.000,,,,-17000000.000
IncomeTaxExpenseBenefit,122000000.000,230000000.000,217000000.000,186000000.000,203000000.000,225000000.000,219000000.000,234000000.000,256000000.000,254000000.000,234000000.000,242000000.000,217000000.000,110000000.000,193000000.000,203000000.000,165000000.000,211000000.000,8000000.000,231000000.000,205000000.000,176000000.000,16000000.000,138000000.000
IncomeTaxReconciliationNondeductibleExpenseImpairmentLosses,,,,,,,,,,,,,,22000000.000,,,,,,,,,,
IncomeTaxesPaid,19000000.000,,,,21000000.000,,,27000000.000,,,,49000000.000,,,,,,,,,,,,
IncomeTaxesPaidNet,,,,,,,,,,,,,,,,,,,,7000000.000,,,,
IncreaseDecreaseInOperatingCapital,-503000000.000,,,,-118000000.000,,,40000000.000,,,,115000000.000,,,,104000000.000,,,,-426000000.000,,,,-112000000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,19000000.000,17000000.000,16000000.000,-35000000.000,17000000.000,15000000.000,16000000.000,17000000.000,15000000.000,15000000.000,-31000000.000,15000000.000,11000000.000,9000000.000,-24000000.000,8000000.000,5000000.000,4000000.000,-12000000.000,5000000.000,4000000.000,4000000.000,-9000000.000,6000000.000
InterestExpense,110000000.000,110000000.000,110000000.000,106000000.000,110000000.000,104000000.000,95000000.000,95000000.000,93000000.000,93000000.000,95000000.000,106000000.000,94000000.000,89000000.000,74000000.000,93000000.000,94000000.000,102000000.000,103000000.000,100000000.000,100000000.000,104000000.000,107000000.000,109000000.000
