,2011-06-30
CostOfGoodsSoldDepreciationDepletionAndAmortization,17186.000
CostOfServicesOilAndGas,23083.000
Depreciation,67.000
ForeignCurrencyTransactionGainLossBeforeTax,-129.000
GrossProfit,31641.000
IncomeLossFromContinuingOperationsPerDilutedShare,0.000
InterestExpense,1902.000
NetIncomeLoss,-25573.000
OilAndGasRevenue,71910.000
OperatingExpenses,57085.000
OperatingIncomeLoss,-25444.000
OtherGeneralExpense,4152.000
ProfessionalAndContractServicesExpense,14513.000
ProfessionalFees,36451.000
WeightedAverageNumberOfDilutedSharesOutstanding,13039000.000
