,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30
AdjustmentOfWarrantsGrantedForServices,,,,,604310.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-217441.000,,,,68377.000,,
CostOfRevenue,,,,,436399.000,207407.000,302846.000
Depreciation,,,,,10963.000,,
EarningsPerShareBasicAndDiluted,-0.010,-0.020,-0.010,-0.060,-0.040,-0.040,-0.030
GainLossOnDerivativeInstrumentsNetPretax,,,,,-7763.000,-689836.000,-1581078.000
GainLossOnSaleOfPropertyPlantEquipment,,,,,,-1537771.000,-2000.000
GeneralAndAdministrativeExpense,190886.000,697457.000,245577.000,5042582.000,2186679.000,1871661.000,102829.000
GrossProfit,,,,,-436399.000,-207407.000,-302846.000
IncreaseDecreaseInAccountsPayable,89258.000,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,168753.000,,
IncreaseDecreaseInAccountsPayableRelatedParties,-15259.000,,,,-101263.000,,
IncreaseDecreaseInAccountsReceivable,,,,,32402.000,,
IncreaseDecreaseInOtherCurrentAssets,19796.000,,,,,,
InterestExpense,,,,,433987.000,383346.000,411811.000
IssuanceOfStockAndWarrantsForServicesOrClaims,60300.000,,,,747819.000,,
NetCashProvidedByUsedInFinancingActivities,1974700.000,,,,1093200.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,1974700.000,,,,1093200.000,,
NetCashProvidedByUsedInInvestingActivities,-2039140.000,,,,-70862.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-2039140.000,,,,-70862.000,,
NetCashProvidedByUsedInOperatingActivities,-153001.000,,,,-953961.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-153001.000,,,,-953961.000,,
NetIncomeLoss,-531046.000,-1292339.000,-556316.000,-4075101.000,-3057065.000,-4000185.000,-3258069.000
OperatingExpenses,,,,,,,2541412.000
OperatingIncomeLoss,-531046.000,-1292339.000,-556316.000,-3926290.000,-2623078.000,-2079068.000,-2844258.000
OtherGeneralAndAdministrativeExpense,,,,,487507.000,563435.000,
PaymentsToAcquireBuildings,703482.000,,,,,,
PaymentsToAcquireFurnitureAndFixtures,112072.000,,,,,,
PaymentsToAcquireMachineryAndEquipment,950224.000,,,,70862.000,,
PaymentsToAcquireMiningAssets,263468.000,,,,,,
ProceedsFromIssuanceOfCommonStock,1974700.000,,,,,,
ProceedsFromRelatedPartyDebt,,,,,1095000.000,,
ProceedsFromRepaymentsOfRelatedPartyDebt,,,,,-1800.000,,
ProfessionalFees,116210.000,192882.000,161439.000,3706902.000,1385909.000,346140.000,745005.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,,,,,1.360,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,,,,,0.002,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsGranted,,,,,6325000.000,,
StockIssuedDuringPeriodSharesShareBasedCompensation,,,,,5900000.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,67259290.000,,83886460.000,95132802.000,109103217.000
