,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30
AccountsAndOtherReceivablesNetCurrent,,,,15743.000,0.000,459635.000
AccumulatedAmortizationOfOtherDeferredCosts,,,,,687132.000,565411.000
Assets,2120609.000,1998334.000,1866553.000,1841908.000,1867831.000,3003586.000
AssetsCurrent,1841005.000,1758458.000,1694865.000,1656212.000,1697169.000,2826828.000
CashAndCashEquivalentsAtCarryingValue,1841005.000,1758458.000,1694865.000,1640469.000,1697169.000,2367193.000
DueToRelatedPartiesCurrent,277148.000,128729.000,133555.000,3429410.000,3456074.000,3659411.000
DueToRelatedPartiesNoncurrent,3341412.000,3396307.000,3326399.000,0.000,,
GeneralPartnersCapitalAccount,-23568.000,2650.000,2501.000,2421.000,10120.000,15748.000
LiabilitiesAndStockholdersEquity,2120609.000,1998334.000,1866553.000,1841908.000,1867831.000,3003586.000
LiabilitiesCurrent,1229411.000,1218052.000,1276231.000,4591552.000,4686904.000,6086817.000
LimitedPartnersCapitalAccount,-2426646.000,-2618675.000,-2738578.000,-2752065.000,-2829193.000,-3098979.000
OtherDeferredCreditsCurrent,,,,,0.000,446113.000
PartnersCapital,-2450214.000,-2616025.000,-2736077.000,-2749644.000,-2819073.000,-3083231.000
VariableInterestEntityEntityMaximumLossExposureAmount,,,,,19376810.000,13645817.000
