,2011-10-29,2012-11-03
AdditionsToNoncurrentAssets,,19967000.000
AdjustmentsToAdditionalPaidInCapitalIncomeTaxDeficiencyFromShareBasedCompensation,1537000.000,417000.000
AllocatedShareBasedCompensationExpense,,6476000.000
AllocatedShareBasedCompensationExpenseNetOfTax,,4209000.000
AmortizationOfIntangibleAssets,1689000.000,1689000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,1568000.000
AssetImpairmentCharges,0.000,0.000
BusinessCombinationAcquisitionRelatedCosts,,6901000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-4023000.000,215000.000
CommonStockDividendsPerShareDeclared,0.000,0.000
ComprehensiveIncomeNetOfTax,-20497000.000,1101000.000
CostOfGoodsSold,1004928000.000,1037991000.000
CostsAndExpenses,1123576000.000,1133742000.000
CurrentFederalTaxExpenseBenefit,,-1756000.000
CurrentForeignTaxExpenseBenefit,,1025000.000
CurrentIncomeTaxExpenseBenefit,,-357000.000
CurrentStateAndLocalTaxExpenseBenefit,,374000.000
DeferredFederalIncomeTaxExpenseBenefit,,2369000.000
DeferredForeignIncomeTaxExpenseBenefit,,-986000.000
DeferredIncomeTaxExpenseBenefit,-5139000.000,1349000.000
DeferredOtherTaxExpenseBenefit,,1408000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,25000.000
Depreciation,,29953000.000
DepreciationDepletionAndAmortization,32824000.000,31641000.000
EarningsPerShareBasic,-0.690,0.080
EarningsPerShareDiluted,-0.690,0.080
EffectOfExchangeRateOnCashAndCashEquivalents,-549000.000,-10000.000
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,2267000.000
FederalIncomeTaxExpenseBenefitContinuingOperations,,1051000.000
ForeignCurrencyTransactionGainLossBeforeTax,,588000.000
GainLossOnDispositionOfAssets,-232000.000,-209000.000
GainsLossesOnExtinguishmentOfDebt,0.000,0.000
GoodwillImpairmentLoss,40455000.000,0.000
GrossProfit,,109675000.000
IncomeLossFromContinuingOperations,-23383000.000,2687000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,11997000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-32233000.000,3738000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,,-8259000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,3738000.000
IncomeLossFromContinuingOperationsPerBasicShare,-0.760,0.090
IncomeLossFromContinuingOperationsPerDilutedShare,-0.760,0.090
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,2316000.000,-91000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,0.080,-0.010
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,0.080,-0.010
IncomeTaxExpenseBenefit,-8850000.000,1051000.000
IncomeTaxExpenseBenefitContinuingOperations,,1051000.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,223000.000
IncomeTaxReconciliationChangeInEnactedTaxRate,,-72000.000
IncomeTaxReconciliationDeductionsQualifiedProductionActivities,,124000.000
IncomeTaxReconciliationDispositionOfBusiness,,0.000
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,,484000.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,1308000.000
IncomeTaxReconciliationNondeductibleExpenseImpairmentLosses,,0.000
IncomeTaxReconciliationNondeductibleExpenseRestructuringCharges,,0.000
IncomeTaxReconciliationOtherAdjustments,,0.000
IncomeTaxReconciliationOtherReconcilingItems,,161000.000
IncomeTaxReconciliationPriorYearIncomeTaxes,,-1328000.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,,146000.000
IncomeTaxReconciliationTaxContingencies,,370000.000
IncomeTaxReconciliationTaxCreditsOther,,0.000
IncomeTaxReconciliationTaxCreditsResearch,,117000.000
IncomeTaxesPaid,-11350000.000,-345000.000
IncreaseDecreaseInAccountsPayable,13668000.000,1021000.000
