,2011-12-31,2016-12-31
AdvertisingExpense,,11333.000
AllowanceForDoubtfulAccountsReceivableWriteOffs,,1641.000
CapitalLeaseObligationsIncurred,0.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-127347.000,-63257.000
CostOfGoodsSold,2889418.000,2139873.000
CurrentStateAndLocalTaxExpenseBenefit,,800.000
Depreciation,,124155.000
DepreciationAndAmortization,68162.000,
DepreciationDepletionAndAmortization,99824.000,
EarningsPerShareBasic,0.020,
EarningsPerShareBasicAndDiluted,,-0.150
EarningsPerShareDiluted,0.020,
EffectiveIncomeTaxRateContinuingOperations,,0.004
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,-0.309
EffectiveIncomeTaxRateReconciliationDeductions,,0.393
EffectiveIncomeTaxRateReconciliationDeductionsOther,,0.009
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,-0.089
GainLossOnDispositionOfAssets,0.000,
GrossProfit,1402735.000,1413026.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,-190064.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,21658.000,
IncomeTaxExpenseBenefit,800.000,800.000
IncomeTaxReconciliationDeductions,,74692.000
IncomeTaxReconciliationDeductionsOther,,1754.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,-58730.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,,-16916.000
IncomeTaxReconciliationTaxExemptIncome,,-190064.000
IncomeTaxesPaid,800.000,
IncomeTaxesPaidNet,,800.000
IncreaseDecreaseInAccountsPayable,92029.000,34140.000
IncreaseDecreaseInAccountsReceivable,-41432.000,4876.000
IncreaseDecreaseInAccruedLiabilities,-60843.000,-4110.000
IncreaseDecreaseInInventories,126884.000,-36373.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,-5986.000
IncreaseDecreaseInPrepaidExpense,7702.000,
InterestExpense,24204.000,9400.000
InterestPaid,24204.000,9400.000
InvestmentIncomeInterest,,1996.000
NetCashProvidedByUsedInFinancingActivities,-91476.000,41083.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-91476.000,41083.000
NetCashProvidedByUsedInInvestingActivities,-103037.000,-105144.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-103037.000,-105144.000
NetCashProvidedByUsedInOperatingActivities,67166.000,804.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,67166.000,804.000
NetIncomeLoss,20858.000,-190864.000
NonoperatingIncomeExpense,240951.000,
OperatingExpenses,1622028.000,1601824.000
OperatingIncomeLoss,-219293.000,-188798.000
OtherIncome,,6138.000
OtherNonoperatingIncomeExpense,265155.000,-1266.000
PaymentsForRent,,103200.000
PaymentsToAcquirePropertyPlantAndEquipment,103037.000,105144.000
ProceedsFromIssuanceOfLongTermDebt,,74922.000
ProvisionForDoubtfulAccounts,4075.000,
RelatedPartyTransactionAmountsOfTransaction,,40246.000
RepaymentsOfDebt,,15000.000
RepaymentsOfDebtAndCapitalLeaseObligations,91476.000,
RepaymentsOfLongTermDebt,,33839.000
Revenues,4292153.000,3559037.000
SalesRevenueNet,4292153.000,3552899.000
SellingGeneralAndAdministrativeExpense,1553866.000,
