SEC ID,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
1416729,,,,,4725818.000,,13447.000,,,,,,,,,,,,,,,,,,,
1020214,,,9249000.000,,8782000.000,9224000.000,8252000.000,10528000.000,,,,,,,,,,,,,,,,,,
95552,,,,,,215053000.000,193926000.000,,206441000.000,198993000.000,191619000.000,192511000.000,183390000.000,198966000.000,176419000.000,186672000.000,173729000.000,183940000.000,175656000.000,194621000.000,186065000.000,182709000.000,175580000.000,188323000.000,174220000.000,
1501268,,,,,,,,,,,,,,,,,3000.000,,,,,,,,,
1040570,,87206000.000,85769000.000,,89283000.000,88394000.000,87109000.000,,,,,,,,,,,,,,,,,,,
1269022,,,,,,,,,,,,,,,,,,,,,,,,,,
1594420,,,,,,,,,,,,,0.000,,,,,,,,,,,,,
1324482,,,,,218137000.000,218671000.000,166885000.000,,,,,,,,,,,,,,,,,,,
1502777,,,,,3024.000,107483.000,149325.000,,130448.000,98008.000,,,,,,,,,,,,,,,,
911109,82859000.000,90523000.000,95141000.000,,87923000.000,94150000.000,100879000.000,98307000.000,97941000.000,97522000.000,105487000.000,105536000.000,102404000.000,106533000.000,113322000.000,123215000.000,132629000.000,130288000.000,133343000.000,134517000.000,124533000.000,124849000.000,128853000.000,130387000.000,123527000.000,126690000.000
1402186,,2507962.000,,,,,,,,,,,,,,,,,,,,,,,,
1549848,,,,,,,,,,,,,55828000.000,82724000.000,102316000.000,145679000.000,102111000.000,83958000.000,81494000.000,72077000.000,52148000.000,38429000.000,46556000.000,67297000.000,83364000.000,
931058,,104114000.000,100813000.000,,103200000.000,,133076000.000,,140992000.000,,163110000.000,,166241000.000,,192063000.000,,,,,,,,,,,
1563004,,,,,,,,,,,,,,,,,,,,,,,,,,
1546381,,,,,,,,,,,,,30272000.000,32083000.000,37123000.000,38211000.000,26116000.000,24113000.000,32549000.000,42139000.000,,,,,,
1487952,,62133000.000,60037000.000,,55844000.000,55332000.000,55430000.000,51010000.000,57461000.000,62837000.000,57729000.000,,61041000.000,65162000.000,63402000.000,,56608000.000,59508000.000,57149000.000,,,57996000.000,54490000.000,55814000.000,,59787000.000
1287701,,162697000.000,135094000.000,,30608000.000,,29462000.000,,9259000.000,16304000.000,13421000.000,17720000.000,15584000.000,20628000.000,34301000.000,37427000.000,47935000.000,54147000.000,65213000.000,,,,,,,
883107,,2923208.000,2242914.000,,2409338.000,2782793.000,2100964.000,2743610.000,2979353.000,2683111.000,2163950.000,1763586.000,2585000.000,2878000.000,2654000.000,1819000.000,2310000.000,2937000.000,2786000.000,2280000.000,2211000.000,3683000.000,2521000.000,2368000.000,3485000.000,
1084869,,,117198000.000,,239845000.000,179555000.000,120868000.000,253016000.000,192624000.000,168989000.000,123048000.000,266337000.000,179591000.000,187369000.000,126703000.000,534275000.000,232237000.000,228291000.000,156041000.000,548381000.000,234207000.000,,165829000.000,,554553000.000,233715000.000
1443157,,,,,,,,,0.000,,103712.000,,,259993.000,,,,,,,,,,,,
1145765,,,,,,,,,,,,,,,,,,,,,,,,,,
1069157,,,,,,,,,,,,,,,,,,,,,,,,,,
1321732,,,,,,,,,,,,,,,,,,,50416000.000,,57919000.000,65106000.000,67187000.000,73105000.000,73213000.000,
1579717,,,,,,,,,,,,,,,,,45004.000,,,,,,,,,
1374310,,,143604000.000,,121392000.000,132549000.000,128319000.000,130078000.000,142705000.000,150772000.000,,,157885000.000,143942000.000,148910000.000,166488000.000,142839000.000,148725000.000,187035000.000,155946000.000,162330000.000,163329000.000,156207000.000,175080000.000,356200000.000,
1126956,,,,,,,,,,,,468610000.000,694504000.000,241800000.000,222286000.000,619600000.000,877400000.000,275200000.000,204200000.000,399400000.000,609300000.000,249300000.000,,495100000.000,663400000.000,
72316,,3386830.000,3845199.000,,2378014.000,2016395.000,2034707.000,1712700.000,1712554.000,1397256.000,959593.000,,,,,,,,,,,,,,,
1230634,,6000.000,,,19000.000,,4000.000,,2000.000,,431000.000,,,,,,,,,,,,,,,
1451929,,,,,,,,,,,,,,,,,,,,,,,,,,
1223112,,7026000.000,13232000.000,,18220000.000,52511000.000,74353000.000,67439000.000,68314000.000,,,,,,,,,,,,,,,,,
1511863,,,,,,,,,,,,,,,,,,,,,,,,,,
1560443,,,,,,,,,9360000.000,10649000.000,12431000.000,18235000.000,27427000.000,26818000.000,56424000.000,54974000.000,38117000.000,24084000.000,20105000.000,,,,,,,
1022652,,118021000.000,113263000.000,,100150000.000,102446000.000,71017000.000,70675000.000,85921000.000,91124000.000,92673000.000,65335000.000,48284000.000,37270000.000,44330000.000,55361000.000,53494000.000,54815000.000,54577000.000,58056000.000,,62811000.000,60881000.000,,55389000.000,
