SEC ID,2010,2011,2012,2013,2014,2015,2016
1058290,,875152000.000,1172583000.000,1423776000.000,1473010000.000,2153300000.000,1621000000.000
75439,,-719000.000,-685000.000,-498000.000,,-388000.000,-1091000.000
1582086,,,,,-162400000.000,3300000.000,30400000.000
1347613,,-21231254.000,-31125000.000,-52631000.000,-89064000.000,-100989000.000,-129753000.000
1412665,,23735000.000,22539000.000,28260000.000,23264000.000,32708000.000,38184000.000
759718,,64417000.000,5226000.000,,,,
1220606,,1315990.000,5091081.000,15593447.000,,,
1049502,,156036000.000,137167000.000,76087000.000,101914000.000,138295000.000,180098000.000
1398235,,,,,,,
924642,,-10721000.000,-6015000.000,-1954000.000,-2593000.000,-1211000.000,
1355304,,-165096.000,-108111.000,,1107148.000,,
1036500,,-7795.000,-18701.000,-24853.000,,,
1451433,,-9127.000,-25691.000,,-633360.000,,
107687,,,115000.000,10238000.000,23236000.000,45183000.000,52746000.000
1001250,1027000000.000,1126700000.000,1226300000.000,1535200000.000,1943300000.000,1788700000.000,
910638,,27660000.000,53044000.000,25184000.000,51111000.000,-3128000.000,56902000.000
1017907,,,3804000.000,17755000.000,27009000.000,29307000.000,-13628000.000
77597,,42298000.000,44273000.000,,,,
318673,,6865825.000,22416206.000,36651854.000,31015809.000,-15831248.000,43860446.000
1003410,,337572000.000,299157000.000,435676000.000,444487000.000,379381000.000,450135000.000
1108236,,8809000.000,10271000.000,11489000.000,8983000.000,8777000.000,9865000.000
1478726,,,,-2546908.000,8830689.000,18547454.000,8261716.000
1109357,,4853000000.000,6131000000.000,6343000000.000,4457000000.000,7616000000.000,8445000000.000
920760,,-259135000.000,-424648000.000,-807714000.000,-788488000.000,-419646000.000,
1001385,,12275000.000,44490000.000,20089000.000,35044000.000,55206000.000,1519000.000
1620928,,,,,,70006000.000,154117000.000
1476278,,-10508.000,-19744079.000,-2099533.000,,,
4447,,4984000000.000,5660000000.000,4870000000.000,4464000000.000,1981000000.000,795000000.000
313927,,437800000.000,523600000.000,499600000.000,540300000.000,606100000.000,655300000.000
1639947,,,,,,267174000.000,249220000.000
1587246,,,,,13016000.000,26921000.000,24819000.000
852437,,2753000.000,4645000.000,9406000.000,6984000.000,,
1548953,,,-13068.000,-28018.000,,,
1103025,,3799000.000,,,,,
897448,,-39439000.000,-122303000.000,-190336000.000,-72309000.000,-84748000.000,-71815000.000
1364397,,8599000.000,10424000.000,9161000.000,7649000.000,-429000.000,-1309000.000
1382134,,-1312220.000,,,,,
768890,,,,,,,
1449278,,,,,-13922000.000,-20471000.000,
1364250,,207838000.000,210373000.000,243973000.000,246715000.000,271427000.000,339449000.000
99780,,104300000.000,527400000.000,662200000.000,819200000.000,939700000.000,1090200000.000
1095146,,-20891.000,-14856.000,-18233.000,,,
1564822,,,,262242000.000,550710000.000,372911000.000,487504000.000
886982,,21645000000.000,12879000000.000,4543000000.000,-7623000000.000,6961000000.000,5570000000.000
859368,,172124000.000,,,,,
1497645,,24145574.000,34703000.000,72436000.000,102139000.000,132216000.000,137935000.000
1436229,,430434.000,-69880.000,252930.000,-1061303.000,-796533.000,-828459.000
1507615,,35824000.000,77505000.000,98367000.000,185000000.000,459000000.000,498000000.000
1510295,,3309000000.000,4492000000.000,3405000000.000,3110000000.000,4061000000.000,3986000000.000
1504937,,-25775.000,-2611000.000,-1001936.000,,,
1172052,,39943000.000,104348000.000,110861000.000,97569000.000,22891000.000,98824000.000
31986,,221000000.000,,,,,
1127993,,-162007.000,16282.000,26547.000,-53331.000,-103000.000,
831967,,,,,,,
733076,,944000000.000,2482000000.000,2733000000.000,4542000000.000,4205000000.000,3289000000.000
71508,,3128817000.000,2940285000.000,3189219000.000,3889561000.000,3291184000.000,2998699000.000
1610418,,,,,84694000.000,116017000.000,160089000.000
1089143,,10786000.000,9054000.000,12116000.000,10604000.000,8732000.000,
1404644,,,,,-17805565.000,-20268000.000,-30226000.000
1109553,,,,,,,
890926,,-897775000.000,-510500000.000,-664937000.000,-136174000.000,13755000.000,381724000.000
890923,,-3217000.000,17395000.000,19589000.000,,,
1446806,,27353066.000,30382955.000,26708171.000,20165665.000,21947701.000,-1317168.000
1507986,,,,,-4496000.000,3297000.000,1530000.000
1423586,,-28250.000,,-170867.000,-46190.000,-51370.000,-35670.000
1489588,,-215700.000,-651153.000,-134866.000,-134699.000,-605936.000,-435489.000
1488613,,,,-30766000.000,-42736000.000,-63726000.000,-67167000.000
1085706,,47922000.000,31604000.000,44540000.000,37711000.000,,
215419,,,62213000.000,21070000.000,65542000.000,37495000.000,
858395,,,,,,,
752714,,129311000.000,126381000.000,133643000.000,122986000.000,144552000.000,141761000.000
1689084,,,,,,,
1556508,,,-6149.000,385478.000,-365411.000,88676.000,-881592.000
1444064,,,,,,,
1042074,,,,-8458000.000,-21114000.000,-23324000.000,-23353000.000
1517709,,-18935.000,-26228.000,,,,
1468174,,393000000.000,499000000.000,456000000.000,473000000.000,538000000.000,489000000.000
