SEC ID,2010,2011,2012,2013,2014,2015,2016
1476278,,500.000,3267825.000,2056307.000,,,
4447,,37871000000.000,38373000000.000,24421000000.000,11439000000.000,6561000000.000,4844000000.000
313927,,,,,,,
1639947,,,,,,327941000.000,347904000.000
1587246,,,,,404418000.000,371191000.000,297997000.000
852437,,89377000.000,82503000.000,91596000.000,86699000.000,,
1548953,,,0.000,984.000,,,
1103025,,49368000.000,,,,,
897448,,,,26351000.000,54202000.000,81756000.000,130084000.000
1364397,,,,,,,
1382134,,6300000.000,,,,,
768890,,,,,,,
1449278,,,,,,,
1364250,,575337000.000,578999000.000,591536000.000,599539000.000,635774000.000,742551000.000
99780,,3075100000.000,3811900000.000,4365300000.000,6170000000.000,6392700000.000,4590600000.000
1095146,,0.000,0.000,0.000,,,
1564822,,,,2463802000.000,2591183000.000,2655792000.000,3127938000.000
886982,,,,,,,
859368,,721126000.000,,,,,
1497645,,,189542000.000,298958000.000,403466000.000,463455000.000,473935000.000
1436229,,,,,38214.000,506190.000,355212.000
1507615,,80946000.000,156839000.000,305476000.000,600000000.000,1112000000.000,1220000000.000
1510295,,78638000000.000,82289000000.000,100212000000.000,97928000000.000,72163000000.000,
1504937,,20000.000,,,,,
1172052,,660158000.000,703867000.000,745284000.000,778797000.000,797953000.000,819822000.000
31986,,509000000.000,,,,,
1127993,,1288330.000,1865468.000,1883837.000,1497813.000,1142484.000,1087411.000
831967,,,,,,,
733076,,8529000000.000,8117000000.000,5416000000.000,6903000000.000,7104000000.000,1180000000.000
71508,,11229073000.000,10302079000.000,,,,
1610418,,,,,130172000.000,203423000.000,239211000.000
1089143,,48359000.000,49090000.000,60571000.000,61684000.000,60954000.000,
1404644,,,,,,,
1109553,,,,,,,
890926,,1947843000.000,825408000.000,758987000.000,1072685000.000,1193253000.000,1238452000.000
890923,,151686000.000,186337000.000,140451000.000,,,
1446806,,46797113.000,58742744.000,50233891.000,40870031.000,36268570.000,21950386.000
1507986,,,,,33447000.000,43322000.000,56330000.000
1423586,,,,,,,
1489588,,16824.000,7350.000,,1646947.000,2157929.000,1086971.000
1488613,,,,28990000.000,61079000.000,93203000.000,116865000.000
1085706,,,,,,,
215419,,,692832000.000,690316000.000,662040000.000,587157000.000,
858395,,,,,,,
752714,,342670000.000,364074000.000,379320000.000,408122000.000,404544000.000,424080000.000
1689084,,,,,,,
1556508,,,44445.000,15537875.000,20846119.000,18728148.000,16166777.000
1444064,,,,,,,
1042074,,,,,,,
1517709,,,,,,,
1468174,,3698000000.000,3949000000.000,4184000000.000,4415000000.000,4328000000.000,4429000000.000
808326,,200928000.000,163781000.000,168147000.000,174778000.000,81685000.000,91998000.000
1265888,,,,,,,
1434702,,,,,,,
1308711,,52494000.000,42004000.000,55068000.000,55487000.000,55391000.000,54364000.000
1359841,4326713000.000,4637143000.000,4525721000.000,4627802000.000,5324746000.000,5731549000.000,6028199000.000
1422143,,,,,,,
1520874,,,,,,,
1230355,,19153000.000,14570000.000,18582000.000,,,
918580,,,,,,,
16058,3577780000.000,3774473000.000,3681990000.000,3564562000.000,3313452000.000,3744053000.000,
1071739,,5340582000.000,8667612000.000,10863329000.000,16560000000.000,22760000000.000,40607000000.000
1544597,,,48620.000,15650.000,33074.000,,
1498068,,,,,,,
1511967,,,,,,,
1091325,,42209860.000,27605889.000,17840886.000,13124152.000,14509124.000,
858748,,30665334.000,32264051.000,,,,
1652044,,,,,,74989000000.000,90272000000.000
829114,,,,,,,
1649338,,,,,,,13240000000.000
42542,,8074900000.000,,,,,
1072806,,2012000.000,,,,,
1224006,,,,,,,
1304741,,,,,,,7500.000
60549,,12737000000.000,12286000000.000,11860000000.000,11499000000.000,7669000000.000,7517000000.000
1331757,,,,,,,
1161366,,874760000.000,897420000.000,918614000.000,948447000.000,982362000.000,1033239000.000
1044577,,,36527550.000,47192107.000,,,
12040,,72309000.000,77335000.000,82798000.000,89802000.000,99121000.000,103618000.000
1289636,,15925213.000,16887267.000,35392108.000,51201257.000,27217383.000,
1528875,,,,,,,
1049210,,61267000.000,57171000.000,,,,
1229146,,,,,,,
1082384,,,,,,,
949699,,81990000.000,,260169000.000,729729000.000,,
1097792,,23799707.000,17910233.000,16828190.000,4478844.000,,17696462.000
1692412,,,,,,,
1527974,,,,,,,
1653477,,,,,,,
1337213,,165209.000,,,,,
1424657,,9800.000,3729811.000,,,,1027984.000
75677,,2620111000.000,2843877000.000,3665308000.000,5852600000.000,5741700000.000,5779000000.000
1522699,,,87459.000,449531.000,278885.000,444078.000,
58592,,12346000.000,3325000.000,1214000.000,1166000.000,,
1084267,,3243318.000,,3157532.000,3257950.000,2491875.000,2268523.000
895051,,1940887.000,669310.000,0.000,23727.000,47712.000,0.000
1163165,,244813000000.000,62004000000.000,58248000000.000,55517000000.000,30935000000.000,24360000000.000
1406243,,13600.000,114946.000,308991.000,,,
1621227,,,,,,,14198000.000
1314054,,1934411.000,3290814.000,3694020.000,,,
1580552,,,,,,,
1645026,,,,,,13123929000.000,
4281,,,,,,,
1581164,,,,1132818000.000,1213475000.000,1284753000.000,1270593000.000
216324,,100086000.000,,,,,
1308208,,699771000.000,1037006000.000,1033492000.000,1191521000.000,1128773000.000,1072751000.000
1371473,,,,,,,
1375576,,0.000,0.000,35285.000,0.000,0.000,
312257,,11552813.000,18610487.000,23502740.000,30800858.000,30648381.000,35172388.000
748270,,437321000.000,441593000.000,,,,
1031296,,,15303000000.000,14917000000.000,15049000000.000,15026000000.000,14562000000.000
1206942,,324927805.000,327830377.000,350721175.000,289152549.000,221149134.000,200697852.000
1339553,,,,,,,
748790,,1277385.000,1136083.000,332320.000,1299075.000,,
724004,,39616000.000,46435000.000,52724000.000,71330000.000,84659000.000,93665000.000
1125280,,,534942.000,,,,
1021270,,154811000.000,154988000.000,155432000.000,149355000.000,114226000.000,99179000.000
1035422,,,,,,,
1441573,,,,,,,
356130,,472644641.000,511867527.000,568351347.000,594467000.000,623726000.000,644983000.000
1471089,,,,,,,
1579241,,,,,2118300000.000,2068100000.000,2238000000.000
1518041,,1812.000,,,,,
1486315,,0.000,,0.000,0.000,,
1372664,,136420000.000,,,,,
1378590,,26267000.000,26296000.000,24506000.000,23737000.000,19224000.000,15895000.000
1527727,,0.000,,,,,
1069530,,11484000.000,10890000.000,41119000.000,,,
1005201,,132973000.000,90816000.000,134205000.000,390363000.000,342735000.000,455897000.000
751364,,265793000.000,331752000.000,392327000.000,434847000.000,482914000.000,533647000.000
1412270,,,,,116713000.000,138681000.000,161754000.000
1382230,,,,,,,
1048268,,481607000.000,456115000.000,494593.000,512395000.000,573857000.000,695993000.000
1559865,,,,357240000.000,361129000.000,373528000.000,389507000.000
320017,,73717980.000,14329889.000,14668455.000,17938790.000,22487566.000,
1518985,,,,,,,
1471487,,,1800000.000,,,,
1598683,,,,,,,
1341235,,,,,,,
707886,,,,,,,
864749,,1644065000.000,2040113000.000,2288124000.000,2395546000.000,2290400000.000,2362200000.000
1547546,,,,,,,
727510,,48072000.000,42600000.000,34493000.000,31173000.000,17456000.000,8377000.000
1307345,,,,,,,
1073149,,,,,,,
830052,,28447967.000,25160172.000,25470934.000,28270448.000,,
1543395,,,,,,,
1141719,,1623932000.000,1658466000.000,,,,
914138,,,,,,,
1682745,,,,,,,
1564273,,,,,,,
1366391,,0.000,0.000,,,,
831355,,851561.000,,,,,
713002,216524000.000,253768000.000,259338000.000,,,,
30419,,,,,,,
1342287,,212239000.000,245543000.000,287105000.000,303825000.000,285851000.000,
728331,,20222369.000,25229519.000,27208304.000,26243398.000,,
33992,,27692716.000,29077714.000,36566185.000,50051492.000,64175734.000,77436664.000
1606808,,,,,,,
22606,,18924000000.000,23489000000.000,24888000000.000,27429000000.000,29447000000.000,31360000000.000
1561206,,,,0.000,0.000,0.000,
1420033,,,,,,,
946647,,,,,,,
949373,,423595000.000,427006000.000,434481000.000,,,
1470701,,,,,,,
1174290,,,,,,,
708870,,4648000.000,4764000.000,4974000.000,5251000.000,,
1637880,,,,,,1335448000.000,1353978000.000
1532750,,247522000.000,267629000.000,467655000.000,685560000.000,740033000.000,
98338,,45215431.000,44913649.000,49529867.000,57402896.000,60998281.000,
1592745,,,,,,,3884000.000
1387713,,39666382.000,38982926.000,47107178.000,55519739.000,94043000.000,99788000.000
1115836,,588559000.000,545418000.000,594081000.000,585715000.000,551385000.000,549824000.000
1365916,,146991000.000,73694000.000,41119000.000,43274000.000,34153000.000,67192000.000
1427352,,380216.000,,,,,
1331465,,,,,,,
1610466,,,,,182400000.000,326500000.000,291300000.000
1584831,,,,,5559000.000,6380000.000,19062000.000
805022,,4759610000.000,4357242000.000,,,,
1646188,,,,,,,
1116112,,0.000,,,,,
1437557,,8362094.000,7259589.000,4786311.000,3140337.000,396064.000,
1436164,,,28244.000,67889.000,,,
1478974,,128575.000,106817.000,,,,
1558009,,,,,,6680536.000,
1359425,,1286973000.000,1430478000.000,,,,
1383534,,0.000,,,,,
1275187,,221787000.000,342026000.000,354455000.000,356974000.000,353890000.000,
1302834,,,,,,,
1512499,,,,,,209985000.000,242346000.000
1254419,,,,,,,
1343719,,,,,,,
1502774,,,101556.000,,,,
1169652,,,,68004000.000,84901000.000,100585000.000,113200000.000
1055355,,305974000.000,,,,,
1527622,,431321000.000,620417000.000,766526000.000,1290644000.000,844711000.000,
861955,,,,,,,
1263762,,,,,,,
1100380,,,,,,,
110027,,0.000,0.000,0.000,0.000,0.000,
27879,,5920000000.000,5081000000.000,4666000000.000,4878000000.000,5023000000.000,31360000000.000
1179500,,,,,,,
1368775,,3887531000.000,4165504000.000,4461987000.000,,,
1662706,,,,,,,
1111284,,,,,,,
314197,,0.000,0.000,0.000,,,
1124524,,555637.000,1100539.000,2659943.000,3935320.000,5882199.000,
1009759,,109371000.000,127557000.000,133105000.000,115461000.000,85211000.000,77169000.000
1418065,,,79516646.000,56275225.000,,,
1262823,,3619848000.000,3571041000.000,322411000.000,147924000.000,108354000.000,191075000.000
1501756,,,,,572000.000,2319000.000,
87050,,6067000.000,7137000.000,3717000.000,4740000.000,11115000.000,10213000.000
1667489,,,,,,,8792208.000
1526726,,,,,,,
1517228,,,,,3829614000.000,3807828000.000,4923621000.000
1267425,,20181.000,3754.000,2084.000,5492.000,45334.000,218488.000
1011835,,,,,,,
1405041,,2637000000.000,2357000000.000,2398000000.000,,2287000000.000,2214000000.000
890447,,109740257.000,134573243.000,161967252.000,258904867.000,146942461.000,98078914.000
1325814,,,,,,,
1362516,,542941.000,542675.000,,207424.000,346518.000,544782.000
1653629,,,,,,132821.000,
1533427,,,119251.000,,111287.000,,
860546,,556841000.000,528007000.000,523360000.000,586473000.000,625466000.000,574328000.000
1362004,,840775000.000,937133000.000,949303000.000,1050134000.000,1132232000.000,1185097000.000
1657250,,,,,,,
918646,462180000.000,495023000.000,,,,,
1419069,,,,,,,
1626853,,,,,,113302000.000,121768000.000
1041550,,,,,,,
878079,,2953530000.000,2978836000.000,2834060000.000,2822896000.000,2789497000.000,2674351000.000
1285236,,,677667.000,1264884.000,,,
923139,,,,,,,
712771,,,,,,,
934936,,,,,,,
1117480,,,,4370000.000,4040000.000,10762000.000,5702000.000
949870,,513000000.000,580222000.000,739053000.000,903007000.000,959934000.000,906446000.000
887568,,,,,,,
1392449,,,,,,,
63276,,6266037000.000,6420881000.000,6484892000.000,6023819000.000,5702613000.000,5456650000.000
1354071,,27415086.000,14168261.000,3726301.000,,,
315261,,7212741.000,6582271.000,5758536.000,,,
1283140,,,292560000.000,305182000.000,332545000.000,358875000.000,402043000.000
47217,,127245000000.000,120357000000.000,112298000000.000,111454000000.000,103355000000.000,48238000000.000
33619,,1717985000.000,1993581000.000,1969754000.000,2051169000.000,,1992631000.000
1130889,,0.000,0.000,,,,
1559845,,,,,,,
1316360,,1325638000.000,1529869000.000,1834619000.000,2230893000.000,2182759000.000,
1610758,,,,,2271257000.000,,
1506251,,0.000,0.000,0.000,,,
1565220,,,,0.000,,,
1323531,,606327000.000,600277000.000,,,,
83246,,,,,3722000000.000,3781000000.000,3444000000.000
29002,,635251000.000,633806000.000,826846000.000,890651000.000,848904000.000,942162000.000
62709,,,,,,,
907045,,1115523.000,825809.000,849412.000,867506.000,848940.000,
1121702,,1425000.000,42316000.000,5394000.000,2800000.000,2594000.000,1159000.000
1594114,,,,500.000,,,
1478132,,0.000,0.000,0.000,,,
1561743,,,,,,,
1374993,,,,,,,
1080602,,0.000,0.000,258521.000,,,
1696898,,,,,,,
1172706,,,,,98513460.000,99827334.000,100377278.000
1359931,,,,,2948000.000,,
47307,,5082963.000,4761289.000,6466172.000,6305836.000,5852924.000,6645780.000
1295664,,,,,,,
50292,,13292732.000,13330097.000,15431944.000,16392217.000,19358246.000,20128041.000
18255,,,944048000.000,920033000.000,986914000.000,1011091000.000,956569000.000
918946,,5244383000.000,,,,,
1330323,,,,,,,
931755,,,,999807.000,909393.000,1066820.000,1074798.000
58492,,3636000000.000,3720800000.000,3746000000.000,4148800000.000,4418600000.000,4161700000.000
1403570,,,,,,240835.000,
1679426,,,,,,,
1314183,,,,,,,
1619227,,,,,,,30752.000
1590560,,,,,,,25098000.000
816159,,,,881601000.000,1004773000.000,1085686000.000,1170455000.000
1138400,,1724946.000,,,,,
1004036,,,,,,,
751652,,1194400000.000,1098900000.000,1220000000.000,1189300000.000,1134900000.000,
1580485,,,,,21235.000,30422.000,128498.000
1035991,,,,,,,
1337298,,304614000.000,351829000.000,435499000.000,302748000.000,234630000.000,
1435387,,,0.000,,,,
1389030,,205820000.000,213961000.000,,,,
814920,,0.000,,,,,
37996,,136264000000.000,134252000000.000,146917000000.000,144077000000.000,149558000000.000,151800000000.000
778438,,921342000.000,978599000.000,,,,
1498372,,0.000,,,154647.000,,
1050446,,562150000.000,594606000.000,575888000.000,579830000.000,529869000.000,512161000.000
1611019,,,,,,,
947969,,,,,,,
1037646,,2309328000.000,2341528000.000,2378972000.000,2485983000.000,2395447000.000,2508257000.000
47129,,8298380000.000,9020807000.000,10771900000.000,11046000000.000,10535000000.000,8803000000.000
1483798,,,,,,,
1005817,,,,,,,
1600470,,,,,137816000.000,255321000.000,235034000.000
1557376,,,87149.000,82968.000,49198.000,147629.000,184881.000
1532961,,,,,,,
1253689,,,,,15027004.000,20070750.000,18500.000
8947,,469112410.000,570594238.000,751723398.000,816687000.000,903192000.000,858930000.000
907562,,48737000.000,54650000.000,53926000.000,81723000.000,,
720875,,31693383.000,29562417.000,27464669.000,,30426055.000,
1335792,,,,,,,
806279,,,,,,,
1166380,,,22712071.000,31903690.000,34102994.000,,
351569,,,,,,,
1159154,,2864500000.000,2810900000.000,1346500000.000,1375400000.000,1344000000.000,
1084717,,,,,,,
1639068,,,,,,,
1618798,,,,,,,
1388311,,88826000.000,94547000.000,,,,
1069799,,,2032057.000,2925581.000,2157592.000,,
1261694,,254576000.000,234023000.000,168908000.000,278807000.000,273300000.000,
1655075,,,,,,,1193200000.000
1543083,,,,,31322.000,44090.000,
1446371,,,23378000.000,,,,
1422841,,,,,,,114100000.000
1567865,,,,,,,
1548082,,,,894128.000,1901475.000,,
1083743,,,772000.000,358000.000,715000.000,558000.000,
916529,,-62135578.000,80050434.000,88571428.000,103562349.000,96573947.000,92975752.000
718413,,,,,,,
1585608,,,,,,258381.000,141523.000
1140028,,,,,,,
1373670,,,,,,291145000.000,380328000.000
1020710,,,,,,1247043000.000,962092000.000
1164727,,,,,7292000000.000,7729000000.000,6711000000.000
84839,,,,,,,
1442634,,1004176.000,,,,,
821899,,0.000,,,,,
1084899,,0.000,,,,,
785968,,35402000.000,34801000.000,70558000.000,,,
1369786,,,,,,,
931948,,,,,,,
1351285,,268449000.000,273241000.000,264645000.000,261853000.000,217670000.000,194089000.000
1444397,,,,,,,
1664127,,,,,,,5125.000
1528930,,,147613000.000,159696000.000,162172000.000,173429000.000,173985000.000
1420034,,,,,,,
719955,3504158000.000,3720895000.000,4042870000.000,4387889000.000,4698719000.000,4976090000.000,5083812000.000
1067983,,143688000000.000,162463000000.000,182150000000.000,194673000000.000,210821000000.000,223604000000.000
1060523,,,,,,,
922864,,1079584000.000,1033197000.000,974053000.000,984363000.000,981310000.000,995854000.000
1385662,,,,,,,
1594204,,,,,,,
1496139,,,3210.000,672858.000,779377.000,,
1573166,,,,259169000.000,380597000.000,197399000.000,127847000.000
1580262,,,,4893.000,23287.000,16060.000,587.000
1494904,,384575000.000,293016000.000,319134000.000,333755000.000,538778000.000,534514000.000
1424151,,,,,,,
1057758,,1366891000.000,1470255000.000,1563901000.000,,,
34115,,,,,,,
72573,,468864000.000,505478000.000,338600000.000,586980000.000,594923000.000,552752000.000
1142596,,,,685173000.000,,,
97476,,13735000000.000,12843000000.000,12223000000.000,13050000000.000,13003000000.000,13375000000.000
1498522,,4048.000,2724.000,46681.000,,,
1587755,,,,527106000.000,587589000.000,570912000.000,
910832,,,,,,,
1415598,,,,,,,
1041514,343420000.000,390264000.000,452147000.000,581656000.000,625979000.000,590749000.000,
1554859,,,,,3635000.000,7001000.000,7434000.000
1510333,,,0.000,,,,
1412130,,,,,,,
1587063,,,,,,0.000,
792987,,955729000.000,936273000.000,933318000.000,975907000.000,984748000.000,1147690000.000
1569994,,,,,,,
1545391,,,,,489517000.000,,
824142,,,,,,,
895516,,7974830000.000,7406043000.000,,,,
1556276,,,,,,,
1571636,,,,,,119998.000,115400.000
746210,,,,,,,
68709,,,542256000.000,569439000.000,564328000.000,563934000.000,650147000.000
1477246,,14147617.000,37338258.000,51533643.000,81208903.000,96044254.000,
701345,,13055000000.000,13831000000.000,,,,
1421289,,402340.000,,146169.000,238957.000,,
1135185,,1398216000.000,1646032000.000,1656900000.000,1799198000.000,1822659000.000,1839627000.000
913142,,,,,,,
850209,5049000000.000,5623000000.000,6182000000.000,6505000000.000,7151000000.000,7412000000.000,7766000000.000
1423824,,,,,,,
1162315,,66438000.000,58052000.000,51195000.000,39557000.000,,
1568427,,,,,,,
1053691,,570476.000,,,,,
1450973,,15354621.000,2878012.000,1866678.000,967831.000,441372.000,
1564609,,,,,,,
1396446,,,,,,,
932372,,33355000.000,35609000.000,37782000.000,38120000.000,,
1031223,,476511000.000,482400000.000,525700000.000,477700000.000,,
1444145,,,,,,,
1045150,,,,,,,
1600694,,,,,,,
1475204,,,,,,,
315374,,180400000.000,203117000.000,192804000.000,222303000.000,219383000.000,227289000.000
24751,,,,,,,
710507,,,,,,,
1007273,,,,,,,
1433551,,,,,,,
1042418,,,,,0.000,0.000,0.000
1053650,,235220000.000,235639000.000,244293000.000,308635000.000,359311000.000,390831000.000
1687065,,,,,,,
1596961,,,,,0.000,,0.000
823094,,831836000.000,768492000.000,853678000.000,938053000.000,961494000.000,805377000.000
1267602,,,,1872000.000,8423000.000,22438000.000,34333000.000
1014111,,1290400000.000,1099600000.000,860800000.000,729500000.000,529200000.000,44100000.000
1552890,,,,,,,
36270,,,,4538434000.000,4455719000.000,4667624000.000,5295883000.000
1176334,,1238399000.000,1498080000.000,1642281000.000,1653009000.000,1034683000.000,
1092570,,1873874.000,,1626860.000,1754251.000,1878437.000,1947451.000
1657564,,,,,,,11000.000
1505371,,,,,,,
1690820,,,,,,,
1013706,,55466000.000,56375000.000,65944000.000,76810000.000,83800000.000,82228000.000
1294538,,296708000.000,,,,,
1348610,,,,,,,
873185,,,265.000,,,,
1058867,,,,,,,
1305294,,320619000.000,388537000.000,470450000.000,556797000.000,612732000.000,
1375348,,0.000,0.000,0.000,,,
105132,,,342784000.000,368548000.000,382997000.000,378150000.000,380670000.000
1482361,,333354.000,959388.000,847257.000,1094466.000,,
1334814,,66053000.000,116850000.000,197545000.000,325893000.000,,
1352010,,,433799000.000,555117000.000,730027000.000,914128000.000,1160132000.000
1055160,,,,,,,
912463,2487294000.000,2688048000.000,2658605000.000,2569786000.000,2417673000.000,2204311000.000,2209368000.000
745538,,2154000.000,,,,,
1047340,,,,,,,
1308710,,363122.000,663229.000,,394925.000,,
1133266,,,,,,,
1024920,,,,,,,
1038773,,,,,,,
925043,,9588535.000,10106048.000,,,,
1169445,,173476344.000,183309403.000,200863332.000,204742137.000,182173884.000,267272000.000
1642453,,,,,,,
733590,,,,,,,
1625941,,,,,,,0.000
1308569,,,53916.000,25000.000,20000.000,89772.000,
791908,,58196000.000,33782000.000,35451000.000,18866000.000,55447000.000,5564000.000
1344530,,,303660.000,,,,
80424,82559000000.000,83680000000.000,84167000000.000,29400000000.000,76279000000.000,65299000000.000,
1425565,,109257000.000,92891000.000,101342000.000,70775000.000,45527000.000,17425000.000
1363254,,,,,,,
1544190,,,,,,,
1449732,,,,,,,
1143155,,,,,,,
1532288,,,,415282000.000,441833000.000,360900000.000,253902000.000
1576873,,,,,,,0.000
1554241,,,,,,,
1437578,,,,1218776000.000,1352999000.000,1458445000.000,1569841000.000
1492151,,,0.000,0.000,,1521.000,
1441634,,2336000000.000,2364000000.000,2520000000.000,4269000000.000,6824000000.000,
797542,,0.000,0.000,0.000,0.000,0.000,
925266,,,,,,,
1397807,,36915000.000,41308000.000,47197000.000,,,
1392477,,1735131.000,661315.000,138420.000,971703.000,,
867665,,64622000.000,68573000.000,94331000.000,133776000.000,67030000.000,56555000.000
1434477,,5826490.000,3740874.000,4095907.000,3317039.000,,8492944.000
8146,,79193202.000,61224000.000,68592000.000,88347000.000,94658000.000,98448000.000
21665,,16734000000.000,17085000000.000,17420000000.000,17277000000.000,16034000000.000,15195000000.000
1489955,,,,,,,
