SEC ID,Report date,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,ComprehensiveIncomeNetOfTax,EarningsPerShareDiluted,Goodwill,Liabilities,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,OperatingIncomeLoss,PropertyPlantAndEquipmentNet,Revenues,WeightedAverageNumberOfDilutedSharesOutstanding
767884,2015-08-31,11122000.000,9766000.000,8095000.000,-26799000.000,,,6909000.000,5222000.000,2725000.000,24069000.000,-23217000.000,-28177000.000,1258000.000,2720000.000,
927569,2013-12-31,,,,,,,,,-1717000.000,131000.000,1044000.000,,,2377000.000,
885988,2011-12-31,157504000.000,75105000.000,57909000.000,,0.390,30334000.000,67962000.000,55498000.000,-3575000.000,-11717000.000,23018000.000,,21288000.000,273582000.000,11869000.000
1145547,2013-12-31,358895000.000,,5929000.000,3382000.000,3.300,,332562000.000,,-5151000.000,-2145000.000,2974000.000,,4444000.000,,2486692.000
1609702,2016-06-30,2365000000.000,738700000.000,219100000.000,193500000.000,1.510,1182700000.000,1988800000.000,523400000.000,-419300000.000,-81600000.000,320100000.000,402500000.000,118600000.000,2114600000.000,158000000.000
216877,2016-09-30,17969672.000,3138171.000,2616670.000,,,,4416733.000,2048657.000,-618994.000,-288045.000,1287902.000,1749336.000,14827813.000,7978164.000,
1496631,2015-12-31,4705825000.000,,349054000.000,,-1.360,14645000.000,4325074000.000,,707803000.000,-454084000.000,44447000.000,,67155000.000,,18806000.000
862923,2013-12-31,803745000.000,,28773000.000,862000.000,,500000.000,677077000.000,,-11093000.000,-682000.000,16146000.000,,,21298000.000,
1068874,2016-06-30,14945000.000,13973000.000,1338000.000,,,,101213000.000,100699000.000,990000.000,-169000.000,-1487000.000,,874000.000,53061000.000,78220037.000
1558235,2016-12-31,2209446000.000,,72028000.000,-41472000.000,,23526000.000,1343542000.000,,103399000.000,-215139000.000,67723000.000,,,184323000.000,
786360,2014-12-31,4394769.000,441927.000,346478.000,,,,,121676.000,-978800.000,,989377.000,895931.000,3866825.000,,
1613011,2015-12-31,12069365.000,2849217.000,2717414.000,,,9194043.000,591381.000,591381.000,4148595.000,-635418.000,-1428079.000,-3504524.000,15007.000,526399.000,12781350.000
68622,2016-12-31,21149000000.000,1706000000.000,5000000.000,,,9354000000.000,,2796000000.000,-1316000000.000,-1334000000.000,2652000000.000,2322000000.000,7645000000.000,8910000000.000,
1250897,2015-10-31,13218.000,11972.000,,,,,1276786.000,1276786.000,300455.000,-1534.000,-287083.000,-224474.000,,0.000,
1084752,2016-12-31,18891153.000,2573372.000,1476774.000,,,8858504.000,17350959.000,12556377.000,6005200.000,,-5082982.000,-6215662.000,8260.000,1774519.000,
1451432,2011-12-31,496106487.000,,10437673.000,3719428.000,,,455528120.000,,1414179.000,-21065314.000,8968322.000,,6416876.000,,
12659,2017-04-30,2694108000.000,1346039000.000,1011331000.000,404879000.000,1.910,491207000.000,2754991000.000,939280000.000,-530424000.000,99319000.000,550093000.000,,263827000.000,3036314000.000,214095000.000
1514608,2012-12-31,993008000.000,,21061000.000,15282000.000,,,1091607000.000,,45540000.000,-69338000.000,24600000.000,,55120000.000,523668000.000,
1385280,2016-12-31,4306633000.000,676317000.000,561235000.000,281775000.000,2.190,1262963000.000,3033673000.000,443225000.000,-152635000.000,-327769000.000,451834000.000,422935000.000,1704536000.000,2918765000.000,115783000.000
